Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.25,2.33,2.34,2.24,3.98M,-3.43%
2023-12-10,2.33,2.43,2.49,2.3,4.86M,-2.92%
2023-12-07,2.4,2.48,2.48,2.35,4.49M,-3.61%
2023-12-06,2.49,2.55,2.56,2.48,5.40M,-1.97%
2023-12-05,2.54,2.63,2.65,2.53,6.17M,-2.31%
2023-12-04,2.6,2.65,2.7,2.58,8.71M,1.17%
2023-12-03,2.57,2.55,2.64,2.47,4.46M,3.21%
2023-11-30,2.49,2.6,2.6,2.45,5.00M,-3.11%
2023-11-29,2.57,2.64,2.67,2.53,6.45M,-2.65%
2023-11-28,2.64,2.41,2.65,2.4,11.25M,10.46%
2023-11-27,2.39,2.39,2.48,2.37,6.53M,1.27%
2023-11-26,2.36,2.49,2.49,2.35,4.62M,-2.48%
2023-11-23,2.42,2.47,2.52,2.39,5.98M,-0.41%
2023-11-22,2.43,2.16,2.48,2.15,17.10M,14.08%
2023-11-21,2.13,2.08,2.13,2.07,4.45M,3.40%
2023-11-20,2.06,2.16,2.19,2.06,3.10M,-3.74%
2023-11-19,2.14,2.17,2.19,2.13,1.30M,0.00%
2023-11-16,2.14,2.19,2.2,2.14,3.83M,-0.93%
2023-11-15,2.16,2.13,2.21,2.13,4.64M,1.89%
2023-11-14,2.12,2.15,2.16,2.1,2.37M,-0.93%
2023-11-13,2.14,2.13,2.16,2.1,2.66M,1.90%
2023-11-12,2.1,2.11,2.14,2.06,3.39M,3.19%
2023-11-09,2.04,2.06,2.06,2.02,3.27M,-1.31%
2023-11-08,2.06,2.06,2.08,2.04,4.02M,1.13%
2023-11-07,2.04,2.01,2.08,2.01,2.17M,1.90%
2023-11-06,2.0,2.0,2.02,1.99,1.36M,0.60%
2023-11-05,1.99,1.99,2.0,1.98,1.05M,1.07%
2023-11-02,1.97,1.94,1.99,1.94,1.50M,1.44%
2023-11-01,1.94,1.97,1.97,1.92,2.09M,-1.67%
2023-10-31,1.97,2.01,2.02,1.96,1.55M,-1.84%
2023-10-30,2.01,2.01,2.05,2.0,1.21M,-0.79%
2023-10-29,2.03,1.98,2.04,1.97,1.57M,1.86%
2023-10-26,1.99,1.93,2.0,1.91,2.59M,4.03%
2023-10-25,1.91,1.83,1.92,1.83,2.47M,4.42%
2023-10-24,1.83,1.85,1.85,1.82,833.72K,-0.38%
2023-10-23,1.84,1.84,1.84,1.83,1.25M,0.66%
2023-10-22,1.83,1.79,1.83,1.78,741.66K,1.84%
2023-10-19,1.79,1.8,1.82,1.78,1.56M,-0.55%
2023-10-18,1.8,1.83,1.83,1.8,1.39M,-0.66%
2023-10-17,1.82,1.82,1.83,1.79,3.56M,1.00%
2023-10-16,1.8,1.8,1.82,1.78,2.79M,-0.39%
2023-10-15,1.8,1.82,1.83,1.8,684.97K,-0.88%
2023-10-12,1.82,1.78,1.84,1.77,1.51M,2.48%
2023-10-11,1.78,1.8,1.82,1.77,1.73M,-1.66%
2023-10-10,1.81,1.77,1.82,1.77,551.05K,1.35%
2023-10-09,1.78,1.77,1.8,1.77,566.49K,0.62%
2023-10-08,1.77,1.87,1.87,1.73,826.62K,-5.04%
2023-10-04,1.87,1.85,1.88,1.85,141.44K,0.00%
2023-10-03,1.87,1.89,1.89,1.85,518.34K,0.00%
2023-10-02,1.86,1.88,1.9,1.85,899.93K,-1.80%
2023-10-01,1.89,1.91,1.91,1.88,584.46K,-1.66%
2023-09-27,1.93,1.9,1.93,1.85,1.27M,1.21%
2023-09-26,1.9,1.93,1.94,1.9,778.06K,-1.25%
2023-09-25,1.93,1.92,1.94,1.92,503.83K,-0.31%
2023-09-24,1.93,1.96,1.96,1.92,639.30K,0.00%
2023-09-21,1.94,1.95,1.96,1.93,886.79K,-0.31%
2023-09-20,1.94,1.99,2.0,1.93,1.67M,-2.31%
2023-09-19,1.99,2.02,2.03,1.99,1.12M,-1.39%
2023-09-18,2.02,2.01,2.04,1.97,979.82K,0.65%
2023-09-17,2.0,1.99,2.04,1.99,1.40M,0.96%
2023-09-14,1.99,1.99,1.99,1.97,608.65K,0.76%
2023-09-13,1.97,1.98,1.98,1.96,534.32K,0.00%
2023-09-12,1.97,1.99,1.99,1.96,1.27M,-1.11%
2023-09-11,1.99,2.03,2.03,1.99,1.44M,-1.29%
2023-09-10,2.01,2.0,2.03,2.0,706.31K,0.70%
2023-09-07,2.0,2.01,2.02,1.99,821.34K,0.00%
2023-09-06,2.0,2.05,2.06,1.99,2.33M,-1.53%
2023-09-05,2.03,2.01,2.07,2.01,4.00M,1.40%
2023-09-04,2.0,1.98,2.01,1.97,1.27M,1.26%
2023-09-03,1.98,1.98,2.0,1.97,1.04M,0.36%
2023-08-31,1.97,1.97,2.01,1.97,1.40M,-0.51%
2023-08-30,1.98,1.95,2.0,1.95,2.59M,1.54%
2023-08-29,1.95,1.99,1.99,1.95,4.05M,-1.17%
2023-08-28,1.97,1.96,1.99,1.96,977.85K,0.00%
2023-08-27,1.97,1.98,1.99,1.97,1.54M,0.56%
2023-08-24,1.96,2.02,2.03,1.96,3.14M,-2.49%
2023-08-23,2.01,2.04,2.12,2.0,8.75M,-0.99%
2023-08-22,2.03,2.0,2.07,2.0,2.95M,2.01%
2023-08-21,1.99,2.02,2.04,1.98,2.45M,-1.00%
2023-08-20,2.01,2.05,2.05,2.0,746.53K,-0.50%
2023-08-17,2.02,2.04,2.07,2.0,1.66M,-0.98%
2023-08-16,2.04,2.12,2.16,2.0,4.82M,-4.23%
2023-08-15,2.13,2.15,2.18,2.12,898.39K,-0.93%
2023-08-14,2.15,2.18,2.2,2.15,1.13M,0.00%
2023-08-13,2.15,2.17,2.2,2.12,2.22M,-0.92%
2023-08-10,2.17,2.26,2.26,2.17,1.55M,-3.12%
2023-08-09,2.24,2.29,2.31,2.22,875.90K,-0.88%
2023-08-08,2.26,2.16,2.36,2.15,5.64M,6.10%
2023-08-07,2.13,2.09,2.19,2.08,3.82M,1.91%
2023-08-06,2.09,2.08,2.11,2.05,761.91K,1.46%
2023-08-03,2.06,2.05,2.07,2.05,259.44K,0.98%
2023-08-02,2.04,2.1,2.1,2.04,658.19K,-1.92%
2023-08-01,2.08,2.08,2.12,2.06,857.47K,0.97%
2023-07-31,2.06,2.06,2.07,2.05,1.11M,-0.48%
2023-07-30,2.07,2.06,2.08,2.04,463.94K,1.97%
2023-07-27,2.03,2.03,2.05,2.02,851.18K,0.50%
2023-07-26,2.02,2.05,2.12,2.01,1.82M,-2.88%
2023-07-25,2.08,2.07,2.1,2.05,165.57K,-1.89%
2023-07-24,2.12,2.11,2.11,2.05,70.28K,0.00%
2023-07-19,2.12,2.11,2.14,2.1,117.47K,0.00%
2023-07-18,2.12,2.1,2.2,2.1,1.65M,1.92%
2023-07-17,2.08,2.05,2.09,2.01,434.40K,2.97%
2023-07-16,2.02,2.08,2.08,1.99,866.75K,-1.94%
2023-07-13,2.06,2.01,2.09,2.0,272.15K,3.00%
2023-07-12,2.0,2.0,2.01,1.98,252.57K,-0.50%
2023-07-11,2.01,2.0,2.04,1.99,191.16K,1.01%
2023-07-10,1.99,1.93,2.0,1.9,324.16K,1.53%
2023-07-09,1.96,2.05,2.08,1.92,309.84K,-5.31%
2023-07-06,2.07,2.09,2.1,2.05,206.37K,-1.90%
2023-07-05,2.11,2.13,2.14,2.09,139.30K,0.00%
2023-07-04,2.11,2.1,2.13,2.07,262.49K,1.44%
2023-06-26,2.08,2.07,2.12,2.06,313.16K,-0.48%
2023-06-25,2.09,2.14,2.14,2.08,81.05K,0.00%
2023-06-22,2.09,2.09,2.1,2.06,239.07K,0.97%
2023-06-21,2.07,2.13,2.13,2.07,586.32K,-1.90%
2023-06-20,2.11,2.15,2.17,2.1,1.25M,-0.47%
2023-06-19,2.12,2.18,2.18,2.12,408.07K,-1.40%
2023-06-18,2.15,2.14,2.16,2.13,162.90K,1.42%
2023-06-15,2.12,2.17,2.17,2.11,600.75K,-0.93%
2023-06-14,2.14,2.2,2.21,2.14,556.01K,-0.47%
