Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.773,0.819,0.819,0.76,4.34M,-3.98%
2023-12-10,0.805,0.77,0.82,0.751,11.30M,5.50%
2023-12-07,0.763,0.774,0.774,0.74,2.39M,0.26%
2023-12-06,0.761,0.76,0.779,0.756,3.34M,0.13%
2023-12-05,0.76,0.77,0.779,0.751,5.56M,-0.13%
2023-12-04,0.761,0.735,0.767,0.735,10.11M,3.82%
2023-12-03,0.733,0.725,0.75,0.725,7.78M,2.52%
2023-11-30,0.715,0.721,0.728,0.71,5.10M,-0.42%
2023-11-29,0.718,0.696,0.737,0.696,18.56M,4.66%
2023-11-28,0.686,0.7,0.704,0.682,5.95M,-0.72%
2023-11-27,0.691,0.708,0.709,0.69,4.81M,-1.99%
2023-11-26,0.705,0.714,0.719,0.7,3.91M,-0.70%
2023-11-23,0.71,0.716,0.716,0.705,6.00M,1.00%
2023-11-22,0.703,0.699,0.716,0.694,11.37M,1.15%
2023-11-21,0.695,0.68,0.696,0.676,5.79M,0.87%
2023-11-20,0.689,0.694,0.705,0.684,1.33M,-0.29%
2023-11-19,0.691,0.7,0.7,0.689,2.04M,-0.14%
2023-11-16,0.692,0.7,0.7,0.68,3.58M,0.87%
2023-11-15,0.686,0.681,0.709,0.681,2.23M,-0.58%
2023-11-14,0.69,0.705,0.72,0.688,6.09M,0.88%
2023-11-13,0.684,0.679,0.687,0.667,2.44M,2.24%
2023-11-12,0.669,0.67,0.68,0.665,1.52M,-0.15%
2023-11-09,0.67,0.671,0.687,0.67,2.79M,-0.45%
2023-11-08,0.673,0.7,0.7,0.666,3.83M,-1.90%
2023-11-07,0.686,0.694,0.712,0.68,4.14M,-0.15%
2023-11-06,0.687,0.714,0.714,0.681,7.22M,-1.58%
2023-11-05,0.698,0.685,0.73,0.674,25.21M,4.33%
2023-11-02,0.669,0.648,0.685,0.648,5.83M,4.04%
2023-11-01,0.643,0.633,0.649,0.621,945.99K,-1.23%
2023-10-31,0.651,0.66,0.665,0.643,854.91K,-1.81%
2023-10-30,0.663,0.664,0.676,0.66,647.45K,-0.45%
2023-10-29,0.666,0.68,0.684,0.65,1.54M,1.06%
2023-10-26,0.659,0.685,0.685,0.654,6.16M,-1.64%
2023-10-25,0.67,0.634,0.7,0.634,18.60M,7.37%
2023-10-24,0.624,0.64,0.645,0.613,1.33M,-1.27%
2023-10-23,0.632,0.635,0.647,0.628,2.24M,0.48%
2023-10-22,0.629,0.631,0.641,0.622,620.99K,-0.63%
2023-10-19,0.633,0.629,0.65,0.621,2.37M,1.93%
2023-10-18,0.621,0.66,0.66,0.618,1.03M,-3.42%
2023-10-17,0.643,0.605,0.66,0.605,1.23M,4.05%
2023-10-16,0.618,0.629,0.629,0.58,214.13K,0.00%
2023-10-15,0.618,0.62,0.628,0.6,491.05K,1.81%
2023-10-12,0.607,0.595,0.615,0.595,88.74K,0.00%
2023-10-11,0.607,0.623,0.623,0.6,493.70K,0.00%
2023-10-10,0.607,0.577,0.623,0.577,152.09K,0.00%
2023-10-09,0.607,0.6,0.61,0.597,568.37K,4.12%
2023-10-08,0.583,0.624,0.63,0.565,1.03M,-6.57%
2023-10-04,0.624,0.624,0.641,0.615,523.24K,-0.48%
2023-10-03,0.627,0.626,0.65,0.623,737.38K,-1.57%
2023-10-02,0.637,0.668,0.668,0.62,1.34M,-2.90%
2023-10-01,0.656,0.645,0.668,0.625,1.41M,2.50%
2023-09-27,0.64,0.65,0.665,0.634,1.07M,-1.39%
2023-09-26,0.649,0.668,0.67,0.632,1.87M,1.88%
2023-09-25,0.637,0.655,0.656,0.631,1.54M,-1.24%
2023-09-24,0.645,0.652,0.67,0.645,4.65M,-0.46%
2023-09-21,0.648,0.637,0.669,0.636,2.13M,1.09%
2023-09-20,0.641,0.671,0.676,0.634,3.15M,-4.47%
2023-09-19,0.671,0.642,0.701,0.642,18.10M,2.76%
2023-09-18,0.653,0.647,0.675,0.644,7.42M,1.40%
2023-09-17,0.644,0.683,0.69,0.642,5.86M,-5.43%
2023-09-14,0.681,0.571,0.681,0.571,23.54M,19.89%
2023-09-13,0.568,0.579,0.579,0.562,501.30K,0.00%
2023-09-12,0.568,0.589,0.589,0.565,1.16M,-1.56%
2023-09-11,0.577,0.589,0.59,0.572,950.40K,-2.04%
2023-09-10,0.589,0.597,0.606,0.58,1.72M,0.17%
