Date,Price,Open,High,Low,Vol.,Change %
2023-11-01,19.0,1.04,24.99,1.04,25.57K,"1,744.66%"
2023-10-30,1.03,5.0,5.0,1.03,0.22K,1.98%
2023-10-25,1.01,0.26,1.01,0.26,0.11K,-80.76%
2023-10-23,5.25,5.25,5.25,5.25,0.01K,-65.71%
2023-10-12,15.31,14.55,14.55,14.55,0.00K,0.00%
2023-09-24,15.31,15.5,15.5,15.5,0.01K,0.00%
2023-09-13,15.31,15.31,15.5,15.3,0.65K,0.00%
2023-06-12,15.31,15.31,15.31,15.31,,0.00%
2023-04-09,15.31,16.07,16.07,15.0,0.05K,0.00%
2023-04-03,15.31,15.0,15.0,15.0,0.00K,0.00%
2023-01-25,15.31,16.0,16.0,16.0,0.00K,0.00%
2022-04-04,15.31,16.83,16.83,16.83,0.02K,0.00%
2022-03-24,15.31,13.78,13.78,13.78,0.75K,0.00%
2022-03-17,15.31,16.84,16.84,16.83,0.77K,0.00%
2022-03-13,15.31,13.78,13.78,13.78,0.60K,0.00%
2021-12-29,15.31,16.8,16.8,16.8,0.03K,0.00%
2021-11-11,15.31,13.8,13.8,13.8,0.00K,0.00%
2021-11-02,15.31,14.1,14.1,14.1,0.01K,0.00%
2021-10-28,15.31,14.11,14.11,14.11,0.00K,0.00%
2021-10-26,15.31,14.11,14.11,14.11,0.10K,0.00%
2021-10-25,15.31,14.11,14.11,14.11,0.55K,0.00%
2021-10-20,15.31,14.5,14.5,14.5,0.00K,0.00%
2021-10-19,15.31,16.84,16.84,16.84,0.25K,0.00%
2021-10-12,15.31,16.84,16.84,16.84,0.45K,0.00%
2021-10-06,15.31,14.55,16.2,14.55,0.05K,0.00%
2021-10-05,15.31,15.6,15.6,15.6,0.00K,0.00%
2021-10-04,15.31,16.01,16.4,14.2,1.10K,0.00%
2021-10-03,15.31,16.84,16.84,14.02,0.75K,0.00%
2021-09-30,15.31,16.84,16.84,16.84,0.60K,0.00%
2021-09-29,15.31,16.0,16.0,16.0,0.03K,0.00%
2021-09-28,15.31,16.25,16.84,16.0,5.03K,0.00%
2021-09-27,15.31,16.84,16.84,15.5,0.30K,0.00%
2021-09-26,15.31,16.0,16.83,16.0,4.52K,0.00%
2021-09-23,15.31,15.31,15.31,15.0,0.05K,0.00%
2021-09-22,15.31,13.8,13.8,13.8,0.07K,0.00%
2021-08-25,15.31,14.56,14.56,14.55,3.01K,0.00%
2021-08-17,15.31,14.55,14.55,14.55,0.60K,0.00%
2021-08-11,15.31,14.55,14.55,14.55,0.02K,0.00%
2021-08-03,15.31,14.55,14.55,14.55,0.10K,0.00%
2021-07-28,15.31,14.55,16.07,14.55,2.24K,0.00%
2021-07-25,15.31,14.56,14.56,14.56,0.00K,0.00%
2021-07-15,15.31,15.26,16.86,15.26,6.73K,-4.67%
2021-07-14,16.06,15.26,15.26,15.26,2.15K,0.00%
2021-07-07,16.06,15.26,15.26,15.26,1.00K,0.00%
2021-07-04,16.06,16.84,16.84,16.84,0.01K,0.00%
2021-06-30,16.06,16.84,16.84,16.84,0.01K,0.00%
2021-06-28,16.06,16.3,16.3,15.26,3.04K,0.00%
2021-06-27,16.06,16.3,16.3,16.3,0.00K,0.00%
2021-06-24,16.06,15.26,15.37,15.26,0.20K,0.00%
2021-05-31,16.06,15.3,16.84,15.3,0.98K,0.00%
2021-05-26,16.06,15.26,15.26,15.26,0.05K,0.00%
2021-05-11,16.06,16.01,16.01,16.01,0.20K,0.00%
2021-04-22,16.06,15.26,15.26,15.26,0.20K,0.00%
2021-04-13,16.06,16.85,16.86,16.85,0.30K,0.00%
2021-04-01,16.06,15.5,16.0,15.5,1.51K,0.00%
2021-03-30,16.06,15.26,15.26,15.26,1.10K,0.00%
2021-03-28,16.06,15.26,15.26,15.26,0.52K,0.00%
2021-03-25,16.06,15.26,15.26,15.26,2.29K,0.00%
2021-03-24,16.06,15.26,15.26,15.26,0.25K,0.00%
2021-03-23,16.06,15.26,15.26,15.26,0.51K,0.00%
2021-03-22,16.06,15.5,15.5,15.31,0.83K,0.00%
2021-03-21,16.06,16.5,16.5,16.49,0.13K,0.00%
2021-03-18,16.06,15.99,16.27,15.82,6.23K,3.61%
2021-03-17,15.5,15.5,15.5,14.82,15.28K,4.94%
2021-03-16,14.77,14.77,14.77,14.77,6.78K,4.98%
2021-03-15,14.07,14.07,14.07,14.07,7.11K,5.00%
2021-03-14,13.4,14.07,14.07,14.07,1.00K,0.00%
2021-03-11,13.4,14.07,14.07,14.07,2.35K,0.00%
2021-03-08,13.4,14.07,14.07,14.07,0.50K,0.00%
2021-03-07,13.4,14.07,14.07,14.07,5.50K,0.00%
2021-03-04,13.4,14.07,14.07,14.07,0.35K,0.00%
2021-03-03,13.4,14.07,14.07,14.07,2.50K,0.00%
2021-02-24,13.4,14.07,14.07,14.07,1.35K,0.00%
2021-02-17,13.4,13.4,13.4,13.4,7.93K,4.93%
2021-02-16,12.77,13.4,13.4,13.4,1.15K,0.00%
2021-02-15,12.77,13.4,13.4,13.4,0.40K,0.00%
2021-02-11,12.77,13.4,13.4,13.4,0.10K,0.00%
2021-02-10,12.77,13.4,13.4,13.4,0.05K,0.00%
2021-02-09,12.77,12.69,13.35,12.5,25.32K,0.39%
2021-02-08,12.72,12.72,12.72,12.72,9.28K,-4.93%
2021-02-04,13.38,12.72,12.72,12.72,3.76K,0.00%
2020-12-27,13.38,12.72,12.72,12.72,0.01K,0.00%
2020-12-09,13.38,12.72,12.72,12.72,0.95K,0.00%
2020-12-08,13.38,12.72,12.72,12.72,7.30K,0.00%
2020-12-06,13.38,13.1,13.1,13.1,0.15K,0.00%
2020-11-24,13.38,13.68,13.68,13.68,0.05K,0.00%
2020-11-19,13.38,13.78,13.78,13.78,0.02K,0.00%
2020-11-17,13.38,13.38,13.38,12.8,0.89K,0.00%
2020-11-16,13.38,13.38,13.38,13.37,6.20K,4.94%
2020-11-15,12.75,12.75,12.75,12.75,2.75K,4.94%
2020-11-12,12.15,12.15,12.15,12.15,2.72K,4.92%
2020-11-08,11.58,12.15,12.15,12.15,0.60K,0.00%
2020-11-05,11.58,11.58,11.58,11.58,4.50K,4.99%
2020-11-04,11.03,11.03,11.03,11.03,3.00K,4.95%
2020-11-03,10.51,10.52,10.52,10.51,3.00K,-4.97%
2020-11-02,11.06,11.06,11.06,11.05,3.30K,-4.90%
2020-11-01,11.63,11.63,11.63,11.62,3.90K,-4.91%
2020-10-27,12.23,12.23,12.23,12.23,0.66K,0.00%
2020-10-22,12.23,12.23,12.23,12.23,2.53K,-4.97%
2020-10-21,12.87,13.0,13.0,12.46,4.41K,-1.83%
2020-10-20,13.11,13.11,13.11,13.0,2.26K,0.00%
2020-10-19,13.11,13.11,13.15,13.11,4.61K,-4.93%
2020-10-18,13.79,13.79,13.79,13.79,4.00K,-4.96%
2020-10-07,14.51,13.79,13.79,13.79,1.50K,0.00%
2020-10-05,14.51,13.79,13.79,13.79,0.75K,0.00%
2020-10-04,14.51,13.79,13.79,13.79,1.41K,0.00%
2020-10-01,14.51,13.79,13.79,13.79,1.00K,0.00%
2020-09-28,14.51,13.79,13.79,13.79,0.50K,0.00%
2020-09-27,14.51,14.16,15.15,14.15,4.29K,-2.55%
2020-09-24,14.89,14.68,15.46,14.68,7.89K,-3.62%
2020-09-23,15.45,15.45,15.45,15.45,3.33K,-4.98%
2020-09-22,16.26,15.45,15.45,15.45,0.33K,0.00%
2020-01-30,16.26,15.45,15.45,15.45,0.02K,0.00%
2020-01-29,16.26,16.26,16.26,16.26,,0.00%
2020-01-28,16.26,16.26,16.26,16.26,,0.00%
2020-01-27,16.26,16.26,16.26,16.26,,0.00%
2020-01-26,16.26,16.26,16.26,16.26,,0.00%
2020-01-23,16.26,16.26,16.26,16.26,,0.00%
2020-01-22,16.26,16.26,16.26,16.26,,0.00%
2020-01-21,16.26,16.26,16.26,16.26,,0.00%
2020-01-20,16.26,16.26,16.26,16.26,,0.00%
2020-01-19,16.26,16.26,16.26,16.26,,0.00%
2020-01-16,16.26,16.26,16.26,16.26,,0.00%
2020-01-15,16.26,16.26,16.26,16.26,,0.00%
2020-01-14,16.26,16.26,16.26,16.26,,0.00%
2020-01-13,16.26,16.26,16.26,16.26,,0.00%
2020-01-12,16.26,16.26,16.26,16.26,,0.00%
2020-01-09,16.26,16.26,16.26,16.26,,0.00%
2020-01-08,16.26,16.26,16.26,16.26,,0.00%
