Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,27.5,27.64,27.98,27.4,26.10K,-1.79%
2023-12-10,28.0,28.0,28.1,27.51,15.88K,-0.21%
2023-12-07,28.06,28.23,28.23,27.2,288.30K,-0.85%
2023-12-06,28.3,27.0,28.32,26.98,10.28M,4.35%
2023-12-05,27.12,27.03,27.7,26.94,38.17K,0.82%
2023-12-04,26.9,27.0,27.0,26.8,46.66K,-0.48%
2023-12-03,27.03,28.0,28.0,27.0,38.34K,-3.40%
2023-11-30,27.98,27.5,28.17,27.42,1.08M,0.00%
2023-11-29,27.98,28.03,28.33,27.13,4.36M,-0.07%
2023-11-28,28.0,27.93,28.43,27.93,1.97M,0.18%
2023-11-27,27.95,28.0,28.3,27.85,1.06M,-0.18%
2023-11-26,28.0,28.2,28.34,28.0,46.00K,0.00%
2023-11-23,28.0,28.0,28.37,27.9,450.99K,0.00%
2023-11-22,28.0,28.49,28.49,27.5,284.96K,2.83%
2023-11-21,27.23,28.5,28.5,26.13,29.39K,-2.99%
2023-11-20,28.07,28.5,28.75,28.0,43.22K,-1.37%
2023-11-19,28.46,28.25,28.5,28.0,35.83K,0.85%
2023-11-16,28.22,28.0,28.25,28.0,25.64K,0.79%
2023-11-15,28.0,27.7,28.24,27.35,194.74K,1.08%
2023-11-14,27.7,27.3,28.0,27.02,11.66K,2.59%
2023-11-13,27.0,27.0,27.5,27.0,4.45K,0.00%
2023-11-12,27.0,27.5,27.5,27.0,20.99K,-1.96%
2023-11-09,27.54,27.1,27.55,27.1,76.41K,0.66%
2023-11-08,27.36,27.2,27.5,27.0,15.14K,1.30%
2023-11-07,27.01,27.0,27.2,26.5,89.94K,1.69%
2023-11-06,26.56,27.0,27.3,26.34,20.18K,0.76%
2023-11-05,26.36,26.4,27.5,25.71,708.61K,1.11%
2023-11-02,26.07,25.62,26.25,25.0,444.79K,3.82%
2023-11-01,25.11,25.98,26.1,25.0,48.64K,-2.79%
2023-10-31,25.83,26.3,26.89,25.26,14.48K,-0.73%
2023-10-30,26.02,25.5,26.25,25.0,258.63K,3.67%
2023-10-29,25.1,25.22,25.75,24.5,22.35K,0.00%
2023-10-26,25.1,24.5,25.25,24.5,76.93K,3.46%
2023-10-25,24.26,24.21,24.57,24.0,71.37K,0.21%
2023-10-24,24.21,24.24,24.47,24.0,44.87K,0.87%
2023-10-23,24.0,24.26,24.32,23.9,32.41K,0.46%
2023-10-22,23.89,23.67,24.49,23.6,25.64K,-0.46%
2023-10-19,24.0,23.84,24.15,23.5,294.38K,1.27%
2023-10-18,23.7,23.9,24.3,23.33,151.67K,-1.21%
2023-10-17,23.99,23.51,24.87,23.12,73.99K,1.91%
2023-10-16,23.54,22.81,23.98,22.55,104.58K,2.35%
2023-10-15,23.0,22.5,23.0,22.01,66.37K,3.19%
2023-10-12,22.29,21.97,22.5,21.97,19.11K,0.81%
2023-10-11,22.11,21.95,22.5,21.95,38.67K,1.94%
2023-10-10,21.69,21.8,21.9,21.5,22.36K,0.05%
2023-10-09,21.68,21.5,22.0,21.2,51.89K,1.59%
2023-10-08,21.34,21.92,21.92,21.01,88.51K,-1.61%
2023-10-04,21.69,21.69,21.91,21.15,11.40K,0.00%
2023-10-03,21.69,22.0,22.0,21.51,24.78K,-0.91%
2023-10-02,21.89,22.78,22.78,21.51,134.49K,-0.45%
2023-10-01,21.99,22.88,22.88,21.82,76.97K,-0.32%
2023-09-27,22.06,22.89,23.82,21.85,187.51K,-2.00%
2023-09-26,22.51,22.04,23.49,22.04,187.52K,2.13%
2023-09-25,22.04,21.61,22.2,21.61,64.24K,2.04%
2023-09-24,21.6,21.9,21.94,21.6,6.46K,0.00%
2023-09-21,21.6,21.5,21.9,21.5,128.96K,0.37%
2023-09-20,21.52,21.6,21.8,21.5,76.88K,-0.60%
2023-09-19,21.65,21.6,21.85,21.6,24.28K,0.60%
2023-09-18,21.52,21.74,21.75,21.53,7.99K,0.00%
2023-09-17,21.52,21.72,21.8,21.5,10.32K,0.00%
2023-09-14,21.52,21.5,21.72,21.45,13.99K,0.19%
2023-09-13,21.48,21.75,21.9,21.25,18.75K,-0.05%
2023-09-12,21.49,21.61,21.9,21.5,8.77K,0.00%
2023-09-11,21.49,21.6,21.7,21.4,25.13K,-0.74%
2023-09-10,21.65,21.8,22.0,21.56,28.47K,-0.28%
2023-09-07,21.71,21.55,21.75,21.4,1.04M,0.88%
2023-09-06,21.52,21.7,21.7,21.34,148.97K,0.09%
2023-09-05,21.5,21.27,21.7,21.16,227.21K,0.47%
2023-09-04,21.4,21.17,21.5,21.0,21.59K,3.38%
2023-09-03,20.7,21.3,21.3,20.9,13.33K,0.00%
2023-08-31,20.7,21.3,21.5,20.7,2.55M,-2.82%
2023-08-30,21.3,21.5,21.5,21.22,1.03M,-0.70%
2023-08-29,21.45,21.59,21.97,21.32,40.61K,-0.65%
2023-08-28,21.59,21.6,22.0,21.44,181.97K,-0.42%
2023-08-27,21.68,21.69,21.85,21.38,22.44K,0.84%
2023-08-24,21.5,21.5,21.5,21.04,576.60K,0.70%
2023-08-23,21.35,21.5,21.7,21.29,359.18K,-0.70%
2023-08-22,21.5,21.2,21.55,21.02,1.24M,1.80%
2023-08-21,21.12,21.15,21.35,21.0,20.35K,0.76%
2023-08-20,20.96,20.9,21.4,20.9,7.74K,0.00%
2023-08-17,20.96,21.25,21.25,20.9,14.95K,0.19%
2023-08-16,20.92,21.43,21.43,20.9,326.04K,-1.97%
2023-08-15,21.34,21.5,21.5,21.11,5.26K,0.00%
2023-08-14,21.34,21.44,21.6,21.1,12.85K,0.00%
2023-08-13,21.34,21.45,21.45,21.03,6.80K,0.00%
2023-08-10,21.34,21.46,21.49,21.3,4.04K,0.00%
2023-08-09,21.34,21.31,21.5,21.3,7.35K,0.00%
2023-08-08,21.34,21.59,21.6,21.26,5.14K,0.00%
2023-08-07,21.34,21.25,21.75,20.88,35.71K,1.81%
2023-08-06,20.96,21.29,21.49,20.65,5.87K,0.00%
2023-08-03,20.96,20.8,21.48,20.56,10.77K,0.00%
2023-08-02,20.96,21.11,22.0,20.5,32.00K,0.14%
2023-08-01,20.93,21.3,21.32,20.85,12.29K,0.00%
2023-07-31,20.93,21.1,21.46,20.62,183.91K,-0.38%
2023-07-30,21.01,21.3,21.65,20.82,27.46K,-2.28%
2023-07-27,21.5,21.49,21.7,21.18,7.51K,0.00%
2023-07-26,21.5,21.85,22.3,21.05,216.55K,-2.71%
2023-07-25,22.1,22.22,22.55,21.85,22.48K,-0.45%
2023-07-24,22.2,22.37,22.77,22.01,29.99K,-0.76%
2023-07-19,22.37,22.7,22.99,22.0,23.15K,-1.37%
2023-07-18,22.68,22.8,23.15,22.5,30.25K,-0.22%
2023-07-17,22.73,23.14,23.2,22.51,35.92K,-1.30%
2023-07-16,23.03,22.5,23.5,22.05,88.51K,4.54%
2023-07-13,22.03,20.01,22.5,20.01,654.42K,5.71%
2023-07-12,20.84,20.1,21.0,19.8,71.11K,4.20%
2023-07-11,20.0,19.99,20.14,19.55,25.22K,0.30%
2023-07-10,19.94,19.52,19.99,19.5,9.27K,0.00%
2023-07-09,19.94,20.14,20.14,19.51,148.82K,-0.35%
2023-07-06,20.01,19.7,20.1,19.7,95.23K,1.11%
2023-07-05,19.79,19.9,20.15,19.7,22.77K,-1.00%
2023-07-04,19.99,20.39,20.39,19.9,111.51K,-0.74%
2023-06-26,20.14,20.3,20.35,20.0,91.35K,-0.49%
2023-06-25,20.24,20.05,20.5,19.81,42.04K,1.40%
2023-06-22,19.96,19.9,20.2,19.8,35.71K,-0.40%
2023-06-21,20.04,20.0,20.0,19.7,9.69K,0.00%
2023-06-20,20.04,20.0,20.15,19.68,35.67K,1.83%
2023-06-19,19.68,19.58,20.01,19.26,82.19K,0.77%
2023-06-18,19.53,19.3,19.65,19.05,106.27K,2.57%
2023-06-15,19.04,19.11,19.35,19.01,6.23K,0.00%
2023-06-14,19.04,19.1,19.39,19.0,61.99K,-0.10%
2023-06-13,19.06,19.37,19.37,19.0,47.77K,-1.60%
2023-06-12,19.37,19.3,19.48,19.03,5.09K,1.79%
2023-06-11,19.03,19.2,19.4,19.0,43.59K,-1.19%
2023-06-08,19.26,19.31,19.4,19.12,531.50K,-0.26%
2023-06-07,19.31,19.25,19.47,19.2,5.18M,1.15%
2023-06-06,19.09,19.12,19.23,19.0,1.52M,0.47%
2023-06-05,19.0,19.0,19.1,19.0,1.38M,0.00%
2023-06-04,19.0,19.18,19.23,18.75,26.22K,-0.21%
2023-06-01,19.04,18.99,19.18,18.7,16.43K,0.42%
2023-05-31,18.96,19.0,19.1,18.64,137.60K,-0.21%
2023-05-30,19.0,18.81,19.15,18.33,48.76K,2.15%
2023-05-29,18.6,18.75,18.85,18.36,9.55K,0.00%
2023-05-28,18.6,18.4,18.87,18.25,151.28K,1.64%
2023-05-25,18.3,18.3,18.6,18.05,15.86K,0.00%
2023-05-24,18.3,18.3,18.37,18.05,26.22K,0.27%
2023-05-23,18.25,18.18,18.29,18.05,424.49K,0.83%
2023-05-22,18.1,18.0,18.2,17.85,115.80K,1.34%
2023-05-21,17.86,18.17,18.3,17.55,33.84K,-1.05%
2023-05-18,18.05,18.11,18.3,18.0,140.52K,-0.28%
2023-05-17,18.1,18.14,18.3,18.05,91.77K,0.00%
2023-05-16,18.1,18.1,18.15,17.82,247.35K,0.50%
2023-05-15,18.01,18.1,18.55,18.0,54.97K,-0.06%
2023-05-14,18.02,17.9,18.25,17.5,127.85K,0.22%
2023-05-11,17.98,17.93,18.1,17.75,166.18K,1.87%
2023-05-10,17.65,17.95,17.95,17.5,31.79K,-1.23%
2023-05-09,17.87,17.81,17.95,17.77,62.28K,0.51%
2023-05-08,17.78,17.56,17.94,17.52,1.40M,1.25%
2023-05-07,17.56,17.6,17.7,17.14,158.72K,-0.62%
2023-05-03,17.67,17.96,18.1,17.61,2.75M,-1.72%
2023-05-02,17.98,18.02,18.15,17.81,46.66K,-0.28%
2023-05-01,18.03,18.19,18.3,17.9,47.47K,-0.50%
2023-04-30,18.12,18.1,18.56,18.07,74.54K,0.17%
2023-04-27,18.09,17.9,18.25,17.9,409.99K,0.89%
2023-04-26,17.93,17.65,17.98,17.6,55.31K,1.87%
2023-04-19,17.6,17.55,17.94,17.52,82.42K,0.28%
2023-04-18,17.55,17.5,17.8,17.3,78.67K,0.29%
2023-04-13,17.5,17.64,17.64,17.43,238.13K,0.29%
2023-04-12,17.45,17.5,17.7,17.36,134.80K,1.16%
2023-04-11,17.25,17.37,17.9,17.07,71.17K,0.29%
2023-04-10,17.2,17.26,17.5,17.11,151.56K,-0.23%
2023-04-09,17.24,17.6,17.6,17.16,105.38K,-1.88%
2023-04-06,17.57,17.58,17.8,17.4,153.52K,-0.06%
