Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.9,4.75,4.91,4.66,707.79K,3.38%
2023-12-10,4.74,4.85,4.95,4.72,1.12M,0.85%
2023-12-07,4.7,5.0,5.05,4.7,1.88M,-5.62%
2023-12-06,4.98,5.19,5.2,4.96,1.55M,-2.54%
2023-12-05,5.11,5.25,5.35,5.06,852.46K,-1.16%
2023-12-04,5.17,5.05,5.29,5.01,1.35M,3.40%
2023-12-03,5.0,5.03,5.2,4.89,2.33M,1.01%
2023-11-30,4.95,5.26,5.4,4.9,2.83M,-5.71%
2023-11-29,5.25,4.96,5.27,4.9,1.84M,5.85%
2023-11-28,4.96,4.78,4.98,4.78,1.48M,4.86%
2023-11-27,4.73,4.6,4.87,4.6,2.16M,3.96%
2023-11-26,4.55,4.65,4.71,4.5,810.45K,-0.66%
2023-11-23,4.58,4.62,4.71,4.48,1.49M,1.55%
2023-11-22,4.51,4.63,4.63,4.45,1.71M,-0.44%
2023-11-21,4.53,4.35,4.73,4.35,2.89M,5.35%
2023-11-20,4.3,4.3,4.43,4.15,1.35M,1.42%
2023-11-19,4.24,4.4,4.44,4.21,1.78M,-2.75%
2023-11-16,4.36,4.07,4.4,4.07,2.08M,7.65%
2023-11-15,4.05,4.19,4.28,4.0,1.05M,-1.46%
2023-11-14,4.11,4.23,4.41,4.09,1.93M,-4.42%
2023-11-13,4.3,4.1,4.31,3.95,2.72M,4.88%
2023-11-12,4.1,3.65,4.17,3.65,2.37M,12.64%
2023-11-09,3.64,3.79,3.79,3.6,447.14K,-2.93%
2023-11-08,3.75,3.77,3.77,3.67,934.50K,0.27%
2023-11-07,3.74,3.75,3.81,3.7,602.48K,-1.32%
2023-11-06,3.79,3.82,3.9,3.75,282.81K,-1.30%
2023-11-05,3.84,3.75,3.97,3.73,1.50M,2.40%
2023-11-02,3.75,3.64,3.8,3.64,390.67K,1.90%
2023-11-01,3.68,3.69,3.83,3.45,1.60M,0.55%
2023-10-31,3.66,3.9,3.94,3.54,4.61M,-5.43%
2023-10-30,3.87,3.62,3.89,3.61,5.21M,7.50%
2023-10-29,3.6,3.53,3.61,3.4,2.65M,1.98%
2023-10-26,3.53,3.49,3.73,3.3,5.78M,2.32%
2023-10-25,3.45,3.0,3.6,2.97,7.52M,15.00%
2023-10-24,3.0,3.03,3.06,2.96,1.61M,-0.99%
2023-10-23,3.03,3.13,3.13,3.0,2.93M,-3.19%
2023-10-22,3.13,2.98,3.14,2.97,2.10M,5.74%
2023-10-19,2.96,3.04,3.04,2.94,583.24K,-1.66%
2023-10-18,3.01,2.99,3.03,2.93,1.35M,2.03%
2023-10-17,2.95,2.82,2.97,2.8,1.13M,4.61%
2023-10-16,2.82,2.87,2.9,2.78,916.27K,-1.74%
2023-10-15,2.87,2.84,2.9,2.81,573.75K,1.41%
2023-10-12,2.83,2.77,2.84,2.72,652.47K,3.28%
2023-10-11,2.74,2.73,2.82,2.71,595.72K,0.37%
2023-10-10,2.73,2.7,2.75,2.67,1.12M,1.11%
2023-10-09,2.7,2.7,2.78,2.65,388.68K,0.37%
2023-10-08,2.69,2.8,2.83,2.61,700.93K,-4.61%
2023-10-04,2.82,2.83,2.84,2.75,458.77K,-0.35%
2023-10-03,2.83,2.86,2.88,2.81,549.20K,-1.05%
2023-10-02,2.86,2.94,2.95,2.8,1.10M,-2.72%
2023-10-01,2.94,2.85,2.98,2.8,1.47M,3.52%
2023-09-27,2.84,2.88,2.9,2.78,1.49M,-0.70%
2023-09-26,2.86,2.9,2.94,2.85,1.70M,-0.69%
2023-09-25,2.88,3.1,3.1,2.8,5.71M,-6.49%
2023-09-24,3.08,3.07,3.13,3.03,1.27M,0.65%
2023-09-21,3.06,2.95,3.13,2.93,3.23M,5.15%
2023-09-20,2.91,3.19,3.21,2.9,3.01M,-7.91%
2023-09-19,3.16,3.24,3.38,3.16,970.16K,-3.36%
2023-09-18,3.27,3.27,3.3,3.23,228.33K,0.93%
2023-09-17,3.24,3.27,3.33,3.23,946.17K,-0.61%
2023-09-14,3.26,3.35,3.4,3.25,1.46M,-2.69%
2023-09-13,3.35,3.17,3.46,3.11,3.94M,6.35%
2023-09-12,3.15,3.17,3.2,3.11,350.65K,-0.63%
2023-09-11,3.17,3.28,3.28,3.02,818.02K,-1.86%
2023-09-10,3.23,3.28,3.37,3.2,1.15M,-0.31%
2023-09-07,3.24,3.24,3.31,3.17,2.36M,0.62%
2023-09-06,3.22,3.1,3.46,3.1,9.24M,3.87%
2023-09-05,3.1,2.95,3.1,2.95,1.40M,4.03%
2023-09-04,2.98,2.89,2.99,2.85,776.58K,3.47%
2023-09-03,2.88,2.9,2.95,2.83,338.52K,-1.03%
