Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,14.56,14.52,15.01,14.3,48.52K,0.28%
2023-12-10,14.52,14.89,15.0,14.52,33.86K,-0.27%
2023-12-07,14.56,15.36,15.4,13.01,102.69K,-5.82%
2023-12-06,15.46,15.4,16.0,15.27,75.87K,-1.53%
2023-12-05,15.7,15.6,16.5,15.32,131.98K,-1.13%
2023-12-04,15.88,15.69,17.1,15.61,387.49K,3.52%
2023-12-03,15.34,14.81,15.49,14.81,195.27K,5.79%
2023-11-30,14.5,14.14,14.79,14.14,157.34K,3.50%
2023-11-29,14.01,13.95,14.37,13.85,59.95K,0.21%
2023-11-28,13.98,14.14,14.38,13.86,40.58K,-1.55%
2023-11-27,14.2,14.19,14.8,14.19,74.09K,1.14%
2023-11-26,14.04,14.15,14.59,12.1,92.28K,-1.34%
2023-11-23,14.23,14.28,14.59,14.15,49.72K,-0.35%
2023-11-22,14.28,14.6,14.71,14.12,64.62K,1.93%
2023-11-21,14.01,14.05,14.49,13.9,61.69K,-0.71%
2023-11-20,14.11,14.6,14.79,14.01,59.38K,-4.34%
2023-11-19,14.75,14.9,14.9,14.4,16.27K,0.00%
2023-11-16,14.75,14.45,15.4,14.42,75.67K,2.86%
2023-11-15,14.34,14.16,14.7,14.16,34.67K,0.84%
2023-11-14,14.22,14.27,14.98,14.1,27.13K,-0.35%
2023-11-13,14.27,14.21,14.69,14.17,56.47K,-1.25%
2023-11-12,14.45,14.98,15.0,14.15,78.21K,-1.63%
2023-11-09,14.69,14.75,16.5,14.4,110.34K,1.52%
2023-11-08,14.47,14.15,15.0,14.01,106.39K,2.48%
2023-11-07,14.12,14.39,14.7,14.0,51.86K,-1.53%
2023-11-06,14.34,15.04,15.29,14.28,77.77K,-4.21%
2023-11-05,14.97,13.86,16.2,13.86,306.07K,7.39%
2023-11-02,13.94,13.43,14.67,13.43,240.49K,2.73%
2023-11-01,13.57,13.6,13.75,13.4,81.58K,0.59%
2023-10-31,13.49,13.6,13.95,13.31,35.13K,-2.67%
2023-10-30,13.86,13.55,14.25,13.0,27.95K,-1.14%
2023-10-29,14.02,14.0,14.4,13.75,37.67K,0.86%
2023-10-26,13.9,13.55,14.65,13.55,118.94K,2.58%
2023-10-25,13.55,13.35,14.04,13.35,128.61K,3.04%
2023-10-24,13.15,13.8,14.25,13.04,119.78K,-2.59%
2023-10-23,13.5,12.29,14.3,12.29,456.81K,11.57%
2023-10-22,12.1,11.79,12.55,11.79,76.02K,3.24%
2023-10-19,11.72,11.4,11.94,11.32,65.62K,1.38%
2023-10-18,11.56,11.52,11.7,11.32,46.73K,-0.09%
2023-10-17,11.57,11.6,11.79,11.5,29.45K,-1.70%
2023-10-16,11.77,11.7,12.0,11.4,65.97K,1.73%
2023-10-15,11.57,11.6,11.6,11.32,15.04K,0.00%
2023-10-12,11.57,11.7,11.9,11.4,54.67K,-0.09%
2023-10-11,11.58,11.4,11.8,11.18,37.10K,3.12%
2023-10-10,11.23,11.49,11.6,11.1,33.02K,1.08%
2023-10-09,11.11,11.81,11.81,11.0,14.15K,0.00%
2023-10-08,11.11,11.4,11.65,10.11,27.51K,-3.98%
2023-10-04,11.57,11.8,11.82,11.3,42.85K,-2.28%
2023-10-03,11.84,11.9,12.41,11.65,25.40K,-1.33%
2023-10-02,12.0,12.36,12.4,11.68,51.69K,-3.85%
2023-10-01,12.48,12.53,12.85,12.3,41.26K,-0.32%
2023-09-27,12.52,12.71,13.0,12.25,67.06K,-3.54%
2023-09-26,12.98,12.96,13.08,12.56,17.08K,0.00%
2023-09-25,12.98,13.18,13.39,12.9,48.78K,-0.15%
2023-09-24,13.0,12.95,13.35,12.86,92.41K,2.04%
2023-09-21,12.74,12.85,13.09,12.66,62.12K,0.31%
2023-09-20,12.7,12.76,13.2,12.56,143.47K,1.36%
2023-09-19,12.53,12.55,12.77,12.42,31.38K,-0.08%
2023-09-18,12.54,12.46,12.69,12.41,16.56K,0.00%
2023-09-17,12.54,12.75,12.87,12.51,4.44K,0.00%
2023-09-14,12.54,12.54,12.77,12.45,20.28K,0.00%
2023-09-13,12.54,12.6,12.99,12.35,29.41K,0.40%
2023-09-12,12.49,12.59,12.6,12.41,21.60K,0.00%
2023-09-11,12.49,12.68,12.74,12.35,54.75K,-1.19%
2023-09-10,12.64,12.99,12.99,12.64,18.20K,0.00%
2023-09-07,12.64,13.0,13.0,12.59,60.78K,-3.36%
2023-09-06,13.08,13.1,13.35,12.95,85.48K,0.38%
2023-09-05,13.03,13.16,13.25,12.88,40.35K,0.46%
2023-09-04,12.97,13.03,13.25,12.83,38.18K,-1.37%
2023-09-03,13.15,13.1,13.68,13.01,112.32K,2.26%
2023-08-31,12.86,13.1,13.1,12.51,48.53K,-1.76%
2023-08-30,13.09,13.35,13.4,12.96,32.65K,-1.13%
2023-08-29,13.24,13.0,13.46,13.0,57.85K,2.16%
2023-08-28,12.96,13.28,13.39,12.85,72.00K,0.00%
2023-08-27,12.96,13.3,13.5,12.88,60.25K,-0.99%
2023-08-24,13.09,13.34,13.34,12.81,38.90K,0.31%
2023-08-23,13.05,13.53,13.65,13.01,135.20K,-1.51%
2023-08-22,13.25,12.99,13.9,12.98,370.23K,3.11%
2023-08-21,12.85,12.61,13.15,12.5,158.86K,1.90%
2023-08-20,12.61,13.18,13.2,12.5,74.76K,-1.10%
2023-08-17,12.75,12.13,13.25,12.07,296.12K,5.20%
2023-08-16,12.12,12.4,12.44,12.01,30.74K,-1.14%
2023-08-15,12.26,12.4,12.5,12.13,29.01K,-1.76%
2023-08-14,12.48,12.35,12.68,12.3,48.79K,1.79%
2023-08-13,12.26,12.13,12.49,12.1,35.83K,0.00%
2023-08-10,12.26,12.76,12.76,12.11,20.70K,0.00%
2023-08-09,12.26,12.42,12.48,12.17,16.55K,0.00%
2023-08-08,12.26,12.55,12.6,12.12,47.33K,-1.21%
2023-08-07,12.41,12.6,13.18,12.37,139.24K,-0.88%
2023-08-06,12.52,11.9,12.64,11.82,115.03K,4.68%
2023-08-03,11.96,12.0,12.19,11.7,54.38K,0.25%
2023-08-02,11.93,12.4,12.69,11.8,93.75K,-7.30%
2023-08-01,12.87,12.4,12.87,12.32,21.46K,0.00%
2023-07-31,12.87,12.46,12.89,12.02,21.96K,0.00%
2023-07-30,12.87,12.55,13.36,12.46,31.12K,-0.69%
2023-07-27,12.96,12.55,13.39,12.01,57.71K,0.15%
2023-07-26,12.94,13.0,13.2,12.82,42.28K,-0.92%
2023-07-25,13.06,13.22,13.47,13.0,62.09K,-1.66%
2023-07-24,13.28,13.34,13.85,13.15,103.63K,-0.45%
2023-07-19,13.34,13.85,13.9,13.31,136.46K,-3.68%
2023-07-18,13.85,13.55,14.4,13.5,275.21K,2.21%
2023-07-17,13.55,14.48,14.5,13.5,220.38K,-6.94%
2023-07-16,14.56,14.04,15.5,14.0,524.64K,11.31%
2023-07-13,13.08,11.0,13.08,10.82,402.09K,20.00%
2023-07-12,10.9,11.19,11.45,10.9,19.22K,0.00%
2023-07-11,10.9,10.52,11.2,10.52,45.75K,-1.09%
2023-07-10,11.02,10.6,11.02,10.5,8.61K,0.00%
2023-07-09,11.02,10.8,11.02,10.6,12.01K,0.00%
2023-07-06,11.02,11.3,11.3,10.82,19.44K,0.00%
2023-07-05,11.02,11.04,11.48,10.97,59.09K,-5.25%
2023-07-04,11.63,11.5,11.63,11.11,9.91K,0.00%
2023-06-26,11.63,11.69,11.69,11.06,18.27K,0.00%
2023-06-25,11.63,10.85,12.0,10.85,202.56K,1.93%
2023-06-22,11.41,11.06,11.41,10.62,18.07K,0.00%
