Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.67,2.7,2.74,2.65,1.38M,-1.48%
2023-12-10,2.71,2.73,2.79,2.69,1.97M,0.37%
2023-12-07,2.7,2.69,2.75,2.65,2.98M,-0.37%
2023-12-06,2.71,2.86,2.89,2.7,3.14M,-4.91%
2023-12-05,2.85,2.88,2.97,2.85,5.07M,0.00%
2023-12-04,2.85,2.88,2.93,2.85,3.85M,1.06%
2023-12-03,2.82,2.99,3.06,2.82,7.90M,-4.08%
2023-11-30,2.94,2.85,2.99,2.83,8.51M,4.63%
2023-11-29,2.81,2.75,2.92,2.71,10.15M,4.07%
2023-11-28,2.7,2.71,2.77,2.69,6.36M,0.00%
2023-11-27,2.7,2.71,2.76,2.68,3.36M,0.75%
2023-11-26,2.68,2.74,2.78,2.67,3.14M,-1.11%
2023-11-23,2.71,2.61,2.77,2.6,4.59M,4.23%
2023-11-22,2.6,2.61,2.63,2.58,2.18M,0.39%
2023-11-21,2.59,2.58,2.65,2.58,2.58M,1.17%
2023-11-20,2.56,2.65,2.67,2.53,3.55M,-2.29%
2023-11-19,2.62,2.65,2.69,2.61,4.22M,1.55%
2023-11-16,2.58,2.48,2.64,2.47,5.76M,4.45%
2023-11-15,2.47,2.45,2.53,2.43,1.64M,0.82%
2023-11-14,2.45,2.57,2.57,2.43,2.00M,-2.39%
2023-11-13,2.51,2.52,2.59,2.51,5.65M,1.21%
2023-11-12,2.48,2.37,2.5,2.35,2.68M,4.64%
2023-11-09,2.37,2.42,2.45,2.36,1.40M,-2.07%
2023-11-08,2.42,2.49,2.49,2.4,1.33M,-1.63%
2023-11-07,2.46,2.46,2.5,2.42,1.38M,0.00%
2023-11-06,2.46,2.46,2.47,2.4,2.18M,1.23%
2023-11-05,2.43,2.4,2.45,2.35,1.11M,1.25%
2023-11-02,2.4,2.44,2.49,2.39,1.37M,-0.83%
2023-11-01,2.42,2.32,2.5,2.32,6.12M,6.14%
2023-10-31,2.28,2.41,2.41,2.27,1.83M,-3.80%
2023-10-30,2.37,2.34,2.44,2.34,1.79M,0.85%
2023-10-29,2.35,2.4,2.4,2.33,830.57K,0.00%
2023-10-26,2.35,2.39,2.44,2.3,2.36M,-1.67%
2023-10-25,2.39,2.25,2.41,2.23,3.66M,7.17%
2023-10-24,2.23,2.24,2.28,2.21,502.52K,-0.89%
2023-10-23,2.25,2.23,2.27,2.21,799.83K,0.90%
2023-10-22,2.23,2.2,2.24,2.18,604.68K,2.29%
2023-10-19,2.18,2.23,2.23,2.17,804.75K,-1.36%
2023-10-18,2.21,2.25,2.25,2.2,756.18K,-0.45%
2023-10-17,2.22,2.17,2.24,2.16,1.13M,2.78%
2023-10-16,2.16,2.18,2.19,2.15,818.70K,0.00%
2023-10-15,2.16,2.17,2.19,2.14,822.44K,0.47%
2023-10-12,2.15,2.15,2.19,2.11,426.34K,0.94%
2023-10-11,2.13,2.12,2.18,2.11,982.05K,0.47%
2023-10-10,2.12,2.1,2.15,2.1,586.88K,0.95%
2023-10-09,2.1,2.15,2.2,2.07,605.67K,0.00%
2023-10-08,2.1,2.21,2.22,2.05,1.38M,-4.98%
2023-10-04,2.21,2.2,2.24,2.14,1.96M,1.38%
2023-10-03,2.18,2.19,2.22,2.17,652.66K,0.00%
2023-10-02,2.18,2.24,2.29,2.15,1.24M,-3.11%
2023-10-01,2.25,2.23,2.26,2.22,334.45K,0.00%
2023-09-27,2.25,2.28,2.3,2.23,636.82K,-1.75%
2023-09-26,2.29,2.3,2.32,2.27,501.61K,0.44%
2023-09-25,2.28,2.32,2.35,2.27,1.53M,-1.30%
2023-09-24,2.31,2.35,2.35,2.29,1.29M,-0.43%
2023-09-21,2.32,2.35,2.35,2.31,1.01M,0.00%
2023-09-20,2.32,2.39,2.4,2.31,1.49M,-2.93%
2023-09-19,2.39,2.45,2.47,2.38,3.19M,-1.24%
2023-09-18,2.42,2.38,2.47,2.37,4.90M,2.11%
2023-09-17,2.37,2.42,2.43,2.37,2.44M,-1.25%
2023-09-14,2.4,2.38,2.47,2.37,5.61M,1.27%
2023-09-13,2.37,2.33,2.4,2.32,3.89M,2.60%
2023-09-12,2.31,2.35,2.37,2.3,1.77M,-1.28%
2023-09-11,2.34,2.39,2.4,2.33,1.39M,-1.68%
2023-09-10,2.38,2.41,2.42,2.37,2.01M,-0.42%
2023-09-07,2.39,2.45,2.46,2.38,3.98M,-1.65%
2023-09-06,2.43,2.41,2.49,2.41,5.14M,1.67%
2023-09-05,2.39,2.41,2.46,2.37,4.12M,-0.83%
2023-09-04,2.41,2.45,2.45,2.39,3.65M,-1.63%
2023-09-03,2.45,2.49,2.54,2.45,2.45M,-0.41%
2023-08-31,2.46,2.46,2.51,2.41,3.57M,1.23%
2023-08-30,2.43,2.46,2.46,2.4,1.65M,0.41%
2023-08-29,2.42,2.44,2.47,2.39,2.44M,0.83%
2023-08-28,2.4,2.48,2.52,2.38,3.26M,-2.44%
2023-08-27,2.46,2.48,2.53,2.45,3.84M,0.00%
2023-08-24,2.46,2.54,2.54,2.41,3.31M,-2.38%
2023-08-23,2.52,2.55,2.65,2.5,6.65M,0.40%
2023-08-22,2.51,2.53,2.58,2.46,5.49M,1.21%
2023-08-21,2.48,2.4,2.56,2.37,6.81M,3.77%
2023-08-20,2.39,2.42,2.47,2.37,2.11M,-1.65%
2023-08-17,2.43,2.48,2.5,2.4,1.28M,-0.82%
2023-08-16,2.45,2.41,2.56,2.35,9.13M,3.38%
2023-08-15,2.37,2.42,2.46,2.35,4.64M,-1.25%
2023-08-14,2.4,2.32,2.44,2.3,4.34M,5.26%
2023-08-13,2.28,2.3,2.35,2.27,959.45K,-0.87%
2023-08-10,2.3,2.3,2.35,2.28,634.59K,-0.43%
2023-08-09,2.31,2.32,2.36,2.29,842.99K,0.00%
2023-08-08,2.31,2.42,2.45,2.29,3.58M,-2.53%
2023-08-07,2.37,2.23,2.44,2.23,5.09M,6.28%
2023-08-06,2.23,2.2,2.25,2.19,848.14K,2.29%
2023-08-03,2.18,2.24,2.24,2.17,264.32K,0.00%
2023-08-02,2.18,2.23,2.26,2.17,418.73K,-2.24%
2023-08-01,2.23,2.25,2.27,2.21,634.12K,0.90%
2023-07-31,2.21,2.23,2.27,2.2,1.23M,0.45%
2023-07-30,2.2,2.18,2.22,2.17,251.81K,0.92%
2023-07-27,2.18,2.18,2.21,2.17,376.15K,0.00%
2023-07-26,2.18,2.21,2.21,2.17,290.74K,-0.46%
2023-07-25,2.19,2.22,2.25,2.18,565.06K,-1.79%
2023-07-24,2.23,2.24,2.27,2.22,153.31K,-0.45%
2023-07-19,2.24,2.27,2.27,2.24,185.63K,-0.44%
2023-07-18,2.25,2.25,2.28,2.23,355.51K,1.35%
2023-07-17,2.22,2.25,2.28,2.22,720.81K,-0.45%
2023-07-16,2.23,2.25,2.27,2.2,1.24M,0.00%
2023-07-13,2.23,2.28,2.28,2.2,279.06K,0.45%
2023-07-12,2.22,2.25,2.28,2.2,263.82K,-1.33%
2023-07-11,2.25,2.28,2.28,2.22,279.98K,0.90%
2023-07-10,2.23,2.17,2.28,2.14,399.39K,6.19%
2023-07-09,2.1,2.29,2.3,2.1,838.07K,-8.70%
2023-07-06,2.3,2.32,2.38,2.28,679.59K,-1.29%
2023-07-05,2.33,2.36,2.4,2.31,568.94K,-1.27%
2023-07-04,2.36,2.44,2.44,2.35,238.92K,0.00%
2023-06-26,2.36,2.35,2.37,2.31,337.14K,1.29%
2023-06-25,2.33,2.41,2.45,2.3,1.45M,-3.32%
2023-06-22,2.41,2.43,2.44,2.38,531.96K,-0.82%
2023-06-21,2.43,2.48,2.5,2.41,416.15K,-2.02%
2023-06-20,2.48,2.52,2.53,2.45,308.52K,-0.80%
2023-06-19,2.5,2.54,2.57,2.47,756.05K,-0.79%
2023-06-18,2.52,2.5,2.55,2.49,659.30K,1.61%
2023-06-15,2.48,2.44,2.5,2.42,653.74K,1.64%
2023-06-14,2.44,2.48,2.52,2.42,862.20K,-0.81%
2023-06-13,2.46,2.53,2.55,2.45,1.63M,-2.38%
2023-06-12,2.52,2.56,2.56,2.5,414.09K,0.00%
