Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.74,4.73,4.84,4.72,182.96K,-1.25%
2023-12-10,4.8,4.81,4.95,4.75,323.01K,-0.62%
2023-12-07,4.83,4.81,4.96,4.76,95.17K,0.42%
2023-12-06,4.81,5.08,5.08,4.77,445.99K,-5.87%
2023-12-05,5.11,5.1,5.44,5.05,253.78K,-0.97%
2023-12-04,5.16,5.22,5.32,4.95,476.54K,-0.19%
2023-12-03,5.17,4.8,5.39,4.5,1.02M,8.84%
2023-11-30,4.75,4.59,4.8,4.5,564.53K,4.40%
2023-11-29,4.55,4.43,4.7,4.43,403.62K,1.11%
2023-11-28,4.5,4.38,4.64,4.3,1.51M,4.90%
2023-11-27,4.29,4.2,4.4,4.17,719.99K,2.14%
2023-11-26,4.2,4.1,4.3,3.96,1.83M,3.96%
2023-11-23,4.04,3.83,4.06,3.74,2.21M,6.60%
2023-11-22,3.79,3.74,3.82,3.7,407.25K,1.34%
2023-11-21,3.74,3.7,3.77,3.66,69.27K,0.00%
2023-11-20,3.74,3.8,3.82,3.69,98.01K,-1.32%
2023-11-19,3.79,3.85,3.9,3.76,450.40K,-0.26%
2023-11-16,3.8,3.82,3.9,3.76,300.38K,1.88%
2023-11-15,3.73,3.83,4.05,3.71,389.69K,-1.58%
2023-11-14,3.79,3.9,3.9,3.74,269.38K,0.00%
2023-11-13,3.79,3.9,3.9,3.72,314.55K,-2.07%
2023-11-12,3.87,3.95,3.95,3.4,405.66K,-1.78%
2023-11-09,3.94,4.19,4.35,3.9,1.17M,-5.74%
2023-11-08,4.18,3.95,4.24,3.9,940.99K,6.36%
2023-11-07,3.93,3.61,3.97,3.58,943.07K,9.47%
2023-11-06,3.59,3.81,3.97,3.57,655.25K,-6.51%
2023-11-05,3.84,3.55,3.9,3.48,1.07M,7.26%
2023-11-02,3.58,3.48,3.58,3.43,55.06K,0.00%
2023-11-01,3.58,3.45,3.54,3.41,70.43K,0.00%
2023-10-31,3.58,3.54,3.65,3.4,78.67K,0.00%
2023-10-30,3.58,3.87,3.93,3.51,406.30K,-7.97%
2023-10-29,3.89,3.57,3.98,3.45,801.42K,13.74%
2023-10-26,3.42,3.55,3.56,3.35,187.81K,-0.87%
2023-10-25,3.45,3.37,3.52,3.27,140.72K,6.48%
2023-10-24,3.24,3.4,3.46,3.2,283.61K,-4.14%
2023-10-23,3.38,3.2,3.4,3.2,209.34K,6.96%
2023-10-22,3.16,3.11,3.28,3.11,61.77K,0.00%
2023-10-19,3.16,3.11,3.18,3.1,52.40K,0.00%
2023-10-18,3.16,3.1,3.17,3.06,57.60K,0.00%
2023-10-17,3.16,3.12,3.15,3.1,54.36K,0.00%
2023-10-16,3.16,3.18,3.19,3.12,35.34K,0.00%
2023-10-15,3.16,3.13,3.19,3.12,31.90K,0.00%
2023-10-12,3.16,3.13,3.27,3.09,78.00K,0.00%
2023-10-11,3.16,3.15,3.25,3.12,234.00K,0.00%
2023-10-10,3.16,3.0,3.21,3.0,153.22K,-3.95%
2023-10-09,3.29,2.9,3.1,2.9,30.12K,0.00%
2023-10-08,3.29,3.07,3.13,2.9,65.44K,0.00%
2023-10-04,3.29,3.05,3.1,3.05,8.75K,0.00%
2023-10-03,3.29,3.1,3.13,3.1,22.94K,0.00%
2023-10-02,3.29,3.16,3.2,3.11,13.30K,0.00%
2023-10-01,3.29,3.17,3.2,3.13,46.48K,0.00%
2023-09-27,3.29,3.32,3.32,3.13,40.04K,0.00%
2023-09-26,3.29,3.28,3.3,3.23,43.30K,0.00%
2023-09-25,3.29,3.3,3.35,3.26,125.77K,-5.73%
2023-09-24,3.49,3.32,3.38,3.28,66.37K,0.00%
2023-09-21,3.49,3.4,3.4,3.3,64.82K,0.00%
2023-09-20,3.49,3.42,3.44,3.22,76.61K,0.00%
2023-09-19,3.49,3.41,3.59,3.4,202.50K,1.45%
2023-09-18,3.44,3.45,3.47,3.39,49.64K,0.00%
2023-09-17,3.44,3.43,3.55,3.4,238.78K,0.88%
2023-09-14,3.41,3.45,3.49,3.4,128.13K,-1.45%
2023-09-13,3.46,3.5,3.6,3.42,361.52K,0.29%
2023-09-12,3.45,3.24,3.66,3.24,1.09M,5.18%
2023-09-11,3.28,3.32,3.36,3.21,166.32K,-2.09%
2023-09-10,3.35,3.33,3.4,3.32,38.85K,0.00%
2023-09-07,3.35,3.33,3.43,3.33,346.41K,0.90%
2023-09-06,3.32,3.38,3.4,3.3,310.81K,-2.92%
2023-09-05,3.42,3.47,3.6,3.39,627.29K,-0.58%
2023-09-04,3.44,3.51,3.59,3.4,274.20K,-2.55%
2023-09-03,3.53,3.65,3.73,3.5,654.80K,-0.84%
2023-08-31,3.56,3.3,3.89,3.3,1.47M,7.55%
2023-08-30,3.31,3.25,3.47,3.25,608.39K,0.61%
2023-08-29,3.29,3.38,3.42,3.25,289.59K,-0.30%
2023-08-28,3.3,3.35,3.48,3.28,811.94K,0.30%
2023-08-27,3.29,3.3,3.39,3.18,402.21K,2.17%
2023-08-24,3.22,3.32,3.44,3.18,533.08K,0.00%
2023-08-23,3.22,2.97,3.34,2.97,545.01K,6.62%
2023-08-22,3.02,2.9,2.97,2.9,21.61K,0.00%
2023-08-21,3.02,2.99,2.99,2.99,3.86K,0.00%
2023-08-20,3.02,2.95,2.98,2.86,14.27K,0.00%
2023-08-17,3.02,2.9,2.99,2.89,26.87K,0.00%
2023-08-16,3.02,3.0,3.0,3.0,0.05K,0.00%
2023-08-15,3.02,3.0,3.0,2.92,90.23K,0.00%
2023-08-14,3.02,2.99,3.0,2.95,28.70K,0.00%
2023-08-13,3.02,2.96,3.0,2.9,26.57K,0.00%
2023-08-10,3.02,2.99,3.0,2.93,14.00K,0.00%
2023-08-09,3.02,2.97,2.97,2.95,16.55K,0.00%
2023-08-07,3.02,3.05,3.09,2.95,18.11K,0.00%
2023-08-06,3.02,2.96,2.99,2.92,51.57K,0.00%
2023-08-03,3.02,2.96,3.0,2.96,16.25K,0.00%
2023-08-02,3.02,3.0,3.0,2.98,10.90K,0.00%
2023-08-01,3.02,2.99,3.12,2.9,197.55K,-3.21%
2023-07-31,3.12,2.97,2.99,2.97,27.40K,0.00%
2023-07-30,3.12,3.0,3.0,2.97,18.50K,0.00%
2023-07-27,3.12,3.0,3.12,2.9,18.75K,0.00%
2023-07-26,3.12,2.93,3.0,2.9,101.62K,0.00%
2023-07-25,3.12,3.0,3.05,2.95,17.27K,0.00%
2023-07-24,3.12,3.05,3.05,3.0,49.28K,0.00%
2023-07-19,3.12,2.92,2.92,2.9,5.00K,0.00%
2023-07-17,3.12,2.98,3.0,2.93,37.96K,0.00%
2023-07-16,3.12,2.99,3.0,2.9,16.24K,0.00%
2023-07-11,3.12,2.97,3.0,2.96,15.45K,0.00%
2023-07-10,3.12,3.0,3.0,2.9,56.91K,0.00%
2023-07-09,3.12,3.04,3.04,2.9,76.00K,0.00%
2023-07-06,3.12,3.09,3.1,3.03,70.70K,0.00%
2023-07-05,3.12,3.02,3.04,3.02,12.82K,0.00%
2023-07-04,3.12,3.03,3.05,3.01,38.18K,0.00%
2023-06-26,3.12,3.03,3.09,3.0,45.85K,0.00%
2023-06-25,3.12,3.03,3.08,3.01,47.80K,0.00%
2023-06-22,3.12,3.09,3.16,3.01,66.13K,0.00%
2023-06-21,3.12,3.15,3.17,3.08,103.51K,-6.02%
2023-06-20,3.32,3.29,3.29,3.17,21.80K,0.00%
2023-06-19,3.32,3.28,3.28,3.18,36.37K,0.00%
2023-06-18,3.32,3.29,3.29,3.22,24.62K,0.00%
2023-06-15,3.32,3.2,3.37,3.18,38.00K,0.00%
2023-06-14,3.32,3.2,3.25,3.16,63.11K,0.00%
2023-06-13,3.32,3.25,3.29,3.13,72.39K,0.00%
2023-06-11,3.32,3.43,3.43,3.25,20.71K,0.00%
2023-06-08,3.32,3.38,3.45,3.28,114.49K,-0.60%
2023-06-07,3.34,3.38,3.45,3.28,128.08K,-3.47%
2023-06-06,3.46,3.57,3.6,3.4,609.15K,-3.62%
2023-06-05,3.59,3.46,3.7,3.34,403.31K,5.28%
2023-06-04,3.41,3.34,3.5,3.34,272.62K,3.65%
2023-06-01,3.29,3.24,3.37,3.21,55.97K,0.00%
2023-05-31,3.29,3.28,3.32,3.2,32.14K,0.00%
2023-05-30,3.29,3.23,3.3,3.2,71.30K,0.00%
2023-05-29,3.29,3.3,3.39,3.23,169.72K,0.30%
2023-05-28,3.28,3.18,3.39,3.17,159.35K,3.47%
2023-05-25,3.17,3.17,3.19,3.16,15.95K,0.00%
2023-05-24,3.17,3.32,3.33,3.12,121.15K,-5.09%
2023-05-23,3.34,3.2,3.35,3.18,394.98K,5.36%
2023-05-22,3.17,3.15,3.21,3.09,96.58K,-1.55%
2023-05-21,3.22,3.05,3.15,3.04,74.83K,0.00%
