Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.53,3.18,3.18,3.18,0.16K,0.00%
2023-12-10,3.53,3.18,3.18,3.18,0.67K,0.00%
2023-12-07,3.53,3.18,3.18,3.18,0.58K,0.00%
2023-12-05,3.53,3.18,3.18,3.18,5.72K,0.00%
2023-12-04,3.53,3.18,3.18,3.18,0.10K,0.00%
2023-11-20,3.53,3.18,3.18,3.18,0.33K,0.00%
2023-11-19,3.53,3.18,3.18,3.18,0.02K,0.00%
2023-11-07,3.53,3.18,3.18,3.18,2.70K,0.00%
2023-10-31,3.53,3.18,3.18,3.18,0.02K,0.00%
2023-10-24,3.53,3.18,3.18,3.18,0.06K,0.00%
2023-10-23,3.53,3.18,3.18,3.18,1.06K,0.00%
2023-10-11,3.53,3.18,3.18,3.18,3.14K,0.00%
2023-09-25,3.53,3.18,3.18,3.18,0.01K,0.00%
2023-09-10,3.53,3.18,3.18,3.18,0.03K,0.00%
2023-09-04,3.53,3.18,3.18,3.18,1.00K,0.00%
2023-08-29,3.53,3.18,3.18,3.18,5.00K,0.00%
2023-08-28,3.53,3.18,3.18,3.18,1.98K,0.00%
2023-08-09,3.53,3.18,3.18,3.18,3.84K,0.00%
2023-07-31,3.53,3.18,3.18,3.18,1.58K,0.00%
2023-07-18,3.53,3.18,3.18,3.18,1.00K,0.00%
2023-07-05,3.53,3.18,3.18,3.18,10.00K,0.00%
2023-07-04,3.53,3.18,3.18,3.18,1.74K,0.00%
2023-06-26,3.53,3.18,3.18,3.18,1.00K,0.00%
2023-06-15,3.53,3.18,3.18,3.18,1.32K,0.00%
2023-06-14,3.53,3.18,3.18,3.18,1.33K,0.00%
2023-06-04,3.53,3.18,3.18,3.18,5.02K,0.00%
2023-06-01,3.53,3.18,3.18,3.18,22.00K,0.00%
2023-05-29,3.53,3.18,3.18,3.18,9.18K,0.00%
2023-05-28,3.53,3.18,3.18,3.18,12.25K,0.00%
2023-05-25,3.53,3.18,3.18,3.18,10.35K,0.00%
2023-05-17,3.53,3.18,3.18,3.18,7.17K,0.00%
2023-05-15,3.53,3.2,3.2,3.19,7.50K,0.00%
2023-05-14,3.53,3.21,3.21,3.21,7.00K,0.00%
2023-05-11,3.53,3.27,3.28,3.25,10.69K,0.00%
2023-05-10,3.53,3.21,3.21,3.21,0.57K,0.00%
2023-05-09,3.53,3.24,3.53,3.22,17.77K,0.00%
2023-05-08,3.53,3.26,3.3,3.25,12.46K,0.00%
2023-05-07,3.53,3.2,3.51,3.2,2.77K,0.00%
2023-05-03,3.53,3.5,3.53,3.37,1.49K,0.00%
2023-05-02,3.53,3.1,3.65,3.1,84.46K,5.06%
2023-05-01,3.36,3.12,3.12,3.06,0.10K,0.00%
2023-04-30,3.36,3.5,3.58,3.23,4.23K,0.00%
2023-04-27,3.36,3.05,3.55,3.05,4.55K,0.00%
2023-04-26,3.36,3.31,3.62,3.31,113.07K,-8.45%
2023-04-19,3.67,3.49,3.49,3.49,0.04K,0.00%
2023-04-18,3.67,3.31,3.51,3.31,3.01K,0.00%
2023-04-13,3.67,3.31,3.31,3.31,0.12K,0.00%
2023-04-12,3.67,3.31,3.31,3.31,5.24K,0.00%
2023-04-11,3.67,3.31,3.31,3.31,5.87K,0.00%
2023-04-10,3.67,3.31,3.5,3.31,1.31K,0.00%
2023-04-09,3.67,3.32,3.32,3.31,15.65K,0.00%
2023-04-06,3.67,3.33,3.68,3.33,1.93K,0.00%
2023-04-05,3.67,3.33,3.69,3.33,101.69K,-0.54%
2023-04-04,3.69,3.4,3.48,3.33,2.10K,0.00%
2023-04-03,3.69,3.37,3.5,3.36,4.70K,0.00%
2023-04-02,3.69,3.57,3.58,3.36,24.14K,0.00%
2023-03-29,3.69,3.55,3.57,3.54,8.00K,0.00%
2023-03-28,3.69,3.55,3.57,3.36,8.18K,0.00%
2023-03-27,3.69,3.33,3.57,3.33,2.10K,0.00%
2023-03-26,3.69,3.34,3.58,3.33,16.23K,0.00%
2023-03-23,3.69,3.6,3.6,3.59,20.26K,0.00%
2023-03-22,3.69,3.35,3.35,3.33,1.40K,0.00%
2023-03-21,3.69,3.62,3.7,3.56,228.04K,-6.58%
2023-03-20,3.95,3.56,3.56,3.56,20.57K,0.00%
2023-03-19,3.95,3.56,3.56,3.56,1.00K,0.00%
2023-03-16,3.95,3.6,3.89,3.56,15.80K,0.00%
2023-03-15,3.95,3.98,3.98,3.98,2.00K,0.00%
2023-03-14,3.95,3.56,3.57,3.56,20.07K,0.00%
2023-03-13,3.95,3.56,3.56,3.56,4.86K,0.00%
2023-03-12,3.95,3.72,3.89,3.66,7.19K,0.00%
2023-03-08,3.95,3.56,4.0,3.56,16.93K,0.00%
2023-03-07,3.95,3.87,4.0,3.8,364.28K,2.07%
2023-03-06,3.87,3.87,3.94,3.64,20.50K,0.00%
2023-03-05,3.87,3.75,3.88,3.75,96.02K,2.93%
2023-03-02,3.76,3.55,3.57,3.55,1.55K,0.00%
2023-03-01,3.76,3.55,3.55,3.55,0.05K,0.00%
2023-02-28,3.76,3.57,3.8,3.57,105.05K,-5.05%
2023-02-27,3.96,3.57,3.57,3.57,5.00K,0.00%
2023-02-26,3.96,3.57,3.57,3.57,15.99K,0.00%
2023-02-23,3.96,3.57,3.58,3.57,15.00K,0.00%
2023-02-22,3.96,3.57,3.59,3.57,22.69K,0.00%
2023-02-21,3.96,3.6,3.65,3.57,29.42K,0.00%
2023-02-20,3.96,3.65,3.92,3.6,16.05K,0.00%
2023-02-19,3.96,3.9,3.95,3.63,16.08K,0.00%
2023-02-16,3.96,3.93,4.01,3.93,256.60K,-7.48%
2023-02-15,4.28,3.82,4.35,3.58,327.50K,7.81%
2023-02-14,3.97,4.0,4.09,4.0,3.10K,0.00%
2023-02-13,3.97,3.76,4.0,3.76,11.54K,0.00%
2023-02-12,3.97,4.0,4.21,3.9,172.39K,3.66%
2023-02-09,3.83,3.77,4.02,3.77,48.94K,1.59%
2023-02-08,3.77,3.61,3.83,3.6,291.90K,-1.57%
2023-02-07,3.83,3.68,3.83,3.67,91.17K,9.74%
2023-02-06,3.49,3.64,3.68,3.4,103.28K,4.18%
2023-02-05,3.35,2.81,3.35,2.81,492.28K,9.84%
2023-02-02,3.05,2.92,3.05,2.85,15.93K,0.00%
2023-02-01,3.05,3.03,3.05,3.03,22.63K,0.00%
2023-01-31,3.05,3.1,3.1,2.82,1.93K,0.00%
2023-01-30,3.05,2.85,3.13,2.8,4.97K,0.00%
2023-01-29,3.05,3.05,3.1,2.95,12.85K,0.00%
2023-01-25,3.05,2.85,2.85,2.85,4.50K,0.00%
2023-01-24,3.05,3.05,3.05,3.05,1.00K,0.00%
2023-01-23,3.05,3.05,3.24,3.05,1.15K,0.00%
2023-01-22,3.05,3.18,3.25,3.05,40.50K,0.00%
2023-01-19,3.05,3.05,3.05,2.9,7.00K,0.00%
2023-01-18,3.05,2.76,3.09,2.73,56.83K,4.81%
2023-01-17,2.91,2.85,2.91,2.73,39.24K,0.00%
2023-01-16,2.91,2.79,2.97,2.68,67.64K,2.11%
2023-01-15,2.85,2.79,2.8,2.79,15.00K,0.00%
2023-01-12,2.85,2.79,2.8,2.7,24.37K,0.00%
2023-01-02,2.85,2.8,2.93,2.8,10.07K,0.00%
2022-12-29,2.85,2.67,2.67,2.67,0.18K,0.00%
2022-12-28,2.85,2.72,2.84,2.65,30.37K,0.00%
2022-12-27,2.85,2.89,2.89,2.72,7.73K,0.00%
2022-12-26,2.85,2.71,2.72,2.71,9.26K,0.00%
2022-12-25,2.85,2.85,2.93,2.82,341.25K,-2.73%
2022-12-22,2.93,2.73,2.8,2.73,8.40K,0.00%
2022-12-21,2.93,2.8,2.9,2.8,35.54K,0.00%
2022-12-20,2.93,2.73,2.85,2.64,28.41K,0.00%
2022-12-19,2.93,2.9,2.9,2.64,31.58K,0.00%
2022-12-18,2.93,3.0,3.0,2.72,10.80K,0.00%
2022-12-15,2.93,2.92,2.92,2.8,34.00K,0.00%
2022-12-14,2.93,3.05,3.05,2.93,353.30K,-3.93%
2022-12-13,3.05,2.95,3.05,2.95,139.22K,6.27%
2022-12-12,2.87,3.0,3.0,2.85,58.03K,-1.03%
2022-12-11,2.9,3.0,3.0,2.9,13.20K,-3.33%
2022-12-08,3.0,3.07,3.1,3.0,12.20K,0.00%
2022-12-07,3.0,3.0,3.06,2.86,136.29K,0.00%
2022-12-06,3.0,3.07,3.09,2.89,198.58K,-1.32%
2022-12-05,3.04,3.0,3.07,2.92,104.32K,2.36%
2022-12-04,2.97,3.03,3.1,2.95,63.06K,-4.81%
2022-12-01,3.12,3.03,3.14,3.0,13.30K,0.00%
2022-11-30,3.12,3.12,3.12,3.01,16.23K,0.00%
2022-11-29,3.12,3.11,3.11,3.08,21.35K,0.00%
2022-11-28,3.12,3.05,3.26,3.02,150.40K,2.63%
2022-11-27,3.04,3.06,3.14,3.0,95.95K,-2.25%
2022-11-24,3.11,3.07,3.14,3.05,56.67K,0.00%
2022-11-23,3.11,3.1,3.28,3.04,140.71K,-4.60%
2022-11-22,3.26,2.99,3.34,2.88,399.64K,7.24%
2022-11-21,3.04,2.99,3.09,2.85,129.41K,1.33%
2022-11-20,3.0,3.25,3.3,2.99,298.95K,-4.46%
2022-11-17,3.14,3.34,3.49,3.1,446.93K,-2.79%
2022-11-16,3.23,2.98,3.23,2.98,491.03K,9.86%
2022-11-15,2.94,3.13,3.3,2.73,359.03K,-2.97%
2022-11-14,3.03,3.03,3.06,3.03,345.47K,-9.82%
2022-11-13,3.36,3.36,3.39,3.36,1.44M,-9.92%
2022-11-10,3.73,3.36,3.36,3.36,29.50K,0.00%
2022-11-09,3.73,3.36,3.36,3.36,30.00K,0.00%
2022-11-08,3.73,3.36,3.36,3.36,25.00K,0.00%
2022-11-07,3.73,3.36,3.36,3.36,29.48K,0.00%
