Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.77,1.84,1.84,1.75,8.26M,-2.97%
2023-12-10,1.82,1.84,1.88,1.81,5.12M,-0.76%
2023-12-07,1.83,1.86,1.88,1.76,6.91M,-2.45%
2023-12-06,1.88,1.9,1.94,1.86,8.39M,-1.05%
2023-12-05,1.9,1.92,1.97,1.89,25.91M,0.00%
2023-12-04,1.9,1.8,1.9,1.79,49.37M,6.74%
2023-12-03,1.78,1.67,1.8,1.67,50.29M,6.46%
2023-11-30,1.67,1.66,1.68,1.63,3.73M,2.01%
2023-11-29,1.64,1.71,1.72,1.63,11.71M,-3.30%
2023-11-28,1.7,1.67,1.72,1.64,37.50M,2.42%
2023-11-27,1.65,1.63,1.68,1.6,19.62M,2.10%
2023-11-26,1.62,1.62,1.63,1.61,7.53M,0.56%
2023-11-23,1.61,1.6,1.62,1.59,10.20M,0.62%
2023-11-22,1.6,1.59,1.61,1.58,16.49M,0.88%
2023-11-21,1.59,1.54,1.59,1.53,8.01M,3.18%
2023-11-20,1.54,1.52,1.54,1.52,6.88M,1.25%
2023-11-19,1.52,1.52,1.53,1.51,4.78M,0.40%
2023-11-16,1.51,1.52,1.52,1.51,2.81M,0.00%
2023-11-15,1.51,1.52,1.53,1.5,3.91M,0.00%
2023-11-14,1.51,1.52,1.54,1.5,5.69M,-0.40%
2023-11-13,1.52,1.5,1.52,1.5,4.07M,1.13%
2023-11-12,1.5,1.54,1.56,1.5,5.97M,-2.47%
2023-11-09,1.54,1.57,1.59,1.53,5.33M,-1.22%
2023-11-08,1.56,1.61,1.62,1.55,5.84M,-3.17%
2023-11-07,1.61,1.53,1.62,1.52,11.14M,5.30%
2023-11-06,1.53,1.54,1.54,1.52,4.03M,0.00%
2023-11-05,1.53,1.55,1.55,1.52,9.17M,0.00%
2023-11-02,1.53,1.52,1.55,1.52,17.93M,0.59%
2023-11-01,1.52,1.54,1.56,1.5,3.69M,-1.30%
2023-10-31,1.54,1.59,1.59,1.54,4.48M,-2.16%
2023-10-30,1.58,1.6,1.61,1.57,5.83M,-0.94%
2023-10-29,1.59,1.62,1.63,1.59,7.53M,0.00%
2023-10-26,1.59,1.58,1.64,1.57,17.62M,1.08%
2023-10-25,1.57,1.55,1.58,1.54,24.93M,1.55%
2023-10-24,1.55,1.58,1.59,1.54,9.38M,-1.65%
2023-10-23,1.57,1.57,1.59,1.55,8.64M,0.58%
2023-10-22,1.56,1.55,1.58,1.54,7.25M,0.51%
2023-10-19,1.55,1.51,1.6,1.51,10.52M,3.05%
2023-10-18,1.51,1.53,1.53,1.5,8.32M,0.47%
2023-10-17,1.5,1.48,1.54,1.48,19.87M,1.08%
2023-10-16,1.49,1.48,1.52,1.44,8.20M,0.00%
2023-10-15,1.49,1.44,1.49,1.44,7.85M,3.33%
2023-10-12,1.44,1.43,1.45,1.42,4.29M,0.35%
2023-10-11,1.43,1.36,1.46,1.35,12.88M,6.77%
2023-10-10,1.34,1.35,1.35,1.34,3.26M,0.00%
2023-10-09,1.34,1.36,1.36,1.34,2.69M,0.68%
2023-10-08,1.33,1.4,1.4,1.31,5.12M,-4.72%
2023-10-04,1.4,1.39,1.4,1.37,2.57M,0.58%
2023-10-03,1.39,1.4,1.41,1.38,3.29M,-1.21%
2023-10-02,1.41,1.41,1.42,1.4,7.21M,-0.42%
2023-10-01,1.41,1.43,1.44,1.4,2.33M,-1.26%
2023-09-27,1.43,1.44,1.44,1.4,6.89M,0.00%
2023-09-26,1.43,1.45,1.46,1.42,9.73M,-0.49%
2023-09-25,1.44,1.45,1.46,1.42,9.36M,-1.51%
2023-09-24,1.46,1.52,1.52,1.45,6.86M,-2.73%
2023-09-21,1.5,1.5,1.59,1.45,12.22M,-33.04%
2023-09-20,2.24,2.3,2.31,2.22,11.32M,-2.61%
2023-09-19,2.3,2.26,2.32,2.25,11.24M,2.22%
2023-09-18,2.25,2.26,2.26,2.24,2.80M,0.00%
2023-09-17,2.25,2.26,2.3,2.25,16.67M,0.45%
2023-09-14,2.24,2.18,2.24,2.17,6.87M,3.70%
2023-09-13,2.16,2.16,2.17,2.15,1.88M,0.47%
2023-09-12,2.15,2.16,2.17,2.13,2.50M,-0.46%
2023-09-11,2.16,2.18,2.19,2.14,4.23M,-0.46%
2023-09-10,2.17,2.21,2.23,2.15,11.11M,-0.91%
2023-09-07,2.19,2.23,2.23,2.19,3.75M,-0.45%
2023-09-06,2.2,2.23,2.26,2.19,9.76M,0.00%
2023-09-05,2.2,2.18,2.22,2.14,17.48M,3.29%
