Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,28.89,29.48,30.0,28.75,117.42K,-0.52%
2023-12-10,29.04,29.56,30.98,29.0,595.06K,-1.59%
2023-12-07,29.51,28.7,29.51,27.15,224.08K,4.98%
2023-12-06,28.11,29.52,30.38,27.7,755.79K,-2.90%
2023-12-05,28.95,27.58,28.95,27.58,198.32K,4.97%
2023-12-04,27.58,26.4,27.58,26.3,255.76K,4.99%
2023-12-03,26.27,25.1,26.33,23.83,374.06K,4.74%
2023-11-30,25.08,25.7,25.7,23.62,60.25K,1.13%
2023-11-29,24.8,23.65,24.8,22.8,581.09K,5.00%
2023-11-28,23.62,22.45,23.65,22.16,282.46K,4.84%
2023-11-27,22.53,22.99,22.99,22.5,61.26K,-1.79%
2023-11-26,22.94,22.5,23.12,22.5,45.25K,-0.09%
2023-11-23,22.96,22.34,23.0,22.34,137.07K,-0.13%
2023-11-22,22.99,22.6,23.0,22.2,135.21K,2.86%
2023-11-21,22.35,22.15,22.88,21.99,143.65K,0.86%
2023-11-20,22.16,22.02,23.11,21.13,579.14K,0.68%
2023-11-19,22.01,22.8,23.3,22.0,614.47K,-3.34%
2023-11-16,22.77,23.89,24.39,22.75,119.51K,-4.41%
2023-11-15,23.82,23.1,24.07,22.16,822.55K,3.21%
2023-11-14,23.08,22.0,23.1,21.85,435.63K,4.91%
2023-11-13,22.0,22.87,22.87,20.97,1.03M,-0.32%
2023-11-12,22.07,21.04,22.09,21.0,148.85K,4.90%
2023-11-09,21.04,20.44,21.05,20.3,229.64K,4.94%
2023-11-08,20.05,20.11,21.0,20.05,164.41K,-4.98%
2023-11-07,21.1,21.18,22.59,21.1,197.91K,-5.00%
2023-11-06,22.21,22.5,22.5,22.18,61.01K,-4.84%
2023-11-05,23.34,24.1,24.34,23.34,134.30K,-4.97%
2023-11-02,24.56,24.35,24.95,23.5,56.08K,-0.69%
2023-11-01,24.73,23.01,25.43,23.01,388.10K,2.11%
2023-10-31,24.22,24.18,25.19,24.18,216.15K,-4.83%
2023-10-30,25.45,25.39,25.48,24.63,301.58K,4.86%
2023-10-29,24.27,24.2,24.27,22.03,185.95K,4.97%
2023-10-26,23.12,22.9,23.12,22.61,396.61K,5.00%
2023-10-25,22.02,22.02,22.02,21.99,127.01K,4.96%
2023-10-24,20.98,20.0,21.14,19.71,293.36K,4.17%
2023-10-23,20.14,19.19,20.14,18.36,397.56K,4.95%
2023-10-22,19.19,18.5,19.24,17.7,175.98K,4.52%
2023-10-19,18.36,17.59,18.41,17.0,284.74K,4.68%
2023-10-18,17.54,16.72,17.54,16.13,277.46K,4.97%
2023-10-17,16.71,16.0,16.71,15.95,201.83K,4.96%
2023-10-16,15.92,14.42,15.92,14.42,207.22K,4.94%
2023-10-15,15.17,15.25,15.4,15.03,527.18K,0.00%
2023-10-12,15.17,15.04,15.38,15.01,412.76K,0.00%
2023-10-11,15.17,15.5,15.9,15.06,565.91K,-1.24%
2023-10-10,15.36,15.78,15.8,15.33,1.11M,-2.85%
2023-10-09,15.81,15.04,16.04,15.01,63.00K,0.06%
2023-10-08,15.8,15.8,15.8,15.01,9.47K,0.00%
2023-10-04,15.8,15.53,15.69,15.53,13.60K,0.00%
2023-10-03,15.8,15.23,16.06,15.23,35.21K,2.07%
2023-10-02,15.48,15.8,15.9,15.31,60.65K,-3.25%
2023-10-01,16.0,16.0,16.15,15.62,14.62K,0.00%
2023-09-27,16.0,16.0,16.27,15.62,33.92K,-0.19%
2023-09-26,16.03,16.19,16.2,15.8,26.56K,0.31%
2023-09-25,15.98,16.06,16.4,15.82,68.30K,-0.44%
2023-09-24,16.05,16.27,16.39,16.05,14.64K,0.00%
2023-09-21,16.05,16.0,16.5,15.52,44.27K,-0.93%
2023-09-20,16.2,16.8,17.25,16.19,343.81K,-4.93%
2023-09-19,17.04,17.13,17.6,17.0,43.59K,-2.18%
2023-09-18,17.42,17.08,17.79,16.92,194.79K,2.29%
2023-09-17,17.03,16.45,17.5,16.45,318.55K,2.16%
2023-09-14,16.67,16.1,16.67,16.0,231.71K,4.97%
2023-09-13,15.88,15.95,16.09,15.85,35.76K,-0.31%
2023-09-12,15.93,15.92,16.1,15.83,38.84K,-0.56%
2023-09-11,16.02,16.19,16.19,15.84,70.01K,-0.19%
2023-09-10,16.05,16.88,16.88,16.01,107.74K,-2.67%
2023-09-07,16.49,16.52,16.75,16.3,59.67K,-1.38%
2023-09-06,16.72,17.05,17.18,16.55,47.88K,-2.68%
2023-09-05,17.18,16.82,17.85,16.5,131.81K,1.06%
2023-09-04,17.0,17.1,17.3,16.55,102.55K,-0.47%
2023-09-03,17.08,17.44,18.1,17.02,216.77K,-3.99%
2023-08-31,17.79,17.19,17.8,16.86,280.15K,4.89%
2023-08-30,16.96,17.6,17.6,16.9,89.20K,-3.09%
2023-08-29,17.5,17.17,17.64,16.7,165.35K,2.70%
2023-08-28,17.04,16.9,17.4,16.61,115.80K,-0.12%
2023-08-27,17.06,16.27,17.06,16.27,349.04K,4.98%
2023-08-24,16.25,16.0,16.49,15.66,92.89K,-0.37%
2023-08-23,16.31,17.3,17.45,16.31,166.85K,-4.95%
2023-08-22,17.16,16.82,17.5,16.82,161.68K,2.14%
2023-08-21,16.8,17.66,18.45,16.79,234.20K,-4.92%
2023-08-20,17.67,17.3,17.67,17.0,246.88K,4.99%
2023-08-17,16.83,16.47,16.83,15.9,317.32K,4.99%
2023-08-16,16.03,16.22,16.25,15.5,144.82K,3.55%
2023-08-15,15.48,15.34,15.48,14.8,123.12K,4.95%
2023-08-14,14.75,14.26,14.75,14.06,87.97K,4.98%
2023-08-13,14.05,14.12,14.29,13.93,46.98K,-0.50%
2023-08-10,14.12,14.04,14.28,14.04,25.62K,0.21%
2023-08-09,14.09,14.3,14.3,14.05,32.69K,-0.14%
2023-08-08,14.11,14.2,14.25,14.04,32.56K,-1.88%
2023-08-07,14.38,14.03,14.59,14.0,46.73K,2.28%
2023-08-06,14.06,14.06,14.28,14.0,14.10K,0.00%
2023-08-03,14.06,14.03,14.26,14.0,28.84K,0.21%
2023-08-02,14.03,14.01,14.69,14.0,90.29K,-2.03%
2023-08-01,14.32,14.11,14.45,13.9,67.95K,1.78%
2023-07-31,14.07,14.1,14.4,14.0,32.62K,0.43%
