Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.952,0.998,1.0,0.947,2.75M,-4.61%
2023-12-10,0.998,0.98,1.06,0.971,12.02M,5.50%
2023-12-07,0.946,0.946,0.95,0.9,6.67M,2.38%
2023-12-06,0.924,0.895,0.989,0.89,15.11M,6.82%
2023-12-05,0.865,0.856,0.894,0.853,7.30M,2.25%
2023-12-04,0.846,0.831,0.877,0.831,5.30M,2.92%
2023-12-03,0.822,0.82,0.84,0.809,3.00M,1.48%
2023-11-30,0.81,0.83,0.83,0.805,1.07M,-2.17%
2023-11-29,0.828,0.815,0.85,0.795,5.70M,3.76%
2023-11-28,0.798,0.81,0.817,0.792,1.43M,-0.25%
2023-11-27,0.8,0.82,0.82,0.8,2.03M,-1.84%
2023-11-26,0.815,0.819,0.828,0.805,1.22M,2.52%
2023-11-23,0.795,0.84,0.845,0.793,3.83M,-4.33%
2023-11-22,0.831,0.848,0.848,0.82,1.53M,0.12%
2023-11-21,0.83,0.775,0.85,0.767,4.80M,6.41%
2023-11-20,0.78,0.789,0.797,0.774,640.98K,-0.89%
2023-11-19,0.787,0.795,0.808,0.785,663.34K,0.51%
2023-11-16,0.783,0.789,0.8,0.775,886.09K,-0.25%
2023-11-15,0.785,0.819,0.82,0.781,1.32M,-2.61%
2023-11-14,0.806,0.803,0.825,0.799,1.80M,0.88%
2023-11-13,0.799,0.8,0.805,0.792,415.53K,0.88%
2023-11-12,0.792,0.806,0.818,0.783,3.27M,1.93%
2023-11-09,0.777,0.796,0.818,0.77,2.35M,-0.89%
2023-11-08,0.784,0.78,0.83,0.78,5.60M,0.51%
2023-11-07,0.78,0.78,0.789,0.761,1.56M,1.69%
2023-11-06,0.767,0.76,0.796,0.76,3.14M,0.92%
2023-11-05,0.76,0.745,0.76,0.726,2.09M,4.54%
2023-11-02,0.727,0.715,0.742,0.715,473.75K,-2.42%
2023-11-01,0.745,0.73,0.73,0.714,321.71K,0.00%
2023-10-31,0.745,0.741,0.753,0.73,211.17K,0.00%
2023-10-30,0.745,0.749,0.763,0.74,547.53K,-0.93%
2023-10-29,0.752,0.743,0.762,0.743,1.13M,0.40%
2023-10-26,0.749,0.745,0.763,0.741,2.46M,3.17%
2023-10-25,0.726,0.701,0.732,0.688,1.16M,5.83%
2023-10-24,0.686,0.696,0.708,0.677,816.95K,-0.72%
2023-10-23,0.691,0.699,0.699,0.683,678.60K,4.07%
2023-10-22,0.664,0.672,0.69,0.672,144.50K,0.00%
2023-10-19,0.664,0.664,0.678,0.663,379.77K,0.00%
2023-10-18,0.664,0.676,0.689,0.65,663.75K,-4.32%
2023-10-17,0.694,0.675,0.679,0.663,219.08K,0.00%
2023-10-16,0.694,0.665,0.679,0.661,386.24K,0.00%
2023-10-15,0.694,0.7,0.7,0.611,281.90K,0.00%
2023-10-12,0.694,0.718,0.719,0.663,344.50K,0.00%
2023-10-11,0.694,0.651,0.72,0.65,749.69K,2.51%
2023-10-10,0.677,0.666,0.67,0.652,61.50K,0.00%
2023-10-09,0.677,0.624,0.67,0.624,106.41K,0.00%
2023-10-08,0.677,0.679,0.679,0.611,331.28K,0.00%
2023-10-04,0.677,0.675,0.694,0.671,109.50K,0.00%
2023-10-03,0.677,0.682,0.693,0.675,990.33K,-2.03%
2023-10-02,0.691,0.719,0.719,0.689,662.43K,-4.29%
2023-10-01,0.722,0.731,0.734,0.7,303.20K,0.00%
2023-09-27,0.722,0.733,0.733,0.7,370.38K,0.00%
2023-09-26,0.722,0.715,0.728,0.712,177.14K,0.00%
2023-09-25,0.722,0.721,0.73,0.72,653.40K,-1.23%
2023-09-24,0.731,0.733,0.744,0.722,169.65K,0.00%
2023-09-21,0.731,0.73,0.737,0.725,314.63K,0.00%
2023-09-20,0.731,0.751,0.751,0.725,597.81K,-2.66%
2023-09-19,0.751,0.756,0.764,0.735,1.51M,1.35%
2023-09-18,0.741,0.742,0.754,0.742,313.77K,0.00%
2023-09-17,0.741,0.75,0.755,0.741,275.83K,0.00%
2023-09-14,0.741,0.75,0.75,0.74,311.25K,0.00%
2023-09-13,0.741,0.733,0.755,0.727,619.67K,1.51%
2023-09-12,0.73,0.735,0.735,0.728,614.46K,-0.95%
2023-09-11,0.737,0.741,0.745,0.732,596.12K,-1.47%
2023-09-10,0.748,0.755,0.765,0.74,436.60K,-0.40%
2023-09-07,0.751,0.75,0.752,0.746,327.10K,0.00%
2023-09-06,0.751,0.763,0.778,0.75,1.23M,-1.96%
2023-09-05,0.766,0.77,0.79,0.755,1.61M,-0.52%
2023-09-04,0.77,0.779,0.787,0.756,263.38K,0.00%
2023-09-03,0.77,0.78,0.8,0.762,1.90M,-0.39%
2023-08-31,0.773,0.793,0.8,0.77,1.30M,-1.53%
2023-08-30,0.785,0.78,0.818,0.78,5.90M,1.95%
2023-08-29,0.77,0.745,0.797,0.744,2.28M,2.80%
2023-08-28,0.749,0.765,0.765,0.744,790.36K,-1.45%
2023-08-27,0.76,0.76,0.78,0.752,953.72K,0.80%
2023-08-24,0.754,0.779,0.78,0.741,1.31M,-0.92%
2023-08-23,0.761,0.764,0.8,0.757,5.40M,0.26%
2023-08-22,0.759,0.759,0.767,0.751,1.21M,2.57%
2023-08-21,0.74,0.728,0.764,0.728,354.50K,0.00%
2023-08-20,0.74,0.728,0.739,0.726,117.27K,0.00%
2023-08-17,0.74,0.745,0.745,0.725,433.70K,0.00%
2023-08-16,0.74,0.75,0.75,0.737,415.40K,-0.27%
2023-08-15,0.742,0.74,0.745,0.74,45.50K,0.00%
2023-08-14,0.742,0.74,0.755,0.738,193.48K,0.00%
2023-08-13,0.742,0.746,0.758,0.737,632.26K,-2.11%
2023-08-10,0.758,0.748,0.764,0.74,395.70K,0.00%
2023-08-09,0.758,0.746,0.769,0.746,483.09K,-1.56%
2023-08-08,0.77,0.757,0.769,0.745,344.84K,0.00%
2023-08-07,0.77,0.76,0.76,0.756,126.61K,0.00%
2023-08-06,0.77,0.745,0.779,0.743,856.60K,4.34%
2023-08-03,0.738,0.74,0.768,0.74,303.09K,0.00%
2023-08-02,0.738,0.748,0.769,0.727,920.05K,-3.53%
2023-08-01,0.765,0.769,0.779,0.757,839.34K,0.00%
2023-07-31,0.765,0.75,0.783,0.75,4.04M,1.46%
2023-07-30,0.754,0.759,0.769,0.745,783.57K,1.62%
2023-07-27,0.742,0.736,0.756,0.73,861.77K,0.82%
2023-07-26,0.736,0.744,0.77,0.734,1.62M,-0.14%
2023-07-25,0.737,0.73,0.746,0.726,157.08K,0.00%
2023-07-24,0.737,0.748,0.748,0.727,77.03K,0.00%
2023-07-19,0.737,0.73,0.746,0.721,430.31K,1.52%
2023-07-18,0.726,0.718,0.739,0.718,328.78K,0.00%
2023-07-17,0.726,0.726,0.749,0.703,508.98K,-1.36%
2023-07-16,0.736,0.701,0.756,0.68,1.46M,5.44%
2023-07-13,0.698,0.711,0.724,0.7,258.61K,0.00%
2023-07-12,0.698,0.711,0.726,0.703,84.03K,0.00%
2023-07-11,0.698,0.701,0.73,0.7,311.82K,0.00%
2023-07-10,0.698,0.701,0.719,0.69,478.22K,-1.69%
2023-07-09,0.71,0.733,0.739,0.701,978.70K,-4.57%
2023-07-06,0.744,0.753,0.755,0.736,633.92K,-1.98%
2023-07-05,0.759,0.745,0.77,0.74,1.84M,1.88%
2023-07-04,0.745,0.75,0.754,0.72,716.44K,2.48%
2023-06-26,0.727,0.725,0.747,0.72,331.23K,0.00%
2023-06-25,0.727,0.723,0.74,0.715,669.46K,-0.55%
2023-06-22,0.731,0.732,0.732,0.717,285.71K,0.00%
2023-06-21,0.731,0.742,0.744,0.722,1.19M,-1.88%
2023-06-20,0.745,0.755,0.766,0.741,843.95K,-0.93%
2023-06-19,0.752,0.795,0.795,0.75,1.75M,-2.72%
2023-06-18,0.773,0.741,0.789,0.733,5.18M,4.88%
2023-06-15,0.737,0.745,0.748,0.731,609.89K,1.24%
2023-06-14,0.728,0.755,0.755,0.724,1.09M,-0.95%
2023-06-13,0.735,0.742,0.779,0.731,3.87M,0.00%
2023-06-12,0.735,0.72,0.745,0.72,637.90K,1.80%
2023-06-11,0.722,0.735,0.74,0.713,535.19K,0.14%
