Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.48,2.61,2.61,2.48,2.75M,-4.98%
2023-12-10,2.61,2.79,2.8,2.61,5.11M,-4.74%
2023-12-07,2.74,2.86,2.89,2.73,3.90M,-4.53%
2023-12-06,2.87,2.91,2.98,2.82,4.79M,-1.71%
2023-12-05,2.92,2.96,2.99,2.82,5.64M,2.46%
2023-12-04,2.85,2.73,2.85,2.72,3.28M,4.78%
2023-12-03,2.72,2.86,2.91,2.71,5.68M,-2.16%
2023-11-30,2.78,2.71,2.78,2.7,4.11M,4.91%
2023-11-29,2.65,2.54,2.65,2.44,4.69M,4.74%
2023-11-28,2.53,2.56,2.56,2.45,5.61M,3.69%
2023-11-27,2.44,2.38,2.44,2.36,2.43M,4.72%
2023-11-26,2.33,2.29,2.33,2.27,2.91M,4.95%
2023-11-23,2.22,2.25,2.27,2.18,1.80M,-1.33%
2023-11-22,2.25,2.3,2.33,2.21,4.12M,-3.02%
2023-11-21,2.32,2.28,2.35,2.25,2.18M,2.20%
2023-11-20,2.27,2.26,2.3,2.2,2.08M,0.44%
2023-11-19,2.26,2.2,2.26,2.17,3.91M,4.63%
2023-11-16,2.16,2.149,2.19,2.124,1.53M,1.65%
2023-11-15,2.125,2.05,2.126,2.05,5.09M,4.94%
2023-11-14,2.025,1.989,2.039,1.96,2.22M,2.02%
2023-11-13,1.985,2.001,2.068,1.95,3.00M,0.76%
2023-11-12,1.97,1.86,1.97,1.86,3.18M,4.95%
2023-11-09,1.877,1.9,1.911,1.86,1.21M,-0.74%
2023-11-08,1.891,1.86,1.93,1.845,1.75M,0.64%
2023-11-07,1.879,1.835,1.88,1.814,1.25M,3.02%
2023-11-06,1.824,1.817,1.833,1.81,725.14K,0.55%
2023-11-05,1.814,1.819,1.825,1.793,723.32K,0.83%
2023-11-02,1.799,1.793,1.814,1.791,197.44K,0.00%
2023-11-01,1.799,1.81,1.825,1.79,833.60K,-0.39%
2023-10-31,1.806,1.82,1.836,1.791,524.82K,-0.39%
2023-10-30,1.813,1.81,1.85,1.783,917.55K,-0.22%
2023-10-29,1.817,1.82,1.84,1.8,1.29M,0.50%
2023-10-26,1.808,1.84,1.877,1.802,951.59K,-1.09%
2023-10-25,1.828,1.828,1.838,1.76,1.68M,1.95%
2023-10-24,1.793,1.829,1.88,1.78,2.14M,-2.02%
2023-10-23,1.83,1.783,1.839,1.766,2.03M,2.52%
2023-10-22,1.785,1.7,1.785,1.7,1.54M,5.00%
2023-10-19,1.7,1.696,1.704,1.674,437.68K,0.71%
2023-10-18,1.688,1.694,1.71,1.672,699.82K,0.24%
2023-10-17,1.684,1.679,1.699,1.65,1.62M,0.90%
2023-10-16,1.669,1.697,1.697,1.666,1.29M,-1.01%
2023-10-15,1.686,1.728,1.728,1.679,1.42M,-1.63%
2023-10-12,1.714,1.729,1.741,1.701,622.53K,0.12%
