Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,6.96,6.95,7.0,6.45,41.98K,-1.14%
2023-12-10,7.04,7.02,7.14,6.8,156.91K,0.57%
2023-12-07,7.0,6.91,7.36,6.9,136.02K,1.16%
2023-12-06,6.92,7.03,7.19,6.8,242.10K,-2.40%
2023-12-05,7.09,6.65,7.14,6.65,474.29K,7.75%
2023-12-04,6.58,6.99,6.99,6.4,211.52K,-0.15%
2023-12-03,6.59,7.03,7.25,6.5,331.99K,-6.92%
2023-11-30,7.08,7.3,7.45,6.9,356.95K,-1.67%
2023-11-29,7.2,7.1,7.92,6.97,654.92K,2.13%
2023-11-28,7.05,6.77,7.2,6.59,556.74K,5.38%
2023-11-27,6.69,6.31,6.85,6.25,413.26K,6.02%
2023-11-26,6.31,6.06,6.47,6.05,638.57K,2.94%
2023-11-23,6.13,6.2,6.36,6.09,100.28K,-1.92%
2023-11-22,6.25,5.88,6.31,5.88,463.06K,5.04%
2023-11-21,5.95,6.15,6.25,5.82,160.11K,-1.65%
2023-11-20,6.05,6.3,6.33,6.0,223.93K,-2.42%
2023-11-19,6.2,6.09,6.36,6.01,283.41K,3.85%
2023-11-16,5.97,5.85,6.16,5.7,574.11K,4.55%
2023-11-15,5.71,5.63,5.85,5.61,401.69K,4.39%
2023-11-14,5.47,5.39,5.57,5.24,181.99K,2.82%
2023-11-13,5.32,5.4,5.45,5.15,229.98K,1.33%
2023-11-12,5.25,5.2,5.41,5.18,179.64K,0.19%
2023-11-09,5.24,5.32,5.45,5.16,209.35K,-1.50%
2023-11-08,5.32,5.58,5.78,5.25,374.27K,-3.80%
2023-11-07,5.53,5.77,5.78,5.52,334.65K,-2.12%
2023-11-06,5.65,5.61,6.18,5.56,675.99K,1.99%
2023-11-05,5.54,5.48,5.7,5.32,571.92K,5.12%
2023-11-02,5.27,5.29,5.5,5.16,361.07K,3.33%
2023-11-01,5.1,5.4,5.8,5.0,350.49K,-3.95%
2023-10-31,5.31,5.13,5.39,4.91,353.42K,6.20%
2023-10-30,5.0,5.03,5.23,4.9,230.77K,1.21%
2023-10-29,4.94,4.7,5.15,4.53,553.70K,9.29%
2023-10-26,4.52,4.65,4.7,4.43,137.86K,-2.38%
2023-10-25,4.63,4.84,4.84,4.55,67.90K,-0.22%
2023-10-24,4.64,4.69,4.85,4.53,117.52K,-6.64%
2023-10-23,4.97,4.41,5.05,4.41,397.88K,12.70%
2023-10-22,4.41,4.21,4.5,4.21,132.40K,3.52%
2023-10-19,4.26,4.37,4.45,4.2,168.35K,-4.05%
2023-10-18,4.44,4.5,4.58,4.31,83.24K,-0.45%
2023-10-17,4.46,4.52,4.59,4.3,99.28K,-0.89%
2023-10-16,4.5,4.7,4.7,4.12,92.99K,-6.44%
2023-10-15,4.81,4.78,5.06,4.72,121.02K,-0.21%
