Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,1.76,2.11,2.11,2.11,0.10K,0.00%
2023-11-27,1.76,2.11,2.11,2.11,0.63K,0.00%
2023-11-21,1.76,2.1,2.1,2.1,0.19K,-52.42%
2023-11-14,3.69,4.41,4.41,4.41,0.01K,0.00%
2023-10-29,3.69,4.42,4.42,4.42,0.12K,0.00%
2023-10-26,3.69,4.42,4.42,4.42,0.21K,0.00%
2023-10-23,3.69,4.42,4.42,4.42,0.01K,0.00%
2023-10-22,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-10-18,3.69,4.42,4.42,4.42,0.18K,0.00%
2023-10-11,3.69,4.42,4.42,4.42,0.19K,0.00%
2023-08-20,3.69,4.42,4.42,4.42,2.11K,0.00%
2023-07-12,3.69,4.42,4.42,4.42,0.03K,0.00%
2023-07-04,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-26,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-25,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-22,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-21,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-20,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-19,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-18,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-15,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-14,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-13,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-12,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-11,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-08,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-07,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-06,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-05,3.69,4.42,4.42,4.42,0.02K,0.00%
2023-06-04,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-06-01,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-05-31,3.69,4.42,4.42,4.42,0.00K,0.00%
2023-03-15,3.69,4.42,4.42,4.42,0.10K,0.00%
2023-02-15,3.69,4.42,4.42,4.42,0.20K,0.00%
2023-01-30,3.69,4.42,4.42,4.42,0.01K,0.00%
2023-01-19,3.69,4.41,4.42,4.41,1.32K,0.00%
2022-12-28,3.69,4.42,4.42,4.42,0.12K,0.00%
2022-12-20,3.69,4.42,4.42,4.42,1.00K,0.00%
2022-12-11,3.69,4.42,4.42,4.42,0.79K,0.00%
2022-12-05,3.69,4.42,4.42,4.42,0.36K,0.00%
2022-11-29,3.69,4.42,4.42,4.42,0.11K,0.00%
2022-11-27,3.69,4.42,4.42,4.42,0.81K,0.00%
2022-11-24,3.69,4.42,4.42,4.42,0.58K,0.00%
2022-11-23,3.69,4.4,4.42,4.4,0.59K,0.00%
2022-11-22,3.69,3.69,3.69,3.69,12.22K,0.00%
2022-10-31,3.69,3.69,3.69,3.69,,19.81%
2022-10-18,3.08,3.46,3.69,3.45,0.14K,0.00%
