Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.5,11.37,11.62,11.03,252.88K,0.88%
2023-12-10,11.4,11.29,11.7,11.29,160.82K,0.44%
2023-12-07,11.35,11.6,11.6,11.25,66.48K,-1.05%
2023-12-06,11.47,11.59,11.84,11.4,95.53K,-1.55%
2023-12-05,11.65,11.75,11.77,11.58,265.36K,0.17%
2023-12-04,11.63,11.51,11.75,11.5,151.02K,0.09%
2023-12-03,11.62,11.6,11.74,11.41,147.39K,1.40%
2023-11-30,11.46,11.5,11.65,11.31,222.27K,-0.35%
2023-11-29,11.5,11.52,11.7,11.4,77.78K,-0.09%
2023-11-28,11.51,11.98,11.99,11.25,162.38K,-0.78%
2023-11-27,11.6,11.7,12.08,11.5,364.46K,-0.26%
2023-11-26,11.63,11.23,11.96,11.23,347.58K,2.83%
2023-11-23,11.31,11.4,11.4,11.2,121.20K,0.27%
2023-11-22,11.28,11.37,11.43,11.13,110.70K,0.00%
2023-11-21,11.28,11.32,11.37,11.0,139.47K,-0.35%
2023-11-20,11.32,11.6,11.64,11.22,106.69K,-1.65%
2023-11-19,11.51,11.17,11.84,11.1,488.54K,4.07%
2023-11-16,11.06,11.09,11.16,10.9,216.07K,0.55%
2023-11-15,11.0,10.44,11.19,10.4,922.96K,7.21%
2023-11-14,10.26,10.3,10.5,10.14,278.04K,-0.19%
2023-11-13,10.28,10.29,10.39,10.15,173.62K,2.09%
2023-11-12,10.07,10.3,10.3,10.04,187.67K,0.00%
2023-11-09,10.07,10.29,10.35,10.05,215.06K,0.30%
2023-11-08,10.04,10.01,10.5,10.0,559.44K,0.00%
2023-11-07,10.04,9.95,10.09,9.83,183.67K,1.41%
2023-11-06,9.9,9.8,9.97,9.71,75.74K,1.43%
2023-11-05,9.76,9.75,9.9,9.7,179.89K,0.41%
2023-11-02,9.72,9.61,10.08,9.61,268.16K,-1.32%
2023-11-01,9.85,10.0,10.0,9.5,131.34K,-0.20%
2023-10-31,9.87,10.0,10.0,9.75,94.51K,-1.30%
2023-10-30,10.0,10.42,10.42,9.98,304.19K,-1.96%
2023-10-29,10.2,10.05,10.49,10.05,173.79K,1.09%
2023-10-26,10.09,10.38,10.49,10.0,420.22K,-2.61%
2023-10-25,10.36,9.5,10.39,9.41,973.04K,10.33%
2023-10-24,9.39,9.35,9.65,9.3,342.60K,1.29%
2023-10-23,9.27,9.25,9.36,9.22,70.02K,0.65%
2023-10-22,9.21,9.19,9.37,9.15,143.58K,-0.32%
2023-10-19,9.24,9.52,9.52,9.2,186.77K,-1.70%
2023-10-18,9.4,9.1,9.6,9.07,546.09K,2.17%
2023-10-17,9.2,9.18,9.24,8.82,232.23K,2.56%
2023-10-16,8.97,8.88,9.25,8.72,236.36K,2.16%
2023-10-15,8.78,8.8,8.88,8.71,68.57K,1.39%
2023-10-12,8.66,8.63,8.93,8.62,31.56K,0.00%
2023-10-11,8.66,8.72,8.9,8.62,108.00K,0.35%
2023-10-10,8.63,8.5,8.8,8.5,31.73K,0.00%
2023-10-09,8.63,8.5,8.88,8.5,42.85K,0.00%
2023-10-08,8.63,8.88,9.02,8.6,107.85K,-2.92%
2023-10-04,8.89,8.81,9.1,8.81,8.63K,0.00%
2023-10-03,8.89,9.01,9.15,8.86,62.24K,-1.66%
2023-10-02,9.04,9.15,9.2,9.01,75.68K,-1.09%
2023-10-01,9.14,9.14,9.35,9.0,81.00K,-1.08%
2023-09-27,9.24,9.3,9.35,9.1,32.21K,0.00%
2023-09-26,9.24,9.2,9.29,9.1,172.51K,1.65%
2023-09-25,9.09,9.4,9.4,9.05,264.40K,-0.66%
2023-09-24,9.15,9.4,9.43,9.0,133.32K,-2.97%
2023-09-21,9.43,9.48,9.48,9.33,20.33K,0.00%
2023-09-20,9.43,9.42,9.5,9.3,65.78K,-0.53%
2023-09-19,9.48,9.4,9.5,9.37,90.12K,0.53%
2023-09-18,9.43,9.42,9.49,9.27,94.20K,0.11%
2023-09-17,9.42,9.37,9.49,9.37,59.67K,0.11%
2023-09-14,9.41,9.4,9.44,9.25,27.56K,0.00%
2023-09-13,9.41,9.32,9.43,9.26,67.28K,0.11%
2023-09-12,9.4,9.35,9.41,9.2,123.20K,0.21%
2023-09-11,9.38,9.21,9.4,9.21,71.59K,1.41%
2023-09-10,9.25,9.15,9.32,9.1,25.48K,0.00%
2023-09-07,9.25,9.31,9.32,9.12,115.15K,0.11%
2023-09-06,9.24,9.41,9.41,9.1,200.52K,-1.60%
2023-09-05,9.39,9.39,9.41,9.23,123.78K,0.97%
2023-09-04,9.3,9.3,9.4,9.2,58.99K,0.00%
2023-09-03,9.3,9.4,9.43,9.2,63.95K,-0.85%
2023-08-31,9.38,9.25,9.4,9.0,186.56K,0.11%
2023-08-30,9.37,9.33,9.39,9.2,143.49K,0.97%
2023-08-29,9.28,9.33,9.44,9.12,306.18K,-0.11%
2023-08-28,9.29,9.0,9.31,8.9,359.32K,2.09%
2023-08-27,9.1,8.75,9.1,8.7,486.10K,2.59%
2023-08-24,8.87,8.69,8.89,8.6,261.64K,2.54%
2023-08-23,8.65,8.68,8.74,8.54,180.03K,-0.35%
2023-08-22,8.68,8.43,8.7,8.43,235.28K,1.64%
2023-08-21,8.54,8.54,8.59,8.37,88.33K,0.47%
2023-08-20,8.5,8.39,8.53,8.31,242.55K,2.29%
2023-08-17,8.31,8.4,8.4,8.24,76.56K,-0.60%
2023-08-16,8.36,8.38,8.44,8.31,179.69K,-0.24%
2023-08-15,8.38,8.31,8.4,8.28,91.10K,0.12%
2023-08-14,8.37,8.39,8.43,8.26,51.93K,1.82%
2023-08-13,8.22,8.23,8.38,8.17,19.23K,0.00%
2023-08-10,8.22,8.3,8.36,8.13,960.25K,-1.56%
2023-08-09,8.35,8.33,8.36,8.25,102.40K,0.72%
2023-08-08,8.29,8.2,8.3,8.2,95.07K,0.48%
2023-08-07,8.25,8.24,8.28,8.12,68.66K,1.10%
2023-08-06,8.16,8.2,8.22,8.12,52.12K,0.37%
2023-08-03,8.13,8.11,8.24,8.11,36.97K,-1.33%
2023-08-02,8.24,8.2,8.26,8.12,70.89K,1.60%
2023-08-01,8.11,8.2,8.26,8.1,334.94K,-0.37%
2023-07-31,8.14,8.17,8.28,8.11,66.90K,-1.81%
2023-07-30,8.29,8.27,8.29,8.1,36.53K,0.00%
2023-07-27,8.29,8.3,8.31,8.19,100.87K,-0.12%
2023-07-26,8.3,8.06,8.3,8.06,179.44K,1.22%
2023-07-25,8.2,8.15,8.24,8.08,409.91K,0.99%
2023-07-24,8.12,8.0,8.36,8.0,347.37K,1.88%
2023-07-19,7.97,7.99,8.0,7.91,51.75K,0.25%
2023-07-18,7.95,8.03,8.03,7.92,71.37K,0.00%
2023-07-17,7.95,8.0,8.04,7.91,73.38K,0.63%
2023-07-16,7.9,8.1,8.1,7.89,127.52K,-0.63%
2023-07-13,7.95,7.99,8.06,7.9,166.52K,-0.75%
2023-07-12,8.01,8.08,8.1,7.9,21.13K,0.00%
2023-07-11,8.01,7.98,8.07,7.84,106.03K,1.52%
2023-07-10,7.89,7.98,8.0,7.8,96.75K,1.02%
2023-07-09,7.81,8.2,8.2,7.79,124.99K,-2.38%
2023-07-06,8.0,8.13,8.2,8.0,203.14K,-0.62%
2023-07-05,8.05,8.25,8.35,7.9,710.58K,-3.01%
2023-07-04,8.3,8.4,8.4,8.24,69.82K,-0.84%
2023-06-26,8.37,8.27,8.4,8.26,145.52K,0.12%
2023-06-25,8.36,8.27,8.4,8.25,65.54K,0.12%
2023-06-22,8.35,8.31,8.4,8.26,78.61K,0.48%
2023-06-21,8.31,8.49,8.49,8.27,125.03K,0.00%
2023-06-20,8.31,8.35,8.57,8.28,105.10K,0.00%
2023-06-19,8.31,8.25,8.7,8.25,356.27K,0.73%
2023-06-18,8.25,8.31,8.49,8.22,88.47K,-1.08%
2023-06-15,8.34,8.49,8.5,8.23,114.11K,-0.48%
2023-06-14,8.38,8.57,8.7,8.32,244.95K,-1.53%
2023-06-13,8.51,8.11,9.0,8.09,1.14M,4.67%
2023-06-12,8.13,8.19,8.25,8.07,80.79K,-0.49%
2023-06-11,8.17,8.25,8.28,8.1,60.08K,-0.85%
2023-06-08,8.24,8.13,8.27,7.97,163.28K,3.00%
2023-06-07,8.0,8.13,8.2,7.98,239.38K,-1.48%
2023-06-06,8.12,8.12,8.13,8.03,188.08K,0.74%
2023-06-05,8.06,8.3,8.35,8.02,105.40K,-2.54%
2023-06-04,8.27,8.35,8.35,8.22,68.56K,-0.24%
2023-06-01,8.29,8.32,8.5,8.22,113.16K,-0.24%
2023-05-31,8.31,8.21,8.42,8.21,458.84K,1.96%
2023-05-30,8.15,8.05,8.2,8.03,237.33K,1.49%
