Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,9.11,8.5,8.5,8.0,12.47K,7.18%
2023-12-10,8.5,8.1,8.59,7.82,13.95K,-6.70%
2023-12-07,9.11,8.43,8.68,7.75,25.44K,0.00%
2023-12-06,9.11,8.42,8.75,8.42,13.72K,0.00%
2023-12-05,9.11,8.8,8.9,8.42,34.59K,0.00%
2023-12-04,9.11,8.77,8.92,8.62,13.45K,0.00%
2023-12-03,9.11,8.55,8.81,8.53,1.35K,0.00%
2023-11-30,9.11,8.5,8.89,8.42,20.80K,0.00%
2023-11-29,9.11,8.5,8.98,8.0,29.64K,0.00%
2023-11-28,9.11,8.5,8.78,8.45,15.69K,0.00%
2023-11-27,9.11,8.86,8.86,8.25,17.77K,0.00%
2023-11-26,9.11,8.72,8.99,8.7,7.76K,0.00%
2023-11-23,9.11,8.9,9.0,8.7,14.42K,0.00%
2023-11-22,9.11,8.7,9.0,8.7,6.05K,0.00%
2023-11-21,9.11,8.68,8.9,8.6,12.88K,0.00%
2023-11-20,9.11,8.8,9.0,8.65,20.76K,0.00%
2023-11-19,9.11,9.01,9.1,8.7,12.50K,0.00%
2023-11-16,9.11,8.7,9.0,8.65,21.15K,0.00%
2023-11-15,9.11,9.0,9.06,8.53,12.20K,0.00%
2023-11-14,9.11,9.19,9.19,8.8,26.04K,0.00%
2023-11-13,9.11,9.0,9.28,8.8,15.63K,0.00%
2023-11-12,9.11,9.11,9.5,8.8,18.65K,0.00%
2023-11-09,9.11,8.5,9.8,8.5,75.26K,6.67%
2023-11-08,8.54,8.56,9.18,8.4,49.39K,-1.84%
2023-11-07,8.7,9.35,9.35,8.58,68.65K,-7.35%
2023-11-06,9.39,7.64,9.44,7.64,146.31K,19.31%
2023-11-05,7.87,7.71,8.12,7.62,43.72K,1.94%
2023-11-02,7.72,7.74,8.0,7.5,70.82K,-3.38%
2023-11-01,7.99,7.5,8.49,7.5,116.86K,6.96%
2023-10-31,7.47,6.3,7.47,6.03,162.39K,19.90%
2023-10-30,6.23,6.25,6.45,6.01,25.96K,0.00%
2023-10-29,6.23,6.05,6.84,6.03,32.46K,0.00%
2023-10-26,6.23,5.93,6.03,5.8,40.25K,0.00%
2023-10-25,6.23,5.83,5.96,5.68,27.09K,0.00%
2023-10-24,6.23,5.6,5.88,5.6,2.65K,0.00%
2023-10-23,6.23,5.9,5.95,5.63,12.02K,0.00%
2023-10-22,6.23,5.72,5.95,5.72,2.54K,0.00%
2023-10-19,6.23,5.72,6.0,5.72,12.76K,0.00%
2023-10-18,6.23,5.72,5.89,5.71,6.16K,0.00%
2023-10-17,6.23,5.51,5.75,5.51,4.22K,0.00%
2023-10-16,6.23,5.38,5.75,5.38,11.22K,0.00%
2023-10-15,6.23,5.64,5.7,5.42,6.25K,0.00%
2023-10-12,6.23,5.41,5.68,5.41,9.38K,0.00%
2023-10-11,6.23,5.69,5.69,5.4,6.90K,0.00%
2023-10-10,6.23,5.7,5.74,5.38,5.31K,0.00%
2023-10-09,6.23,5.36,5.75,5.36,1.16K,0.00%
2023-10-08,6.23,5.52,5.88,5.35,7.37K,0.00%
2023-10-04,6.23,5.52,6.0,5.5,8.47K,0.00%
2023-10-03,6.23,5.65,5.79,5.55,5.52K,0.00%
2023-10-02,6.23,5.8,5.8,5.52,8.87K,0.00%
2023-10-01,6.23,5.64,6.0,5.5,19.00K,0.00%
2023-09-27,6.23,5.81,6.09,5.67,31.84K,0.00%
2023-09-26,6.23,5.88,6.2,5.8,36.40K,0.00%
