Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,34.05,31.05,31.05,28.52,4.54K,9.66%
2023-12-10,31.05,31.5,32.94,31.05,3.42K,-8.81%
2023-12-07,34.05,31.9,32.6,31.5,1.26K,0.00%
2023-12-06,34.05,31.55,33.25,31.55,2.01K,0.00%
2023-12-05,34.05,32.5,33.75,30.7,7.00K,0.00%
2023-12-04,34.05,30.35,33.62,30.3,4.06K,0.00%
2023-12-03,34.05,30.5,32.9,30.35,2.02K,0.00%
2023-11-30,34.05,30.4,33.49,30.0,7.47K,0.00%
2023-11-29,34.05,33.01,33.65,30.2,1.25K,0.00%
2023-11-28,34.05,33.0,34.75,33.0,5.48K,0.00%
2023-11-27,34.05,33.02,34.87,33.0,6.46K,0.00%
2023-11-26,34.05,36.5,36.79,33.3,9.17K,2.16%
2023-11-23,33.33,34.55,36.35,33.51,4.25K,0.00%
2023-11-22,33.33,35.74,36.8,31.15,11.47K,-1.33%
2023-11-21,33.78,32.87,35.84,30.14,10.91K,13.09%
2023-11-20,29.87,28.16,32.32,28.16,1.73K,0.00%
2023-11-19,29.87,26.55,33.0,26.55,16.21K,6.91%
2023-11-16,27.94,26.21,27.9,26.21,0.56K,0.00%
2023-11-15,27.94,26.51,27.9,26.08,1.17K,0.00%
2023-11-14,27.94,26.05,28.0,26.05,2.85K,0.00%
2023-11-13,27.94,26.7,27.0,26.02,4.30K,0.00%
2023-11-12,27.94,26.61,27.99,26.61,1.52K,0.00%
2023-11-09,27.94,26.5,28.0,26.5,3.47K,0.00%
2023-11-08,27.94,28.5,28.5,26.5,1.66K,0.00%
2023-11-07,27.94,25.65,28.5,25.65,25.91K,14.60%
2023-11-06,24.38,25.85,26.0,24.4,7.73K,0.00%
2023-11-05,24.38,25.8,26.0,24.31,1.51K,0.00%
2023-11-02,24.38,24.5,26.0,23.55,1.63K,0.00%
2023-11-01,24.38,29.25,29.25,24.0,2.81K,0.00%
2023-10-31,24.38,23.3,24.49,23.3,13.98K,19.45%
2023-10-30,20.41,23.1,24.47,23.1,7.01K,0.00%
2023-10-29,20.41,23.25,24.25,22.06,2.92K,0.00%
2023-10-26,20.41,22.75,23.25,22.75,3.78K,0.00%
2023-10-25,20.41,21.6,22.92,21.55,4.49K,0.00%
2023-10-24,20.41,22.5,22.92,21.9,1.85K,0.00%
2023-10-23,20.41,22.2,22.92,21.55,5.92K,0.00%
2023-10-22,20.41,22.0,22.4,21.44,4.93K,0.00%
2023-10-19,20.41,21.7,21.74,21.16,2.17K,0.00%
2023-10-18,20.41,20.85,21.74,20.85,0.05K,0.00%
2023-10-17,20.41,20.6,21.47,20.5,2.14K,0.00%
2023-10-16,20.41,21.67,21.67,20.75,1.97K,0.00%
2023-10-15,20.41,21.2,21.69,21.2,1.57K,0.00%
2023-10-12,20.41,21.75,21.75,21.0,1.37K,0.00%
2023-10-11,20.41,20.65,21.9,20.65,2.40K,0.00%
2023-10-10,20.41,21.95,22.15,20.4,2.03K,0.00%
2023-10-09,20.41,22.19,22.19,21.9,0.59K,0.00%
2023-10-08,20.41,20.65,21.0,20.35,3.21K,0.00%
2023-10-04,20.41,21.0,22.15,20.61,10.50K,0.00%
2023-10-03,20.41,20.51,22.29,20.51,3.10K,0.00%
2023-10-02,20.41,22.35,22.35,21.4,1.20K,0.00%
2023-10-01,20.41,20.46,22.3,20.46,0.56K,0.00%
2023-09-27,20.41,21.85,21.9,20.41,0.30K,0.00%
2023-09-26,20.41,21.3,21.5,21.3,1.35K,0.00%
2023-09-25,20.41,21.49,21.85,21.15,3.25K,0.00%
2023-09-24,20.41,21.0,21.85,21.0,1.70K,0.00%
2023-09-21,20.41,20.75,20.75,20.7,2.10K,0.00%
2023-09-20,20.41,21.44,21.45,20.2,1.42K,0.00%
2023-09-19,20.41,20.41,20.8,20.41,8.10K,0.00%
2023-09-18,20.41,20.7,21.75,20.7,0.38K,0.00%
2023-09-17,20.41,20.3,20.7,20.3,0.15K,0.00%
2023-09-14,20.41,20.3,20.3,20.15,0.71K,0.00%
2023-09-13,20.41,20.3,20.3,20.3,0.01K,0.00%
2023-09-10,20.41,20.3,20.41,19.53,0.25K,0.00%
2023-09-07,20.41,20.45,20.7,20.0,2.28K,0.00%
2023-09-05,20.41,20.1,20.6,20.0,12.50K,0.00%
2023-09-04,20.41,20.0,20.0,20.0,0.27K,0.00%
2023-09-03,20.41,19.6,19.8,19.55,0.08K,0.00%
2023-08-31,20.41,20.49,20.5,19.9,4.31K,0.00%
2023-08-30,20.41,19.7,20.49,19.4,1.11K,0.00%
2023-08-29,20.41,20.01,20.01,19.22,0.42K,0.00%
2023-08-27,20.41,20.0,20.0,20.0,0.15K,0.00%
2023-08-24,20.41,20.68,20.68,20.67,0.20K,0.00%
2023-08-23,20.41,20.01,20.02,20.0,3.84K,0.00%
2023-08-20,20.41,20.7,20.7,20.7,0.01K,0.00%
2023-08-17,20.41,19.7,20.5,19.7,3.15K,0.00%
2023-08-16,20.41,19.95,20.15,19.8,6.02K,0.00%
2023-08-15,20.41,19.85,19.95,19.85,0.69K,0.00%
2023-08-14,20.41,19.95,19.95,19.61,3.85K,0.00%
2023-08-13,20.41,19.94,19.94,19.6,1.50K,0.00%
2023-08-10,20.41,19.5,19.95,19.5,0.10K,0.00%
2023-08-09,20.41,19.95,19.95,19.95,0.01K,0.00%
2023-08-08,20.41,19.95,19.95,19.95,0.22K,0.00%
2023-08-07,20.41,19.95,20.0,19.5,1.38K,0.00%
2023-08-06,20.41,20.47,20.47,20.47,0.00K,0.00%
2023-08-03,20.41,20.64,20.64,20.0,0.48K,0.00%
2023-08-02,20.41,19.36,20.56,19.03,1.01K,0.00%
2023-08-01,20.41,19.9,20.0,19.9,3.00K,0.00%
2023-07-31,20.41,19.35,20.7,19.35,0.10K,0.00%
2023-07-30,20.41,20.77,20.77,20.7,0.02K,0.00%
2023-07-27,20.41,20.7,20.7,20.7,0.01K,0.00%
2023-07-25,20.41,20.77,20.77,19.03,0.10K,0.00%
2023-07-24,20.41,21.0,21.0,21.0,0.05K,0.00%
2023-07-19,20.41,20.41,20.45,19.25,3.45K,0.00%
2023-07-18,20.41,20.45,20.45,19.5,0.06K,0.00%
2023-07-17,20.41,20.45,20.45,19.25,0.28K,0.00%
2023-07-16,20.41,20.2,20.44,20.2,0.42K,0.00%
2023-07-12,20.41,19.0,19.0,19.0,0.97K,0.00%
2023-07-11,20.41,21.0,21.35,19.5,1.09K,0.00%
