Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,88.9,88.9,91.0,86.0,0.74K,-1.24%
2023-12-10,90.02,92.0,94.98,90.0,1.34K,1.26%
2023-12-07,88.9,94.0,95.0,88.5,2.14K,0.00%
2023-12-06,88.9,92.0,94.0,90.5,1.46K,0.00%
2023-12-05,88.9,84.0,95.0,84.0,3.38K,8.76%
2023-12-04,81.74,80.95,84.98,80.95,1.84K,0.00%
2023-12-03,81.74,83.0,83.0,80.9,3.99K,1.03%
2023-11-30,80.91,82.75,82.75,80.5,4.61K,12.38%
2023-11-29,72.0,79.79,83.0,79.75,3.19K,0.00%
2023-11-28,72.0,81.45,82.4,79.79,2.30K,0.00%
2023-11-27,72.0,79.73,81.39,79.73,0.22K,0.00%
2023-11-26,72.0,81.48,81.8,79.47,1.51K,0.00%
2023-11-23,72.0,79.21,81.5,79.16,0.43K,0.00%
2023-11-22,72.0,81.99,81.99,79.16,1.17K,0.00%
2023-11-21,72.0,81.79,83.0,79.11,1.46K,0.00%
2023-11-20,72.0,80.5,81.5,79.01,1.27K,0.00%
2023-11-19,72.0,79.44,80.5,78.0,0.46K,0.00%
2023-11-16,72.0,79.45,79.45,77.75,2.42K,0.00%
2023-11-15,72.0,78.99,79.45,78.0,0.61K,0.00%
2023-11-14,72.0,79.88,79.88,78.0,2.13K,0.00%
2023-11-13,72.0,77.91,80.36,77.76,0.21K,0.00%
2023-11-12,72.0,80.94,80.94,77.03,0.78K,0.00%
2023-11-09,72.0,79.77,80.97,77.0,0.64K,0.00%
2023-11-08,72.0,78.95,79.8,78.1,0.67K,0.00%
2023-11-07,72.0,79.89,79.9,78.0,0.57K,0.00%
2023-11-06,72.0,79.59,79.9,77.61,0.45K,0.00%
2023-11-05,72.0,79.49,79.99,77.0,0.40K,0.00%
2023-11-02,72.0,77.05,79.99,77.0,0.38K,0.00%
2023-11-01,72.0,81.9,81.9,76.56,0.96K,0.00%
2023-10-31,72.0,81.0,83.0,76.5,1.95K,0.00%
2023-10-30,72.0,83.97,83.97,75.53,3.34K,0.00%
2023-10-29,72.0,73.02,85.85,73.0,1.71K,0.00%
2023-10-26,72.0,72.0,72.0,68.62,6.78K,20.00%
2023-10-25,60.0,68.0,72.0,68.0,1.46K,0.00%
2023-10-24,60.0,68.5,70.1,67.11,1.64K,0.00%
2023-10-23,60.0,70.0,70.0,67.2,0.89K,0.00%
2023-10-22,60.0,70.0,72.0,67.26,1.22K,0.00%
2023-10-19,60.0,68.99,71.85,67.5,1.48K,0.00%
2023-10-18,60.0,70.0,70.0,67.01,0.44K,0.00%
2023-10-17,60.0,68.0,70.7,68.0,0.52K,0.00%
2023-10-16,60.0,67.01,71.0,67.01,0.42K,0.00%
2023-10-15,60.0,68.5,71.4,66.0,2.28K,0.00%
2023-10-12,60.0,71.0,71.0,67.25,0.84K,0.00%
2023-10-11,60.0,71.85,71.97,67.0,0.94K,0.00%
2023-10-10,60.0,67.25,71.97,67.21,0.12K,0.00%
2023-10-09,60.0,66.01,72.0,66.01,1.05K,0.00%
2023-10-08,60.0,65.51,72.0,65.0,1.97K,0.00%
