Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,16.78,17.6,17.8,16.3,347.66K,-4.66%
2023-12-10,17.6,19.0,19.0,17.5,392.85K,-5.68%
2023-12-07,18.66,19.18,19.19,17.8,222.02K,-1.37%
2023-12-06,18.92,20.29,20.7,18.1,667.07K,-5.35%
2023-12-05,19.99,19.41,20.6,19.12,907.88K,3.41%
2023-12-04,19.33,19.01,20.2,18.75,559.37K,2.01%
2023-12-03,18.95,20.34,21.35,18.8,965.22K,-2.92%
2023-11-30,19.52,17.1,19.84,17.1,1.67M,14.69%
2023-11-29,17.02,16.99,17.5,16.8,508.03K,0.41%
2023-11-28,16.95,17.26,17.5,16.6,888.46K,-1.51%
2023-11-27,17.21,17.78,18.23,17.2,1.16M,-1.66%
2023-11-26,17.5,16.45,17.65,16.45,625.27K,6.58%
2023-11-23,16.42,17.11,17.11,16.26,175.01K,-2.73%
2023-11-22,16.88,17.19,17.22,16.6,151.32K,0.54%
2023-11-21,16.79,16.51,17.5,15.75,688.31K,2.69%
2023-11-20,16.35,17.26,17.5,15.0,515.20K,-6.14%
2023-11-19,17.42,18.0,18.0,17.25,172.25K,-0.46%
2023-11-16,17.5,17.41,18.15,16.84,270.73K,0.52%
2023-11-15,17.41,18.5,18.7,17.3,323.21K,-4.39%
2023-11-14,18.21,18.68,19.5,18.18,714.35K,-0.22%
2023-11-13,18.25,18.5,18.87,18.13,175.93K,1.45%
2023-11-12,17.99,17.74,19.35,17.2,528.65K,4.23%
2023-11-09,17.26,17.76,18.37,17.1,187.69K,-3.31%
2023-11-08,17.85,17.94,18.5,17.7,238.65K,0.22%
2023-11-07,17.81,18.5,18.74,17.61,201.34K,-1.17%
2023-11-06,18.02,17.7,19.9,17.51,702.08K,3.74%
2023-11-05,17.37,17.74,18.38,16.71,617.52K,0.81%
2023-11-02,17.23,14.31,17.23,14.31,1.69M,19.99%
2023-11-01,14.36,14.0,14.49,13.73,416.56K,2.57%
2023-10-31,14.0,14.65,14.65,14.0,545.02K,-1.41%
2023-10-30,14.2,14.02,14.94,13.92,1.22M,1.65%
2023-10-29,13.97,13.84,14.15,13.61,762.27K,2.42%
2023-10-26,13.64,14.0,14.58,13.3,897.19K,-1.80%
2023-10-25,13.89,13.8,14.2,13.7,557.48K,1.83%
2023-10-24,13.64,13.59,13.92,13.01,973.86K,1.41%
2023-10-23,13.45,13.36,14.4,13.32,1.91M,1.97%
2023-10-22,13.19,12.4,13.3,12.3,1.25M,6.54%
2023-10-19,12.38,12.99,13.3,12.13,966.71K,-4.70%
2023-10-18,12.99,12.95,13.4,12.6,889.94K,0.54%
2023-10-17,12.92,13.39,13.39,12.61,1.10M,-0.54%
2023-10-16,12.99,12.8,13.65,12.52,2.58M,1.41%
2023-10-15,12.81,12.47,13.08,12.47,2.76M,4.49%
2023-10-12,12.26,12.6,12.85,12.26,2.28M,-1.92%
2023-10-11,12.5,12.47,12.8,12.21,2.77M,0.48%
2023-10-10,12.44,11.21,12.95,11.2,3.48M,11.57%
2023-10-09,11.15,10.77,11.48,10.11,786.08K,7.01%
2023-10-08,10.42,11.41,11.49,9.46,488.33K,-8.68%
2023-10-04,11.41,11.82,11.99,11.3,509.49K,-2.98%
2023-10-03,11.76,12.34,12.8,11.7,784.23K,-5.31%
2023-10-02,12.42,13.15,13.4,12.05,756.26K,-5.55%
2023-10-01,13.15,13.29,13.75,13.13,992.73K,-1.05%
2023-09-27,13.29,13.11,13.52,12.66,1.22M,1.53%
2023-09-26,13.09,13.31,13.7,13.02,829.43K,-1.73%
2023-09-25,13.32,13.21,13.5,13.0,618.73K,1.37%
2023-09-24,13.14,13.4,13.51,12.95,971.11K,-1.79%
2023-09-21,13.38,13.35,13.82,13.19,838.94K,1.44%
2023-09-20,13.19,13.79,14.5,13.13,3.36M,-3.65%
2023-09-19,13.69,13.9,13.9,13.2,2.16M,0.51%
2023-09-18,13.62,11.93,14.08,11.93,4.92M,14.36%
2023-09-17,11.91,11.6,12.24,11.54,1.99M,1.97%
2023-09-14,11.68,11.74,11.84,11.51,1.32M,0.60%
2023-09-13,11.61,11.11,11.75,11.11,1.60M,4.88%
2023-09-12,11.07,11.4,11.57,11.05,854.54K,-1.69%
2023-09-11,11.26,10.86,11.48,10.57,1.90M,3.87%
2023-09-10,10.84,10.88,11.17,10.75,1.32M,-0.37%
2023-09-07,10.88,10.66,11.0,10.46,758.48K,3.32%
2023-09-06,10.53,10.9,11.11,10.37,674.21K,-2.50%
