Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,65.54,67.0,67.0,64.0,8.14K,-1.47%
2023-12-10,66.52,68.0,70.69,66.52,10.72K,-3.52%
2023-12-07,68.95,69.11,71.34,68.5,8.71K,-3.02%
2023-12-06,71.1,71.5,72.9,70.11,9.02K,-0.62%
2023-12-05,71.54,68.6,72.47,68.6,6.41K,1.87%
2023-12-04,70.23,68.01,71.0,68.01,2.69K,0.00%
2023-12-03,70.23,68.01,70.95,68.01,2.85K,0.00%
2023-11-30,70.23,71.5,71.5,67.99,2.76K,0.00%
2023-11-29,70.23,70.2,71.0,69.52,2.20K,0.00%
2023-11-28,70.23,71.55,72.7,69.5,8.20K,-2.98%
2023-11-27,72.39,73.0,74.0,70.04,4.79K,-1.80%
2023-11-26,73.72,76.03,76.17,73.0,8.09K,0.03%
2023-11-23,73.7,71.75,78.0,71.75,33.17K,5.06%
2023-11-22,70.15,71.99,71.99,69.02,4.37K,0.10%
2023-11-21,70.08,71.09,73.98,70.0,11.86K,-3.10%
2023-11-20,72.32,66.5,78.0,64.04,35.28K,11.18%
2023-11-19,65.05,66.0,66.49,65.11,0.74K,0.00%
2023-11-16,65.05,66.01,67.9,64.02,7.33K,-3.04%
2023-11-15,67.09,65.32,66.0,65.2,1.33K,0.00%
2023-11-14,67.09,68.95,68.95,65.06,2.01K,0.00%
2023-11-13,67.09,65.02,69.6,65.02,2.74K,0.00%
2023-11-12,67.09,68.99,69.0,65.0,5.09K,-1.11%
2023-11-09,67.84,66.89,69.69,65.91,7.24K,5.46%
2023-11-08,64.33,64.0,66.99,63.03,3.83K,0.00%
2023-11-07,64.33,64.0,66.0,62.12,8.20K,1.08%
2023-11-06,63.64,66.95,66.95,64.1,2.96K,0.00%
2023-11-05,63.64,64.02,67.79,64.02,3.54K,0.00%
2023-11-02,63.64,65.0,65.0,64.0,2.97K,0.00%
2023-11-01,63.64,64.03,65.56,63.11,7.11K,-3.46%
2023-10-31,65.92,66.16,69.5,65.0,6.48K,-6.51%
2023-10-30,70.51,70.9,72.38,66.15,4.15K,0.00%
2023-10-29,70.51,67.0,72.5,67.0,12.64K,8.95%
2023-10-26,64.72,69.74,69.77,64.0,12.26K,-6.03%
2023-10-25,68.87,65.0,69.98,65.0,9.15K,-2.17%
2023-10-24,70.4,65.51,69.49,63.33,4.26K,0.00%
2023-10-23,70.4,70.4,70.4,65.0,3.50K,0.00%
2023-10-22,70.4,61.3,71.0,61.3,9.08K,11.13%
2023-10-19,63.35,62.0,63.5,61.21,4.18K,0.00%
2023-10-18,63.35,61.2,62.3,61.0,4.00K,0.00%
2023-10-17,63.35,62.99,62.99,61.0,2.41K,0.00%
2023-10-16,63.35,62.3,62.5,58.9,4.07K,0.00%
2023-10-15,63.35,63.4,63.4,62.26,0.98K,0.00%
2023-10-12,63.35,63.0,64.63,61.13,1.60K,0.00%
