Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.805,0.801,0.81,0.795,162.70K,0.50%
2023-12-10,0.801,0.805,0.819,0.8,152.68K,-0.50%
2023-12-07,0.805,0.816,0.82,0.795,708.33K,-2.19%
2023-12-06,0.823,0.847,0.847,0.815,570.33K,-1.32%
2023-12-05,0.834,0.851,0.851,0.83,489.95K,-2.11%
2023-12-04,0.852,0.861,0.867,0.842,682.58K,0.00%
2023-12-03,0.852,0.825,0.868,0.815,849.26K,3.52%
2023-11-30,0.823,0.81,0.85,0.802,1.03M,0.73%
2023-11-29,0.817,0.82,0.831,0.808,273.30K,0.00%
2023-11-28,0.817,0.829,0.831,0.812,654.43K,-1.45%
2023-11-27,0.829,0.829,0.833,0.821,431.87K,1.97%
2023-11-26,0.813,0.815,0.829,0.815,199.04K,0.00%
2023-11-23,0.813,0.829,0.829,0.807,384.96K,-0.49%
2023-11-22,0.817,0.82,0.835,0.803,280.88K,0.00%
2023-11-21,0.817,0.842,0.842,0.8,652.03K,-3.08%
2023-11-20,0.843,0.79,0.86,0.77,2.45M,6.98%
2023-11-19,0.788,0.756,0.799,0.756,785.00K,3.14%
2023-11-16,0.764,0.76,0.77,0.751,43.39K,0.00%
2023-11-15,0.764,0.761,0.773,0.754,214.68K,0.00%
2023-11-14,0.764,0.76,0.788,0.758,90.23K,0.00%
2023-11-13,0.764,0.789,0.789,0.744,333.51K,0.00%
2023-11-12,0.764,0.765,0.765,0.745,289.29K,0.00%
2023-11-09,0.764,0.79,0.8,0.754,484.29K,-2.43%
2023-11-08,0.783,0.74,0.81,0.74,1.66M,2.76%
2023-11-07,0.762,0.741,0.755,0.735,198.97K,0.00%
2023-11-06,0.762,0.755,0.757,0.74,76.13K,0.00%
2023-11-05,0.762,0.755,0.755,0.733,111.36K,0.00%
2023-11-02,0.762,0.758,0.758,0.723,106.18K,0.00%
2023-11-01,0.762,0.735,0.762,0.726,53.94K,0.00%
2023-10-31,0.762,0.758,0.762,0.73,200.68K,0.00%
2023-10-30,0.762,0.775,0.775,0.744,203.84K,0.00%
2023-10-29,0.762,0.762,0.763,0.737,355.44K,0.00%
2023-10-26,0.762,0.78,0.785,0.746,460.74K,-0.78%
2023-10-25,0.768,0.73,0.779,0.727,728.40K,8.02%
2023-10-24,0.711,0.726,0.736,0.726,109.00K,0.00%
2023-10-23,0.711,0.715,0.736,0.714,234.28K,0.00%
2023-10-22,0.711,0.731,0.749,0.7,925.46K,-5.33%
2023-10-19,0.751,0.739,0.74,0.726,53.14K,0.00%
2023-10-18,0.751,0.73,0.751,0.72,99.99K,0.00%
2023-10-17,0.751,0.752,0.752,0.72,334.10K,0.00%
2023-10-16,0.751,0.75,0.75,0.726,60.55K,0.00%
2023-10-15,0.751,0.76,0.766,0.72,174.61K,0.00%
2023-10-12,0.751,0.755,0.77,0.75,769.33K,-8.97%
2023-10-11,0.825,0.751,0.825,0.751,174.53K,0.00%
2023-10-10,0.825,0.776,0.777,0.76,154.00K,0.00%
2023-10-09,0.825,0.75,0.825,0.75,63.36K,0.00%
2023-10-08,0.825,0.76,0.799,0.752,106.90K,0.00%
2023-10-04,0.825,0.76,0.788,0.75,234.00K,0.00%
2023-10-03,0.825,0.762,0.825,0.76,161.24K,0.00%
2023-10-02,0.825,0.794,0.825,0.767,51.84K,0.00%
2023-10-01,0.825,0.813,0.825,0.72,74.28K,0.00%
2023-09-27,0.825,0.801,0.819,0.8,343.84K,0.00%
2023-09-26,0.825,0.826,0.826,0.801,171.06K,0.00%
2023-09-25,0.825,0.801,0.814,0.801,103.27K,0.00%
2023-09-24,0.825,0.83,0.831,0.807,116.13K,0.00%
2023-09-21,0.825,0.812,0.835,0.8,770.43K,2.87%
2023-09-20,0.802,0.801,0.82,0.8,775.84K,-0.12%
2023-09-19,0.803,0.805,0.815,0.8,323.32K,0.00%
2023-09-18,0.803,0.807,0.817,0.801,120.73K,0.00%
2023-09-17,0.803,0.81,0.82,0.8,615.72K,-0.25%
2023-09-14,0.805,0.81,0.82,0.81,90.90K,0.00%
2023-09-13,0.805,0.808,0.819,0.805,52.09K,0.00%
2023-09-12,0.805,0.834,0.834,0.8,408.27K,-2.66%
2023-09-11,0.827,0.82,0.836,0.81,325.99K,0.00%
2023-09-10,0.827,0.837,0.837,0.814,244.83K,0.00%
2023-09-07,0.827,0.811,0.839,0.811,71.81K,0.00%
