Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,26.26,26.82,27.2,26.17,629.64K,-2.01%
2023-12-10,26.8,27.39,27.44,26.5,429.15K,-1.11%
2023-12-07,27.1,27.5,27.65,26.25,719.67K,-1.35%
2023-12-06,27.47,29.0,29.05,27.42,969.21K,-5.44%
2023-12-05,29.05,29.27,29.48,28.7,414.05K,-0.14%
2023-12-04,29.09,28.7,29.38,28.7,351.60K,1.32%
2023-12-03,28.71,29.25,29.54,28.57,459.29K,-1.68%
2023-11-30,29.2,28.7,29.43,28.41,280.93K,2.96%
2023-11-29,28.36,28.97,29.0,26.04,468.32K,-2.11%
2023-11-28,28.97,29.99,29.99,28.88,599.86K,-2.46%
2023-11-27,29.7,29.8,30.19,29.51,409.26K,-0.34%
2023-11-26,29.8,30.49,30.69,29.8,479.77K,-1.84%
2023-11-23,30.36,30.72,31.04,30.23,557.76K,-0.52%
2023-11-22,30.52,30.99,31.29,30.5,551.31K,-1.52%
2023-11-21,30.99,31.88,31.96,30.8,2.17M,-3.00%
2023-11-20,31.95,31.28,31.95,30.5,1.36M,2.47%
2023-11-19,31.18,29.59,31.2,29.22,1.92M,6.78%
2023-11-16,29.2,29.0,29.73,29.0,959.93K,0.69%
2023-11-15,29.0,28.64,29.4,28.5,633.21K,1.15%
2023-11-14,28.67,28.14,29.1,28.0,884.56K,2.72%
2023-11-13,27.91,28.8,28.98,27.86,654.06K,-2.75%
2023-11-12,28.7,29.31,29.5,28.6,452.02K,-1.41%
2023-11-09,29.11,28.85,29.73,28.55,1.10M,1.15%
2023-11-08,28.78,28.25,29.1,28.25,717.38K,2.38%
2023-11-07,28.11,28.87,28.87,27.8,905.91K,-1.92%
2023-11-06,28.66,28.97,29.9,28.65,405.91K,-1.07%
2023-11-05,28.97,28.5,29.3,28.5,604.27K,2.73%
2023-11-02,28.2,28.31,28.83,28.03,833.92K,0.61%
2023-11-01,28.03,28.5,29.5,25.95,1.41M,-1.65%
2023-10-31,28.5,30.0,30.35,28.5,1.30M,-4.30%
2023-10-30,29.78,30.4,30.54,29.59,1.12M,-0.10%
2023-10-29,29.81,31.3,31.49,29.8,895.32K,-4.61%
2023-10-26,31.25,31.7,31.9,29.75,1.31M,-0.48%
2023-10-25,31.4,30.79,32.0,30.79,1.57M,2.61%
2023-10-24,30.6,30.75,32.25,29.5,3.86M,0.23%
2023-10-23,30.53,28.81,30.53,28.6,3.29M,6.38%
2023-10-22,28.7,28.0,29.13,27.5,2.24M,2.50%
2023-10-19,28.0,29.6,29.7,28.0,2.43M,-5.41%
2023-10-18,29.6,29.0,29.85,28.5,3.89M,2.67%
2023-10-17,28.83,27.9,29.12,26.91,4.79M,3.71%
2023-10-16,27.8,26.02,28.3,26.02,3.13M,5.66%
2023-10-15,26.31,24.95,27.3,24.9,4.58M,5.96%
2023-10-12,24.83,24.8,25.0,24.4,2.09M,0.20%
2023-10-11,24.78,25.4,25.6,24.7,1.13M,-1.63%
2023-10-10,25.19,25.0,25.49,24.71,646.11K,1.08%
2023-10-09,24.92,25.0,25.1,24.62,507.51K,-0.24%
2023-10-08,24.98,25.68,25.68,22.95,1.19M,-2.91%
2023-10-04,25.73,25.4,25.73,24.7,564.73K,2.71%
2023-10-03,25.05,26.24,26.24,24.9,967.58K,-3.32%
2023-10-02,25.91,26.55,26.8,25.01,1.62M,-2.96%
