Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,44.62,45.0,45.5,43.0,21.41K,-3.00%
2023-12-10,46.0,48.0,49.0,46.0,30.61K,-4.17%
2023-12-07,48.0,48.08,48.5,47.0,38.76K,-1.07%
2023-12-06,48.52,48.48,49.98,48.1,75.38K,0.87%
2023-12-05,48.1,48.94,48.94,47.9,36.18K,-0.27%
2023-12-04,48.23,49.0,49.0,48.1,30.58K,-0.25%
2023-12-03,48.35,48.78,49.98,48.02,33.86K,0.96%
2023-11-30,47.89,48.75,48.98,47.1,29.94K,-1.09%
2023-11-29,48.42,49.95,50.0,48.1,32.69K,-1.80%
2023-11-28,49.31,49.5,49.98,48.3,38.35K,0.04%
2023-11-27,49.29,50.03,50.69,49.09,43.41K,-1.46%
2023-11-26,50.02,51.0,51.95,50.0,82.44K,-0.56%
2023-11-23,50.3,51.02,52.0,50.0,49.39K,-1.22%
2023-11-22,50.92,49.4,52.45,49.1,142.96K,4.62%
2023-11-21,48.67,48.72,49.5,48.0,39.91K,-0.10%
2023-11-20,48.72,51.0,51.2,48.25,100.52K,-2.66%
2023-11-19,50.05,48.69,51.5,48.69,110.54K,5.95%
2023-11-16,47.24,48.6,49.0,47.0,34.23K,-0.84%
2023-11-15,47.64,47.45,50.54,47.45,92.32K,0.63%
2023-11-14,47.34,46.0,47.98,46.0,32.24K,2.42%
2023-11-13,46.22,46.49,47.09,45.83,17.81K,0.17%
2023-11-12,46.14,47.0,47.25,45.71,16.54K,-1.41%
2023-11-09,46.8,46.6,47.49,46.17,26.94K,0.34%
2023-11-08,46.64,47.03,47.95,46.0,33.30K,-1.04%
2023-11-07,47.13,46.1,49.1,45.62,56.91K,2.28%
2023-11-06,46.08,48.99,48.99,45.0,42.92K,-4.26%
2023-11-05,48.13,43.27,50.9,43.26,157.92K,12.74%
2023-11-02,42.69,43.51,44.99,42.56,33.71K,-3.11%
2023-11-01,44.06,44.1,47.72,42.01,68.14K,-1.91%
2023-10-31,44.92,48.55,48.66,44.1,42.81K,-4.47%
2023-10-30,47.02,47.5,48.65,47.0,47.00K,-1.57%
2023-10-29,47.77,49.63,49.99,47.3,46.94K,-2.53%
2023-10-26,49.01,50.98,51.49,48.99,50.52K,-2.06%
2023-10-25,50.04,50.1,52.0,50.01,62.70K,-0.06%
2023-10-24,50.07,52.0,52.9,49.0,129.20K,-2.07%
2023-10-23,51.13,51.85,53.0,50.01,169.31K,1.29%
2023-10-22,50.48,49.75,53.7,48.13,116.63K,5.19%
2023-10-19,47.99,50.2,51.69,47.0,84.57K,-4.02%
2023-10-18,50.0,52.78,52.96,50.0,109.64K,-3.86%
2023-10-17,52.01,54.9,54.9,51.61,145.06K,-2.16%
2023-10-16,53.16,52.15,56.79,51.5,377.86K,2.47%
2023-10-15,51.88,52.74,54.89,51.51,198.21K,-1.72%
2023-10-12,52.79,55.5,56.0,51.6,296.73K,-2.83%
2023-10-11,54.33,53.79,57.5,51.0,422.53K,8.81%
2023-10-10,49.93,42.94,49.93,41.57,283.08K,20.00%
2023-10-09,41.61,43.88,43.88,41.22,57.94K,-1.19%
2023-10-08,42.11,46.89,46.89,37.6,95.03K,-7.96%
2023-10-04,45.75,49.0,49.0,45.05,103.96K,-2.47%
2023-10-03,46.91,46.5,54.0,45.55,163.60K,3.12%
2023-10-02,45.49,54.02,55.0,44.0,223.20K,-15.08%
2023-10-01,53.57,61.1,66.66,46.01,289.45K,-5.05%
2023-09-27,56.42,51.75,56.42,51.0,184.24K,19.99%
2023-09-26,47.02,44.99,47.64,43.29,118.38K,18.44%
2023-09-25,39.7,34.03,40.45,34.03,117.25K,17.73%
2023-09-24,33.72,32.0,35.8,31.9,71.16K,10.63%
2023-09-21,30.48,29.5,32.8,28.0,89.58K,5.91%
2023-09-20,28.78,25.59,29.79,25.59,110.84K,15.77%
2023-09-19,24.86,23.35,25.63,22.7,62.44K,7.25%
2023-09-18,23.18,23.0,23.34,22.5,17.47K,-0.09%
2023-09-17,23.2,23.2,23.5,22.61,10.37K,0.00%
2023-09-14,23.2,25.0,25.0,23.1,27.87K,-5.73%
2023-09-13,24.61,23.35,24.85,23.35,51.08K,6.86%
2023-09-12,23.03,21.9,23.39,21.44,123.95K,7.22%
2023-09-11,21.48,21.22,22.0,20.5,24.84K,1.75%
2023-09-10,21.11,21.18,21.75,20.74,2.01K,0.00%
2023-09-07,21.11,21.18,21.19,20.42,4.01K,0.00%
2023-09-06,21.11,21.0,21.19,20.57,1.87K,0.00%
2023-09-05,21.11,20.7,20.8,20.64,5.31K,0.00%
2023-09-04,21.11,20.57,21.0,20.18,2.14K,0.00%
2023-09-03,21.11,21.79,21.8,20.57,10.41K,0.00%
2023-08-31,21.11,20.44,21.9,20.4,59.40K,4.40%
2023-08-30,20.22,20.2,20.45,20.15,27.78K,-1.22%
2023-08-29,20.47,20.1,20.26,19.64,7.72K,0.00%
2023-08-28,20.47,20.5,20.8,20.1,10.70K,0.00%
2023-08-27,20.47,19.64,20.53,19.64,17.93K,2.35%
2023-08-24,20.0,19.85,20.18,19.55,7.06K,0.00%
2023-08-23,20.0,20.4,20.4,19.81,6.38K,0.00%
2023-08-22,20.0,20.31,20.31,19.91,32.33K,-2.82%
2023-08-21,20.58,20.01,20.8,20.0,13.55K,0.00%
2023-08-20,20.58,20.0,20.6,19.91,14.01K,0.00%
2023-08-17,20.58,20.65,20.65,19.8,11.02K,0.00%
2023-08-16,20.58,20.5,21.02,19.62,39.60K,1.83%
2023-08-15,20.21,19.63,20.7,19.2,43.15K,3.75%
2023-08-14,19.48,19.2,19.65,19.2,19.17K,1.35%
2023-08-13,19.22,19.49,19.5,19.02,8.18K,0.00%
2023-08-10,19.22,19.5,19.5,19.05,10.80K,0.00%
2023-08-09,19.22,19.49,19.52,19.15,4.49K,0.00%
2023-08-08,19.22,19.5,19.6,19.27,9.89K,0.00%
2023-08-07,19.22,19.4,19.6,19.23,2.39K,0.00%
2023-08-06,19.22,19.02,19.5,19.02,16.40K,-0.88%
2023-08-03,19.39,19.15,19.39,19.0,6.61K,0.00%
2023-08-02,19.39,19.5,19.64,19.01,13.29K,0.00%
2023-08-01,19.39,19.0,19.5,19.0,14.34K,0.00%
2023-07-31,19.39,19.0,19.01,18.6,13.28K,0.00%
2023-07-30,19.39,19.47,19.47,19.0,5.20K,0.00%
2023-07-27,19.39,19.08,19.47,18.2,11.86K,0.00%
2023-07-26,19.39,19.85,19.85,19.05,7.80K,0.00%
2023-07-25,19.39,19.28,20.0,19.28,8.04K,0.00%
2023-07-24,19.39,20.0,20.19,19.06,19.03K,-3.63%
2023-07-19,20.12,20.02,20.7,20.0,8.70K,0.00%
2023-07-18,20.12,19.85,21.5,19.85,37.96K,3.93%
2023-07-17,19.36,19.01,20.0,19.01,37.56K,0.57%
2023-07-16,19.25,19.02,19.97,18.8,19.13K,1.05%
2023-07-13,19.05,19.0,19.4,18.71,3.50K,0.00%
2023-07-12,19.05,20.0,20.0,18.52,18.59K,-4.18%
2023-07-11,19.88,21.3,21.67,18.0,29.95K,-14.20%
2023-07-10,23.17,22.75,23.4,22.0,45.00K,5.22%
2023-07-09,22.02,22.52,23.0,21.9,20.63K,-2.22%
2023-07-06,22.52,22.75,22.75,22.4,42.35K,-0.49%
2023-07-05,22.63,22.97,23.0,22.5,34.75K,-1.52%
2023-07-04,22.98,23.0,23.1,22.6,30.66K,1.37%
2023-06-26,22.67,22.8,23.0,22.6,25.65K,0.49%
2023-06-25,22.56,22.93,22.93,22.2,14.77K,-0.27%
2023-06-22,22.62,22.7,22.79,22.02,51.39K,2.40%
2023-06-21,22.09,22.69,22.8,22.0,23.15K,0.09%
2023-06-20,22.07,23.0,23.0,21.99,29.72K,-0.99%
2023-06-19,22.29,22.17,22.89,21.5,15.66K,-0.36%
2023-06-18,22.37,23.2,23.2,21.21,22.33K,-3.58%
2023-06-15,23.2,22.13,24.0,22.03,43.18K,3.76%
2023-06-14,22.36,21.0,23.2,21.0,19.15K,7.50%
2023-06-13,20.8,18.0,21.58,18.0,31.13K,10.99%
2023-06-12,18.74,18.74,18.74,18.74,,-0.95%
2023-06-11,18.92,18.0,18.11,18.0,4.00K,0.00%
2023-06-08,18.92,17.76,17.76,17.76,0.01K,0.00%
2023-06-07,18.92,17.5,18.79,17.5,1.32K,0.00%
2023-06-06,18.92,18.39,18.89,17.26,5.33K,0.00%
2023-06-05,18.92,18.05,19.36,17.26,21.35K,5.17%
2023-06-04,17.99,16.76,18.0,16.76,29.62K,2.10%
2023-06-01,17.62,17.01,17.65,16.7,4.13K,0.00%
2023-05-31,17.62,17.85,17.85,17.0,6.94K,0.00%
2023-05-30,17.62,16.63,17.95,16.63,4.15K,0.00%
2023-05-29,17.62,17.53,17.61,17.42,1.31K,0.00%
2023-05-28,17.62,17.99,18.48,17.45,3.73K,0.00%
2023-05-25,17.62,17.62,18.39,17.62,0.15K,0.00%
2023-05-24,17.62,17.62,18.0,17.6,13.02K,0.00%
2023-05-23,17.62,18.0,18.48,17.9,2.32K,0.00%
2023-05-22,17.62,17.62,18.0,16.84,9.68K,0.00%
2023-05-21,17.62,17.01,17.5,17.0,2.19K,0.00%
2023-05-18,17.62,17.6,17.95,14.11,4.51K,0.00%
2023-05-17,17.62,17.6,17.6,16.8,0.26K,0.00%
2023-05-16,17.62,16.71,17.5,16.71,7.17K,0.00%
2023-05-15,17.62,16.55,17.65,16.55,9.98K,0.00%
2023-05-11,17.62,16.65,17.0,16.5,2.38K,0.00%
2023-05-10,17.62,17.5,17.5,17.45,0.53K,0.00%
2023-05-09,17.62,17.5,17.5,17.0,2.26K,0.00%
2023-05-08,17.62,17.49,17.5,16.83,2.01K,0.00%
2023-05-07,17.62,16.89,17.0,16.5,1.26K,0.00%
2023-05-03,17.62,16.91,17.7,16.91,1.15K,0.00%
2023-05-02,17.62,16.88,16.88,16.87,0.80K,0.00%
2023-05-01,17.62,17.95,17.95,16.87,0.27K,0.00%
2023-04-30,17.62,18.0,18.0,17.31,0.43K,0.00%
2023-04-27,17.62,17.18,17.95,17.17,2.50K,0.00%
2023-04-26,17.62,18.0,18.0,18.0,0.10K,0.00%
2023-04-19,17.62,16.85,17.7,16.85,1.80K,0.00%
2023-04-18,17.62,16.83,18.0,16.83,20.08K,3.28%
2023-04-13,17.06,17.2,17.2,17.2,0.05K,0.00%
2023-04-12,17.06,16.58,18.0,16.58,15.53K,0.00%
2023-04-11,17.06,17.35,17.5,16.71,8.32K,0.00%
2023-04-10,17.06,17.35,17.35,16.8,4.86K,0.00%
2023-04-09,17.06,17.3,17.5,16.63,7.74K,0.00%
2023-04-06,17.06,16.87,16.87,16.62,7.53K,0.00%
2023-04-05,17.06,16.71,17.39,16.71,5.03K,0.00%
2023-04-04,17.06,16.65,17.2,16.59,26.72K,1.73%
2023-04-03,16.77,16.52,17.1,16.52,16.27K,0.00%
2023-04-02,16.77,16.99,17.0,16.5,28.77K,3.33%
2023-03-30,16.23,16.49,16.86,16.05,18.51K,1.12%
2023-03-29,16.05,16.99,16.99,16.05,20.71K,-2.19%
2023-03-28,16.41,15.2,16.99,15.2,18.47K,2.43%
2023-03-27,16.02,15.9,15.9,15.61,1.00K,0.00%
2023-03-26,16.02,16.89,16.89,15.14,1.77K,0.00%
2023-03-23,16.02,15.01,15.01,14.74,0.95K,0.00%
2023-03-22,16.02,16.01,16.01,15.85,4.69K,0.00%
2023-03-21,16.02,16.49,16.85,15.85,6.80K,0.00%
2023-03-20,16.02,14.52,15.3,14.41,4.18K,0.00%
2023-03-19,16.02,15.15,15.15,14.61,0.34K,0.00%
2023-03-16,16.02,15.0,15.49,14.01,3.30K,0.00%
2023-03-15,16.02,16.41,17.24,15.0,22.42K,-1.17%
2023-03-14,16.21,16.21,16.7,15.5,7.67K,0.00%
2023-03-13,16.21,18.0,18.0,15.5,34.35K,-7.21%
2023-03-12,17.47,16.4,18.5,16.14,62.76K,4.11%
2023-03-09,16.78,16.45,16.8,16.21,21.20K,2.01%
2023-03-08,16.45,15.99,16.58,15.9,101.13K,2.30%
2023-03-07,16.08,16.04,16.5,15.5,44.33K,0.00%
2023-03-06,16.08,16.51,17.0,16.02,30.01K,-1.95%
2023-03-05,16.4,15.51,16.95,15.5,170.78K,0.74%
2023-03-02,16.28,16.3,16.3,15.8,11.31K,0.00%
2023-03-01,16.28,16.71,17.15,16.13,23.98K,-2.34%
2023-02-28,16.67,17.35,17.69,16.4,27.21K,0.00%
2023-02-27,16.67,16.03,17.7,16.0,86.46K,4.38%
2023-02-26,15.97,17.0,17.0,15.93,40.25K,-6.06%
2023-02-23,17.0,16.0,17.0,16.0,60.29K,-0.06%
2023-02-22,17.01,17.0,17.0,16.0,15.16K,0.00%
2023-02-21,17.01,16.5,17.99,16.15,36.00K,4.16%
2023-02-20,16.33,17.55,18.0,15.0,18.02K,-11.01%
2023-02-19,18.35,18.45,18.45,17.91,6.62K,0.00%
2023-02-16,18.35,18.35,18.35,18.35,5.00K,0.00%
2023-02-15,18.35,18.3,18.77,17.71,3.69K,0.00%
2023-02-14,18.35,19.4,19.4,17.7,1.68K,0.00%
2023-02-13,18.35,19.19,19.5,18.28,25.37K,-2.91%
2023-02-12,18.9,18.9,19.0,18.5,27.30K,-0.05%
2023-02-09,18.91,17.53,18.99,17.53,77.44K,0.85%
2023-02-08,18.75,18.7,18.75,18.7,51.00K,-1.32%
2023-02-07,19.0,19.0,19.0,18.03,0.57K,0.00%
2023-02-06,19.0,18.18,19.0,17.6,86.18K,-2.01%
2023-02-05,19.39,18.4,18.8,17.55,8.34K,0.00%
2023-02-02,19.39,19.66,19.66,18.14,0.24K,0.00%
2023-02-01,19.39,18.95,19.5,17.21,84.85K,3.19%
2023-01-31,18.79,19.0,19.0,18.07,35.86K,-1.11%
2023-01-30,19.0,17.16,19.0,17.16,67.50K,4.00%
2023-01-29,18.27,17.5,17.6,17.16,5.13K,0.00%
2023-01-25,18.27,17.02,18.34,17.02,0.03K,0.00%
2023-01-24,18.27,17.88,17.99,17.88,1.42K,0.00%
2023-01-23,18.27,17.01,17.99,17.01,0.34K,0.00%
2023-01-22,18.27,17.5,18.0,17.5,0.71K,0.00%
2023-01-19,18.27,18.96,18.96,18.0,3.40K,0.00%
2023-01-18,18.27,18.0,19.1,18.0,35.47K,6.72%
2023-01-17,17.12,17.11,18.0,17.11,5.50K,0.00%
2023-01-16,17.12,18.0,18.0,17.08,5.93K,0.00%
2023-01-15,17.12,17.1,17.1,16.91,15.34K,0.00%
2023-01-12,17.12,18.0,18.0,16.93,21.93K,-4.52%
2023-01-11,17.93,18.0,18.25,17.0,3.84K,0.00%
2023-01-10,17.93,17.52,18.0,17.25,31.97K,4.24%
2023-01-09,17.2,17.06,18.5,17.06,11.41K,0.00%
2023-01-05,17.2,17.14,17.38,17.05,6.93K,0.00%
2023-01-04,17.2,17.11,17.5,17.02,8.07K,0.00%
2023-01-03,17.2,17.31,17.5,17.02,18.99K,-2.71%
2023-01-02,17.68,18.0,18.0,17.0,2.60K,0.00%
2022-12-29,17.68,18.7,18.7,17.43,0.60K,0.00%
2022-12-28,17.68,16.9,18.8,16.3,12.60K,0.00%
2022-12-27,17.68,17.0,17.68,15.85,7.01K,0.00%
