Date,Price,Open,High,Low,Vol.,Change %
2023-12-06,96.0,105.27,105.27,96.0,0.01K,-8.81%
2023-11-29,105.27,106.0,106.0,105.27,0.04K,-0.69%
2023-11-27,106.0,106.11,106.11,105.3,0.03K,0.69%
2023-11-13,105.27,105.27,105.27,105.27,0.00K,0.14%
2023-11-08,105.12,105.07,105.12,105.06,0.02K,2.88%
2023-11-06,102.18,101.62,170.0,101.62,0.02K,6.44%
2023-11-01,96.0,170.0,175.0,96.0,0.09K,-45.14%
2023-10-30,175.0,119.0,178.0,96.0,0.31K,47.06%
2023-10-23,119.0,119.0,119.0,100.07,0.05K,-0.83%
2023-10-18,120.0,119.99,120.0,119.99,0.02K,19.93%
2023-10-16,100.06,120.0,120.0,100.06,0.01K,-17.31%
2023-10-11,121.0,120.0,121.0,120.0,0.05K,0.83%
2023-10-09,120.0,106.0,121.0,100.06,0.01K,-3.23%
2023-10-02,124.0,122.0,124.0,122.0,0.00K,16.97%
2023-09-27,106.01,115.0,124.0,106.01,0.02K,-7.82%
2023-09-25,115.0,115.0,115.0,115.0,0.01K,0.00%
2023-09-18,115.0,115.0,115.0,115.0,0.00K,4.54%
2023-09-13,110.01,110.01,110.01,110.01,0.00K,0.01%
2023-09-11,110.0,110.5,110.6,110.0,0.21K,-18.52%
2023-09-06,135.0,140.0,140.0,135.0,0.05K,22.15%
2023-09-04,110.52,110.52,140.0,110.52,0.03K,0.02%
2023-08-30,110.5,108.02,125.0,108.02,0.04K,-11.60%
2023-08-28,125.0,135.0,135.0,125.0,0.06K,-10.71%
2023-08-23,140.0,145.0,145.0,139.0,0.03K,32.08%
2023-08-21,106.0,150.0,150.0,106.0,0.01K,0.00%
2023-08-16,106.0,106.03,106.03,106.0,0.05K,0.66%
2023-08-14,105.3,117.0,117.0,105.3,0.01K,10.84%
2023-08-09,95.0,178.0,195.8,95.0,0.47K,-18.80%
2023-08-07,117.0,138.0,176.0,115.0,0.06K,-34.27%
2023-08-02,178.0,115.0,178.0,115.0,0.44K,54.78%
2023-07-31,115.0,115.0,116.0,115.0,0.03K,-35.39%
2023-07-24,178.0,178.0,178.0,178.0,0.01K,0.00%
2023-07-19,178.0,110.0,178.0,36.0,0.39K,0.00%
2023-07-17,178.0,100.0,178.0,100.0,0.10K,1.14%
2023-07-12,176.0,95.0,176.0,90.0,0.03K,-0.56%
2023-07-10,177.0,93.0,177.0,90.05,0.03K,-0.56%
2023-07-05,178.0,130.0,178.0,130.0,0.42K,36.92%
2023-06-26,130.0,134.5,134.5,92.0,0.01K,-6.47%
2023-06-21,139.0,90.0,139.0,90.0,0.01K,54.44%
