Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.713,0.717,0.723,0.705,1.13M,-1.38%
2023-12-10,0.723,0.725,0.734,0.716,2.49M,0.14%
2023-12-07,0.722,0.722,0.745,0.701,3.74M,-0.69%
2023-12-06,0.727,0.747,0.747,0.722,2.97M,-1.76%
2023-12-05,0.74,0.74,0.747,0.738,1.68M,-0.13%
2023-12-04,0.741,0.74,0.752,0.738,1.46M,0.54%
2023-12-03,0.737,0.757,0.757,0.731,1.07M,-0.14%
2023-11-30,0.738,0.755,0.76,0.73,4.06M,-0.54%
2023-11-29,0.742,0.76,0.77,0.73,3.59M,-3.64%
2023-11-28,0.77,0.736,0.775,0.727,4.18M,5.48%
2023-11-27,0.73,0.736,0.737,0.725,3.48M,0.55%
2023-11-26,0.726,0.733,0.741,0.725,2.04M,-0.41%
2023-11-23,0.729,0.722,0.734,0.717,2.71M,0.97%
2023-11-22,0.722,0.7,0.727,0.694,3.58M,3.14%
2023-11-21,0.7,0.69,0.715,0.686,2.03M,0.00%
2023-11-20,0.7,0.723,0.723,0.692,3.39M,-2.51%
2023-11-19,0.718,0.718,0.739,0.714,3.72M,0.70%
2023-11-16,0.713,0.676,0.723,0.676,4.03M,4.85%
2023-11-15,0.68,0.683,0.684,0.669,1.70M,1.64%
2023-11-14,0.669,0.667,0.678,0.663,1.64M,-0.15%
2023-11-13,0.67,0.678,0.679,0.661,1.84M,0.00%
2023-11-12,0.67,0.686,0.686,0.667,1.65M,-1.03%
2023-11-09,0.677,0.685,0.69,0.672,1.57M,0.59%
2023-11-08,0.673,0.685,0.685,0.672,1.72M,-0.30%
2023-11-07,0.675,0.681,0.689,0.67,660.98K,-1.03%
2023-11-06,0.682,0.679,0.687,0.679,1.09M,0.74%
2023-11-05,0.677,0.665,0.68,0.665,1.41M,3.20%
2023-11-02,0.656,0.65,0.665,0.65,826.89K,0.31%
2023-11-01,0.654,0.665,0.668,0.651,718.87K,-1.65%
2023-10-31,0.665,0.673,0.689,0.661,1.00M,-2.64%
2023-10-30,0.683,0.67,0.694,0.668,1.59M,1.79%
2023-10-29,0.671,0.679,0.679,0.652,1.33M,0.00%
2023-10-26,0.671,0.648,0.68,0.635,2.60M,5.01%
2023-10-25,0.639,0.626,0.649,0.622,2.89M,2.08%
2023-10-24,0.626,0.637,0.652,0.62,1.31M,-1.73%
2023-10-23,0.637,0.645,0.645,0.633,1.41M,-0.31%
2023-10-22,0.639,0.636,0.65,0.625,1.49M,1.27%
2023-10-19,0.631,0.637,0.638,0.628,967.76K,-0.16%
2023-10-18,0.632,0.64,0.64,0.63,834.30K,-1.10%
2023-10-17,0.639,0.633,0.643,0.633,603.90K,1.27%
2023-10-16,0.631,0.634,0.647,0.628,876.31K,-0.63%
2023-10-15,0.635,0.638,0.641,0.631,638.88K,-0.47%
2023-10-12,0.638,0.63,0.641,0.63,591.04K,0.95%
2023-10-11,0.632,0.64,0.64,0.627,792.67K,0.16%
2023-10-10,0.631,0.627,0.64,0.625,491.30K,1.28%
2023-10-09,0.623,0.66,0.66,0.622,265.19K,0.00%
2023-10-08,0.623,0.68,0.68,0.612,1.15M,-7.15%
2023-10-04,0.671,0.678,0.68,0.66,382.65K,0.00%
2023-10-03,0.671,0.678,0.682,0.661,793.30K,-1.18%
2023-10-02,0.679,0.68,0.683,0.677,657.72K,-0.15%
2023-10-01,0.68,0.69,0.694,0.673,562.36K,-0.44%
2023-09-27,0.683,0.69,0.705,0.681,1.98M,-2.43%
2023-09-26,0.7,0.702,0.705,0.693,1.59M,-0.14%
2023-09-25,0.701,0.718,0.718,0.697,1.16M,-0.14%
2023-09-24,0.702,0.72,0.724,0.7,1.61M,0.00%
2023-09-21,0.702,0.71,0.71,0.7,1.32M,-0.43%
2023-09-20,0.705,0.72,0.72,0.703,1.30M,-2.35%
2023-09-19,0.722,0.73,0.73,0.717,1.27M,-1.10%
2023-09-18,0.73,0.725,0.73,0.713,1.66M,1.39%
2023-09-17,0.72,0.72,0.73,0.718,1.11M,0.84%
2023-09-14,0.714,0.713,0.719,0.713,383.60K,0.00%
2023-09-13,0.714,0.716,0.72,0.712,743.46K,-0.28%
2023-09-12,0.716,0.727,0.727,0.715,1.60M,-1.24%
