Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.2,6.19,6.19,5.17,10.43K,-6.98%
2023-12-06,5.59,5.5,5.61,5.43,13.30K,1.08%
2023-12-04,5.53,5.66,5.7,5.53,42.56K,-3.49%
2023-11-29,5.73,5.6,5.73,5.5,41.95K,-2.05%
2023-11-27,5.85,5.91,5.99,5.51,41.01K,-0.85%
2023-11-22,5.9,5.8,6.25,5.62,32.09K,0.34%
2023-11-20,5.88,6.0,6.11,5.55,46.84K,-2.00%
2023-11-15,6.0,6.0,6.47,6.0,37.34K,0.00%
2023-11-13,6.0,6.6,6.6,6.0,95.36K,-7.69%
2023-11-08,6.5,6.13,6.8,6.13,30.11K,3.17%
2023-11-06,6.3,6.8,6.8,6.0,78.63K,-6.67%
2023-11-01,6.75,6.94,7.5,6.5,99.48K,-2.74%
2023-10-30,6.94,4.88,6.98,4.88,252.51K,43.09%
2023-10-25,4.85,4.28,4.86,4.28,69.08K,10.23%
2023-10-23,4.4,4.16,4.41,4.16,121.36K,1.15%
2023-10-18,4.35,4.2,4.43,4.18,54.77K,4.07%
2023-10-16,4.18,4.3,4.3,4.17,2.50K,1.46%
2023-10-11,4.12,4.13,4.13,4.08,30.46K,-0.24%
2023-10-09,4.13,4.12,4.47,4.12,26.57K,0.24%
2023-10-04,4.12,4.17,4.28,4.12,8.66K,0.24%
2023-10-02,4.11,4.04,4.17,4.04,97.15K,1.99%
2023-09-27,4.03,4.16,4.2,4.02,16.01K,-1.71%
2023-09-25,4.1,4.1,4.11,4.08,77.95K,1.74%
2023-09-20,4.03,4.02,4.03,4.0,32.12K,-3.12%
2023-09-18,4.16,4.15,4.16,4.07,40.17K,-3.26%
2023-09-13,4.3,4.13,4.3,4.13,50.01K,0.94%
2023-09-11,4.26,4.14,4.26,4.14,15.33K,1.43%
2023-09-06,4.2,4.14,4.2,4.14,26.50K,-2.10%
2023-09-04,4.29,4.28,4.29,4.13,65.33K,1.18%
2023-08-30,4.24,3.91,4.24,3.9,114.89K,3.41%
2023-08-28,4.1,4.14,4.15,4.02,86.28K,2.24%
2023-08-23,4.01,4.07,4.19,4.0,89.90K,-4.52%
2023-08-21,4.2,4.33,4.33,4.06,17.55K,1.94%
2023-08-16,4.12,4.0,4.72,4.0,104.71K,-5.29%
2023-08-14,4.35,4.05,4.35,3.99,114.14K,10.41%
2023-08-09,3.94,4.2,4.2,3.94,46.97K,-2.23%
2023-08-07,4.03,4.45,4.45,4.0,54.00K,3.33%
2023-08-02,3.9,4.14,4.14,3.9,25.64K,-5.80%
2023-07-31,4.14,4.98,4.98,4.14,46.15K,-0.48%
2023-07-26,4.16,4.48,4.5,4.15,23.63K,-1.65%
2023-07-24,4.23,4.69,4.7,4.23,9.22K,-3.86%
2023-07-19,4.4,4.4,4.4,4.4,0.07K,0.00%
2023-07-17,4.4,4.6,4.6,4.2,19.14K,0.00%
2023-07-12,4.4,4.3,4.49,4.16,27.49K,6.28%
2023-07-10,4.14,4.35,4.7,4.14,25.54K,-15.51%
2023-07-05,4.9,4.9,4.9,4.9,0.60K,-2.00%
2023-06-26,5.0,5.0,5.0,4.3,24.60K,-3.66%
2023-06-21,5.19,5.28,5.28,5.19,0.33K,-0.19%
2023-06-19,5.2,5.35,5.4,4.9,32.69K,-1.89%
2023-06-14,5.3,5.2,5.3,4.5,2.52K,1.92%
2023-06-12,5.2,5.28,5.28,5.1,0.98K,-1.52%
2023-06-07,5.28,5.2,5.28,5.0,31.63K,-1.49%
2023-06-05,5.36,5.75,5.75,5.01,78.16K,22.10%
2023-05-31,4.39,5.47,5.47,4.39,16.05K,-13.07%
2023-05-29,5.05,5.26,5.46,4.85,135.04K,-7.68%
2023-05-24,5.47,4.95,5.47,4.9,97.96K,11.86%
2023-05-22,4.89,4.85,4.89,4.85,5.34K,2.09%
2023-05-17,4.79,4.84,4.84,4.78,1.91K,-2.04%
2023-05-15,4.89,4.95,4.99,4.85,28.09K,4.26%
2023-05-10,4.69,4.48,4.69,4.42,23.93K,6.59%
2023-05-08,4.4,4.1,4.4,4.1,81.77K,8.11%
2023-05-03,4.07,4.09,4.1,4.02,10.05K,0.74%
2023-05-01,4.04,4.03,4.1,4.01,23.00K,0.25%
2023-04-26,4.03,4.09,4.1,3.91,46.73K,2.54%
2023-04-19,3.93,4.01,4.01,3.85,20.87K,-1.75%
2023-04-12,4.0,4.09,4.09,3.99,14.25K,-1.72%
2023-04-10,4.07,4.11,4.11,4.0,18.74K,-1.21%
2023-04-05,4.12,4.07,4.15,4.07,27.00K,1.98%
2023-04-03,4.04,4.05,4.17,3.95,46.54K,1.00%
2023-03-29,4.0,4.0,4.0,4.0,6.00K,-4.53%
2023-03-27,4.19,4.15,4.2,4.15,44.00K,0.24%
2023-03-22,4.18,4.0,4.25,4.0,30.47K,5.03%
2023-03-20,3.98,4.0,4.12,3.85,23.20K,-1.97%
2023-03-15,4.06,4.05,4.1,4.0,25.00K,2.78%
2023-03-13,3.95,3.85,4.0,3.85,18.13K,-1.25%
2023-03-08,4.0,4.0,4.0,3.9,18.87K,-1.72%
2023-03-06,4.07,4.1,4.1,4.05,8.03K,0.00%
2023-03-01,4.07,4.29,4.29,4.01,37.08K,-1.21%
2023-02-27,4.12,4.15,4.3,4.06,16.28K,0.73%
2023-02-22,4.09,4.15,4.2,4.03,30.80K,-5.76%
2023-02-20,4.34,4.35,4.35,4.25,68.00K,0.23%
2023-02-15,4.33,4.06,4.4,4.06,81.51K,7.71%
2023-02-13,4.02,4.06,4.2,4.0,20.30K,-1.71%
2023-02-08,4.09,4.15,4.15,4.04,27.84K,0.99%
2023-02-06,4.05,4.18,4.18,3.99,68.30K,0.50%
2023-02-01,4.03,4.01,4.15,4.0,9.33K,-3.12%
2023-01-30,4.16,4.17,4.18,4.15,27.24K,-5.24%
2023-01-25,4.39,4.22,4.47,4.22,77.50K,4.52%
2023-01-23,4.2,4.16,4.29,4.15,15.99K,0.00%
2023-01-18,4.2,4.04,4.5,4.02,54.67K,1.69%
2023-01-16,4.13,4.27,4.27,4.03,83.03K,-4.18%
2023-01-11,4.31,4.47,4.5,4.22,91.33K,-1.60%
2023-01-09,4.38,4.51,4.51,4.26,42.22K,-4.37%
2023-01-04,4.58,4.7,4.7,4.5,159.78K,-4.38%
2023-01-02,4.79,5.0,5.0,4.65,117.52K,-5.71%
2022-12-28,5.08,5.04,5.45,4.95,260.55K,1.80%
2022-12-26,4.99,5.1,5.24,4.5,442.98K,-2.16%
2022-12-21,5.1,5.0,10.0,4.52,201.15K,58.39%
2021-07-14,3.22,3.82,3.82,2.0,1.26M,-16.80%
2021-07-12,3.87,3.6,3.99,3.6,202.01K,9.94%
2021-07-07,3.52,3.4,3.62,3.4,172.24K,10.00%
2021-07-05,3.2,3.0,3.36,3.0,80.11K,8.11%
2021-06-30,2.96,2.9,3.0,2.9,72.98K,4.23%
2021-06-28,2.84,2.78,2.89,2.78,139.15K,0.00%
2021-06-23,2.84,2.8,2.87,2.8,112.33K,-0.70%
2021-06-21,2.86,2.88,2.98,2.8,187.38K,-3.05%
2021-06-16,2.95,3.06,3.06,2.9,94.84K,-5.45%
2021-06-14,3.12,3.34,3.34,3.0,119.14K,-4.00%
2021-06-09,3.25,3.26,3.39,3.21,59.46K,-1.22%
2021-06-07,3.29,3.42,3.49,3.07,43.53K,0.30%
2021-06-02,3.28,3.15,3.45,3.15,35.35K,2.50%
2021-05-31,3.2,3.5,3.5,3.06,89.32K,-11.36%
2021-05-26,3.61,3.65,3.8,3.6,15.08K,-2.43%
2021-05-24,3.7,3.72,3.94,3.62,17.37K,-6.33%
2021-05-19,3.95,3.95,4.0,3.75,51.60K,2.07%
2021-05-17,3.87,3.93,4.0,3.74,13.70K,4.59%
