Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,2.55,2.55,2.55,2.55,,0.00%
2023-09-10,2.55,2.55,2.55,2.55,0.05K,0.00%
2023-08-09,2.55,2.04,2.04,2.04,0.15K,0.00%
2023-06-12,2.55,2.55,2.55,2.55,,0.00%
2023-05-24,2.55,2.55,2.55,2.54,0.01K,0.00%
2023-03-16,2.55,2.55,2.55,2.55,0.08K,0.00%
2022-12-15,2.55,2.04,2.04,2.04,0.00K,0.00%
2022-11-17,2.55,2.04,2.04,2.04,0.00K,0.00%
2022-08-15,2.55,2.54,2.54,2.54,0.08K,0.00%
2021-05-26,2.55,2.55,2.55,2.55,0.15K,0.00%
2021-02-16,2.55,2.55,2.55,2.55,1.00K,0.00%
2020-12-10,2.55,2.8,2.8,2.8,0.00K,0.00%
2020-10-21,2.55,2.55,2.55,2.55,0.99K,-5.20%
2020-06-02,2.69,2.7,2.7,2.6,11.79K,-0.74%
2020-02-27,2.71,2.44,2.44,2.44,0.05K,0.07%
2019-10-16,2.708,2.708,2.708,2.708,0.16K,0.00%
2019-10-13,2.708,2.961,2.961,2.961,0.01K,0.00%
2019-10-08,2.708,2.971,2.971,2.971,0.01K,0.00%
2019-10-07,2.708,2.971,2.971,2.971,0.01K,0.00%
2019-09-25,2.708,2.971,2.971,2.971,0.03K,0.00%
2019-09-17,2.708,2.971,2.971,2.971,0.03K,0.00%
2019-05-26,2.708,2.708,2.708,2.708,0.05K,0.00%
2018-12-27,2.708,2.708,2.708,2.708,0.05K,0.00%
2018-06-28,2.708,2.708,2.708,2.708,0.04K,0.00%
2018-06-11,2.708,2.708,2.708,2.708,0.06K,0.00%
2018-06-06,2.708,2.708,2.708,2.708,0.04K,0.00%
2018-04-26,2.708,2.446,2.446,2.446,0.02K,0.00%
2018-04-24,2.708,2.446,2.446,2.446,0.03K,0.00%
2018-04-22,2.708,2.446,2.446,2.446,0.02K,0.00%
2018-04-19,2.708,2.446,2.446,2.446,0.03K,0.00%
2018-04-01,2.708,2.446,2.446,2.446,0.05K,0.11%
2017-10-29,2.705,2.705,2.705,2.705,1.78K,-9.95%
2017-10-01,3.004,3.004,3.004,3.004,0.53K,0.00%
2017-05-02,3.004,3.004,3.004,3.004,0.53K,0.00%
2016-11-07,3.004,3.004,3.004,3.004,0.32K,0.00%
2016-10-04,3.004,3.004,3.004,3.004,0.53K,0.00%
2016-04-10,3.004,3.004,3.004,3.004,0.53K,0.00%
2015-10-18,3.004,3.004,3.004,3.004,0.05K,0.00%
2015-09-10,3.004,3.004,3.004,3.004,0.53K,0.00%
2015-03-26,3.004,3.004,3.004,3.004,0.59K,0.00%
2014-10-12,3.004,3.004,3.004,3.004,1.07K,-17.38%
2014-04-23,3.636,3.636,3.636,3.636,0.53K,0.00%
2013-11-03,3.636,3.636,3.636,3.636,0.11K,0.00%
2013-05-26,3.636,3.636,3.636,3.636,1.07K,0.00%
2013-04-09,3.636,3.636,3.636,3.636,1.07K,0.00%
2012-10-15,3.636,3.636,3.636,3.636,1.07K,0.00%
2012-04-10,3.636,3.636,3.636,3.636,1.07K,0.00%
2011-06-26,3.636,3.636,3.636,3.636,2.15M,0.00%
2011-01-24,3.636,3.636,3.636,3.636,1.07K,0.00%
