Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.463,0.465,0.471,0.45,88.54M,-0.86%
2023-12-10,0.467,0.466,0.492,0.462,180.71M,1.52%
2023-12-07,0.46,0.459,0.46,0.439,87.42M,0.22%
2023-12-06,0.459,0.462,0.477,0.455,199.56M,0.22%
2023-12-05,0.458,0.441,0.468,0.439,254.67M,4.81%
2023-12-04,0.437,0.445,0.447,0.432,86.40M,-1.13%
2023-12-03,0.442,0.418,0.45,0.414,209.13M,6.51%
2023-11-30,0.415,0.419,0.42,0.41,50.70M,0.00%
2023-11-29,0.415,0.424,0.429,0.413,103.96M,-1.66%
2023-11-28,0.422,0.42,0.429,0.417,64.88M,0.96%
2023-11-27,0.418,0.428,0.428,0.417,52.70M,-0.95%
2023-11-26,0.422,0.43,0.436,0.421,105.89M,-0.47%
2023-11-23,0.424,0.409,0.428,0.407,139.74M,4.69%
2023-11-22,0.405,0.405,0.413,0.401,67.06M,0.50%
2023-11-21,0.403,0.393,0.403,0.388,28.38M,2.81%
2023-11-20,0.392,0.401,0.403,0.39,40.32M,-1.75%
2023-11-19,0.399,0.402,0.408,0.398,38.87M,-0.25%
2023-11-16,0.4,0.399,0.403,0.396,35.45M,1.01%
2023-11-15,0.396,0.4,0.403,0.393,29.66M,-0.50%
2023-11-14,0.398,0.415,0.415,0.398,51.06M,-2.93%
2023-11-13,0.41,0.395,0.413,0.389,116.18M,5.13%
2023-11-12,0.39,0.395,0.4,0.388,94.10M,-2.50%
2023-11-09,0.4,0.425,0.425,0.393,121.23M,-4.53%
2023-11-08,0.419,0.43,0.435,0.406,257.46M,-1.41%
2023-11-07,0.425,0.433,0.444,0.418,116.41M,-1.16%
2023-11-06,0.43,0.47,0.472,0.428,82.28M,-7.92%
2023-11-05,0.467,0.467,0.473,0.461,24.69M,3.32%
2023-11-02,0.452,0.438,0.453,0.435,12.39M,3.67%
2023-11-01,0.436,0.441,0.445,0.432,5.78M,-1.13%
2023-10-31,0.441,0.45,0.45,0.437,11.27M,-1.56%
2023-10-30,0.448,0.45,0.455,0.445,12.97M,2.52%
2023-10-29,0.437,0.435,0.442,0.433,10.28M,0.69%
2023-10-26,0.434,0.442,0.445,0.431,7.34M,-0.91%
2023-10-25,0.438,0.439,0.447,0.43,8.53M,1.86%
2023-10-24,0.43,0.441,0.445,0.42,9.61M,-2.27%
2023-10-23,0.44,0.447,0.455,0.434,12.74M,-1.35%
2023-10-22,0.446,0.413,0.469,0.413,24.06M,8.25%
2023-10-19,0.412,0.422,0.425,0.408,33.52M,-2.14%
2023-10-18,0.421,0.426,0.43,0.42,5.08M,-1.17%
2023-10-17,0.426,0.43,0.432,0.421,6.18M,0.24%
2023-10-16,0.425,0.434,0.434,0.423,4.14M,-1.16%
2023-10-15,0.43,0.434,0.44,0.43,2.88M,-0.92%
2023-10-12,0.434,0.423,0.438,0.42,6.38M,2.36%
2023-10-11,0.424,0.429,0.433,0.42,11.54M,-1.17%
2023-10-10,0.429,0.404,0.431,0.4,17.48M,6.72%
2023-10-09,0.402,0.395,0.404,0.38,10.79M,1.77%
2023-10-08,0.395,0.411,0.411,0.363,18.07M,-3.66%
2023-10-04,0.41,0.404,0.42,0.401,9.23M,2.50%
2023-10-03,0.4,0.42,0.42,0.398,13.67M,-2.68%
2023-10-02,0.411,0.434,0.434,0.407,10.44M,-3.52%
2023-10-01,0.426,0.438,0.439,0.425,8.92M,-3.40%
2023-09-27,0.441,0.445,0.445,0.419,12.81M,0.68%
2023-09-26,0.438,0.446,0.453,0.437,9.12M,-1.79%
2023-09-25,0.446,0.461,0.469,0.442,11.45M,-3.88%
2023-09-24,0.464,0.466,0.471,0.46,9.07M,0.22%
2023-09-21,0.463,0.47,0.474,0.46,6.77M,-0.43%
2023-09-20,0.465,0.487,0.488,0.463,18.76M,-4.12%
2023-09-19,0.485,0.495,0.499,0.484,29.07M,-1.22%
2023-09-18,0.491,0.496,0.5,0.488,12.29M,-0.41%
2023-09-17,0.493,0.493,0.503,0.49,20.16M,1.02%
2023-09-14,0.488,0.493,0.501,0.487,14.99M,-0.20%
2023-09-13,0.489,0.486,0.492,0.484,8.36M,0.41%
2023-09-12,0.487,0.499,0.499,0.485,11.67M,-1.22%
2023-09-11,0.493,0.505,0.509,0.492,19.22M,-1.20%
2023-09-10,0.499,0.498,0.519,0.496,51.56M,1.84%
2023-09-07,0.49,0.472,0.492,0.472,21.72M,4.03%
2023-09-06,0.471,0.473,0.477,0.47,6.76M,-0.63%
2023-09-05,0.474,0.474,0.484,0.472,11.00M,0.00%
2023-09-04,0.474,0.471,0.475,0.468,9.49M,0.64%
2023-09-03,0.471,0.475,0.477,0.47,10.53M,-0.42%
2023-08-31,0.473,0.473,0.477,0.467,8.97M,0.00%
2023-08-30,0.473,0.468,0.477,0.461,12.54M,1.72%
2023-08-29,0.465,0.47,0.47,0.46,13.81M,0.00%
2023-08-28,0.465,0.473,0.478,0.46,17.10M,-1.69%
2023-08-27,0.473,0.472,0.478,0.469,14.17M,0.64%
2023-08-24,0.47,0.477,0.479,0.467,13.63M,-0.21%
2023-08-23,0.471,0.483,0.487,0.47,18.67M,-2.08%
2023-08-22,0.481,0.48,0.488,0.475,12.25M,0.63%
2023-08-21,0.478,0.476,0.485,0.472,25.99M,1.49%
2023-08-20,0.471,0.482,0.494,0.471,16.03M,-1.67%
2023-08-17,0.479,0.481,0.498,0.47,25.87M,-0.21%
2023-08-16,0.48,0.508,0.51,0.476,62.94M,-4.95%
2023-08-15,0.505,0.433,0.505,0.433,143.57M,13.23%
2023-08-14,0.446,0.447,0.451,0.44,20.75M,-0.22%
2023-08-13,0.447,0.46,0.461,0.442,17.38M,-2.19%
2023-08-10,0.457,0.471,0.489,0.454,43.89M,3.63%
2023-08-09,0.441,0.42,0.441,0.414,18.54M,5.00%
2023-08-08,0.42,0.423,0.431,0.414,3.99M,-0.47%
2023-08-07,0.422,0.403,0.422,0.402,13.33M,4.98%
2023-08-06,0.402,0.397,0.41,0.395,5.51M,0.75%
2023-08-03,0.399,0.4,0.406,0.397,4.16M,-0.25%
2023-08-02,0.4,0.414,0.416,0.398,5.48M,-3.15%
2023-08-01,0.413,0.407,0.414,0.4,6.33M,4.03%
2023-07-31,0.397,0.397,0.406,0.386,6.21M,2.58%
2023-07-30,0.387,0.404,0.408,0.386,8.51M,-4.21%
2023-07-27,0.404,0.425,0.427,0.404,18.39M,-4.94%
2023-07-26,0.425,0.429,0.438,0.406,7.19M,0.24%
2023-07-25,0.424,0.431,0.438,0.422,5.62M,-0.70%
2023-07-24,0.427,0.45,0.46,0.423,8.24M,-3.17%
2023-07-19,0.441,0.422,0.441,0.418,29.89M,5.00%
2023-07-18,0.42,0.44,0.44,0.418,25.07M,-4.55%
2023-07-17,0.44,0.421,0.465,0.421,70.03M,-0.68%
2023-07-16,0.443,0.443,0.443,0.443,760.21K,-4.94%
2023-07-13,0.466,0.466,0.466,0.466,1.80M,-4.90%
2023-07-12,0.49,0.5,0.503,0.487,15.48M,-1.21%
