Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,64.17,68.3,68.99,63.6,353.47K,-6.68%
2023-12-10,68.76,69.3,71.9,68.34,369.61K,0.38%
2023-12-07,68.5,73.5,73.5,65.01,495.51K,-6.23%
2023-12-06,73.05,76.0,76.99,73.0,552.64K,-3.44%
2023-12-05,75.65,77.0,77.98,75.0,110.87K,0.20%
2023-12-04,75.5,74.52,77.4,73.5,192.92K,1.03%
2023-12-03,74.73,76.3,76.9,74.5,157.82K,-2.31%
2023-11-30,76.5,76.6,78.25,76.0,278.83K,-0.44%
2023-11-29,76.84,78.82,79.9,74.85,402.38K,-2.49%
2023-11-28,78.8,81.25,81.5,78.54,288.77K,-2.98%
2023-11-27,81.22,83.95,83.95,80.76,210.19K,-2.39%
2023-11-26,83.21,84.15,85.99,82.7,164.12K,-0.94%
2023-11-23,84.0,82.0,86.89,81.0,631.83K,3.70%
2023-11-22,81.0,80.12,82.9,78.5,343.98K,1.25%
2023-11-21,80.0,79.12,82.0,76.7,265.26K,1.13%
2023-11-20,79.11,83.5,84.0,78.7,679.78K,-4.89%
2023-11-19,83.18,72.01,86.1,72.01,1.17M,15.34%
2023-11-16,72.12,71.11,72.72,71.11,97.40K,1.49%
2023-11-15,71.06,71.84,72.75,71.0,119.18K,0.47%
2023-11-14,70.73,66.37,73.23,65.8,939.20K,6.57%
2023-11-13,66.37,67.67,67.8,65.0,104.01K,-2.14%
2023-11-12,67.82,67.79,68.94,67.03,165.88K,0.40%
2023-11-09,67.55,67.0,67.85,66.5,147.82K,0.88%
2023-11-08,66.96,64.25,67.0,64.25,265.69K,4.25%
2023-11-07,64.23,65.5,66.0,64.14,55.20K,-1.92%
2023-11-06,65.49,65.7,66.42,64.29,102.43K,0.20%
2023-11-05,65.36,63.3,66.08,62.56,230.24K,4.81%
2023-11-02,62.36,62.61,63.55,62.0,171.17K,-0.13%
2023-11-01,62.44,64.31,66.0,60.8,251.81K,-2.71%
2023-10-31,64.18,68.2,69.7,63.6,794.16K,-5.59%
2023-10-30,67.98,68.8,68.99,67.74,150.86K,-1.61%
2023-10-29,69.09,70.5,70.5,67.5,204.65K,0.09%
2023-10-26,69.03,73.49,74.5,69.0,465.00K,-4.13%
2023-10-25,72.0,66.75,73.98,66.75,1.08M,8.04%
2023-10-24,66.64,69.01,69.98,65.51,629.63K,-3.41%
2023-10-23,68.99,69.0,70.0,67.9,683.82K,1.08%
2023-10-22,68.25,63.02,69.79,63.02,643.04K,8.32%
2023-10-19,63.01,63.99,66.0,61.0,565.37K,-0.60%
2023-10-18,63.39,65.5,65.5,63.3,333.59K,-2.18%
2023-10-17,64.8,66.0,66.77,63.16,348.64K,-1.22%
2023-10-16,65.6,60.0,67.0,59.6,1.41M,10.70%
2023-10-15,59.26,57.53,60.0,57.26,643.84K,3.03%
2023-10-12,57.52,55.66,59.45,55.13,1.01M,2.81%
2023-10-11,55.95,55.01,56.35,54.55,349.69K,1.93%
2023-10-10,54.89,55.0,55.22,53.5,385.98K,-0.18%
2023-10-09,54.99,55.69,56.5,54.8,206.45K,-1.26%
2023-10-08,55.69,57.2,58.2,51.0,675.79K,-2.52%
2023-10-04,57.13,55.31,58.95,54.51,508.07K,3.10%
2023-10-03,55.41,57.11,57.11,54.82,549.21K,-3.16%
2023-10-02,57.22,52.11,57.47,51.8,1.49M,10.04%
2023-10-01,52.0,52.0,52.92,50.14,440.70K,0.10%
2023-09-27,51.95,53.8,53.8,51.81,1.49M,-2.42%
2023-09-26,53.24,53.1,55.19,53.0,754.18K,0.45%
2023-09-25,53.0,52.44,53.5,51.61,332.52K,1.32%
2023-09-24,52.31,49.5,53.93,49.4,728.59K,5.98%
2023-09-21,49.36,47.69,49.87,47.02,641.14K,5.02%
2023-09-20,47.0,48.89,48.89,47.0,576.02K,-2.33%
2023-09-19,48.12,49.27,49.96,47.95,426.03K,-2.31%
2023-09-18,49.26,48.15,50.25,48.15,1.08M,3.21%
2023-09-17,47.73,45.04,48.0,45.04,654.86K,6.18%
2023-09-14,44.95,43.9,45.5,43.7,465.08K,2.37%
2023-09-13,43.91,43.34,44.5,43.06,183.43K,1.67%
2023-09-12,43.19,42.8,43.37,42.8,111.40K,0.30%
2023-09-11,43.06,44.0,44.3,42.49,191.00K,-1.91%
2023-09-10,43.9,42.02,44.4,42.0,684.20K,4.52%
2023-09-07,42.0,41.2,42.34,40.86,613.18K,2.54%
2023-09-06,40.96,42.13,42.22,40.7,350.64K,-2.98%
2023-09-05,42.22,43.05,43.44,42.06,118.93K,-1.86%
2023-09-04,43.02,43.02,43.59,43.01,67.49K,-0.39%
2023-09-03,43.19,44.0,44.5,43.0,318.62K,-1.73%
2023-08-31,43.95,43.66,44.4,42.17,142.40K,0.71%
2023-08-30,43.64,43.6,44.48,43.45,31.43K,-1.60%
2023-08-29,44.35,44.51,45.4,43.21,172.98K,-0.25%
2023-08-28,44.46,41.27,46.45,41.27,895.21K,7.13%
2023-08-27,41.5,37.4,42.9,37.4,1.19M,11.26%
2023-08-24,37.3,37.6,37.6,37.12,53.42K,0.00%
2023-08-23,37.3,37.7,37.74,37.16,46.57K,-0.93%
2023-08-22,37.65,37.49,37.7,37.0,123.68K,0.72%
2023-08-21,37.38,37.5,37.5,37.14,97.75K,0.70%
2023-08-20,37.12,36.85,37.53,36.5,267.59K,0.84%
2023-08-17,36.81,36.91,37.39,36.72,40.55K,-0.24%
2023-08-16,36.9,37.5,37.8,36.9,207.53K,-0.86%
2023-08-15,37.22,37.85,37.98,37.1,138.39K,-1.59%
2023-08-14,37.82,37.6,38.3,37.44,370.68K,0.88%
2023-08-13,37.49,37.5,37.75,37.2,106.18K,0.86%
2023-08-10,37.17,37.5,37.6,37.1,148.37K,-0.35%
2023-08-09,37.3,37.25,37.89,37.01,154.21K,0.81%
2023-08-08,37.0,37.11,37.5,36.9,194.23K,0.19%
2023-08-07,36.93,36.95,37.33,36.72,130.11K,0.41%
2023-08-06,36.78,36.72,37.0,36.12,166.33K,0.16%
2023-08-03,36.72,36.82,37.06,36.6,94.54K,-0.24%
2023-08-02,36.81,37.95,38.0,36.8,257.58K,-2.44%
2023-08-01,37.73,39.0,39.3,37.52,1.22M,-0.68%
2023-07-31,37.99,37.5,38.25,37.2,251.34K,2.32%
2023-07-30,37.13,37.0,37.9,36.5,52.04K,0.35%
2023-07-27,37.0,37.5,37.9,36.8,89.00K,-0.99%
2023-07-26,37.37,36.99,38.05,36.1,263.83K,2.36%
2023-07-25,36.51,36.95,37.0,36.21,101.04K,-0.16%
2023-07-24,36.57,37.0,38.05,36.05,253.67K,-1.00%
2023-07-19,36.94,35.35,37.0,35.26,368.01K,5.06%
2023-07-18,35.16,35.3,35.4,35.05,29.75K,0.31%
2023-07-17,35.05,35.48,35.56,34.7,108.61K,0.14%
2023-07-16,35.0,35.5,35.79,34.6,85.37K,-1.35%
2023-07-13,35.48,34.9,35.8,34.85,86.53K,1.84%
2023-07-12,34.84,35.78,35.95,34.5,85.41K,-2.63%
2023-07-11,35.78,36.9,36.9,35.06,168.88K,-3.30%
2023-07-10,37.0,33.17,37.0,32.78,226.15K,11.55%
2023-07-09,33.17,34.66,34.8,33.0,131.38K,-4.16%
2023-07-06,34.61,35.25,35.44,34.25,307.03K,-1.70%
2023-07-05,35.21,35.26,35.9,34.97,149.72K,-0.17%
2023-07-04,35.27,36.9,36.91,34.8,291.14K,-4.18%
2023-06-26,36.81,36.56,36.99,36.25,68.24K,0.55%
2023-06-25,36.61,37.5,37.5,36.01,125.85K,-1.77%
2023-06-22,37.27,37.5,38.4,37.12,53.27K,0.27%
