Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.743,1.8,1.809,1.737,972.53K,-3.11%
2023-12-10,1.799,1.829,1.849,1.783,1.62M,1.18%
2023-12-07,1.778,1.814,1.836,1.751,1.63M,-1.82%
2023-12-06,1.811,1.85,1.87,1.81,4.99M,0.33%
2023-12-05,1.805,1.71,1.846,1.71,5.32M,4.70%
2023-12-04,1.724,1.7,1.729,1.7,805.70K,1.77%
2023-12-03,1.694,1.7,1.708,1.68,782.08K,0.53%
2023-11-30,1.685,1.681,1.709,1.664,683.07K,-0.35%
2023-11-29,1.691,1.704,1.716,1.683,1.32M,-0.94%
2023-11-28,1.707,1.72,1.723,1.7,778.33K,-0.18%
2023-11-27,1.71,1.72,1.728,1.701,733.13K,0.29%
2023-11-26,1.705,1.734,1.734,1.701,751.39K,-0.47%
2023-11-23,1.713,1.746,1.746,1.705,1.02M,-0.75%
2023-11-22,1.726,1.72,1.75,1.72,1.75M,1.41%
2023-11-21,1.702,1.72,1.74,1.682,3.03M,-0.06%
2023-11-20,1.703,1.702,1.779,1.701,6.06M,0.35%
2023-11-19,1.697,1.67,1.72,1.67,2.59M,2.54%
2023-11-16,1.655,1.689,1.689,1.65,1.38M,-1.25%
2023-11-15,1.676,1.691,1.714,1.66,1.63M,-0.83%
2023-11-14,1.69,1.66,1.743,1.66,6.00M,2.36%
2023-11-13,1.651,1.62,1.669,1.609,2.19M,3.12%
2023-11-12,1.601,1.6,1.622,1.572,1.31M,1.91%
2023-11-09,1.571,1.609,1.644,1.555,857.95K,-0.63%
2023-11-08,1.581,1.619,1.619,1.56,739.09K,-0.82%
2023-11-07,1.594,1.6,1.629,1.575,1.40M,1.14%
2023-11-06,1.576,1.59,1.61,1.561,940.97K,0.70%
2023-11-05,1.565,1.565,1.58,1.55,666.72K,0.97%
2023-11-02,1.55,1.521,1.59,1.521,635.58K,2.24%
2023-11-01,1.516,1.6,1.6,1.51,622.19K,-3.62%
2023-10-31,1.573,1.6,1.637,1.547,1.53M,-1.56%
2023-10-30,1.598,1.57,1.599,1.526,2.04M,3.36%
2023-10-29,1.546,1.618,1.637,1.533,3.95M,-2.83%
2023-10-26,1.591,1.648,1.75,1.58,6.21M,-2.93%
2023-10-25,1.639,1.46,1.65,1.45,7.06M,14.38%
2023-10-24,1.433,1.398,1.47,1.384,1.42M,3.17%
2023-10-23,1.389,1.385,1.4,1.37,1.01M,1.31%
2023-10-22,1.371,1.394,1.394,1.355,373.62K,-0.29%
2023-10-19,1.375,1.37,1.4,1.36,235.50K,-0.29%
2023-10-18,1.379,1.352,1.437,1.352,1.05M,2.99%
2023-10-17,1.339,1.351,1.352,1.33,301.42K,-0.30%
2023-10-16,1.343,1.316,1.359,1.313,404.00K,1.74%
2023-10-15,1.32,1.33,1.348,1.317,156.49K,0.00%
2023-10-12,1.32,1.345,1.345,1.32,72.75K,0.00%
2023-10-11,1.32,1.32,1.35,1.31,658.35K,0.30%
2023-10-10,1.316,1.302,1.33,1.302,237.58K,1.31%
2023-10-09,1.299,1.33,1.33,1.292,279.69K,0.70%
2023-10-08,1.29,1.354,1.377,1.285,403.42K,-4.94%
2023-10-04,1.357,1.351,1.389,1.35,191.47K,0.00%
2023-10-03,1.357,1.373,1.41,1.35,400.84K,-0.88%
2023-10-02,1.369,1.42,1.42,1.359,302.16K,-4.06%
2023-10-01,1.427,1.43,1.43,1.38,186.06K,0.00%
2023-09-27,1.427,1.403,1.42,1.39,158.14K,0.00%
2023-09-26,1.427,1.44,1.45,1.402,118.33K,0.00%
2023-09-25,1.427,1.415,1.44,1.402,69.59K,0.00%
2023-09-24,1.427,1.46,1.47,1.42,84.46K,0.00%
2023-09-21,1.427,1.41,1.44,1.41,111.47K,0.00%
2023-09-20,1.427,1.46,1.475,1.403,350.28K,-2.86%
2023-09-19,1.469,1.487,1.488,1.46,106.10K,0.00%
2023-09-18,1.469,1.47,1.488,1.462,283.17K,0.96%
2023-09-17,1.455,1.46,1.49,1.455,171.13K,0.00%
2023-09-14,1.455,1.471,1.483,1.444,410.48K,-1.22%
2023-09-13,1.473,1.46,1.484,1.45,189.21K,0.00%
2023-09-12,1.473,1.489,1.489,1.452,172.84K,0.00%
2023-09-11,1.473,1.495,1.495,1.463,67.88K,0.00%
2023-09-10,1.473,1.48,1.517,1.47,327.33K,-0.20%
2023-09-07,1.476,1.483,1.506,1.466,635.13K,-1.14%
2023-09-06,1.493,1.51,1.53,1.484,478.62K,-0.60%
2023-09-05,1.502,1.522,1.57,1.497,1.21M,0.13%
2023-09-04,1.5,1.5,1.52,1.482,230.29K,-0.27%
2023-09-03,1.504,1.521,1.556,1.488,921.40K,-0.92%
2023-08-31,1.518,1.54,1.557,1.501,1.73M,-0.07%
2023-08-30,1.519,1.44,1.6,1.44,5.54M,6.37%
2023-08-29,1.428,1.423,1.44,1.42,292.76K,0.35%
2023-08-28,1.423,1.446,1.45,1.42,293.38K,-1.59%
2023-08-27,1.446,1.447,1.468,1.415,283.46K,0.98%
2023-08-24,1.432,1.458,1.458,1.41,250.39K,-1.85%
2023-08-23,1.459,1.445,1.476,1.416,658.36K,1.74%
2023-08-22,1.434,1.41,1.45,1.406,227.13K,1.20%
2023-08-21,1.417,1.42,1.43,1.4,56.43K,0.00%
2023-08-20,1.417,1.382,1.45,1.382,245.18K,-0.35%
2023-08-17,1.422,1.4,1.424,1.373,168.83K,0.00%
2023-08-16,1.422,1.417,1.46,1.4,212.91K,0.42%
2023-08-15,1.416,1.44,1.45,1.416,189.02K,0.00%
2023-08-14,1.416,1.417,1.474,1.41,748.40K,-1.80%
2023-08-13,1.442,1.415,1.46,1.415,70.08K,0.00%
2023-08-10,1.442,1.413,1.459,1.401,197.68K,0.00%
2023-08-09,1.442,1.39,1.469,1.39,62.35K,0.00%
2023-08-08,1.442,1.475,1.475,1.402,463.83K,-1.57%
2023-08-07,1.465,1.454,1.48,1.45,256.14K,-0.07%
2023-08-06,1.466,1.401,1.485,1.401,1.09M,4.49%
2023-08-03,1.403,1.385,1.419,1.381,83.02K,0.00%
2023-08-02,1.403,1.391,1.431,1.39,697.82K,0.36%
2023-08-01,1.398,1.37,1.406,1.37,352.90K,0.94%
2023-07-31,1.385,1.38,1.39,1.362,165.27K,0.00%
2023-07-30,1.385,1.4,1.4,1.375,225.03K,0.36%
2023-07-27,1.38,1.36,1.4,1.355,380.04K,0.29%
2023-07-26,1.376,1.355,1.379,1.35,92.48K,0.00%
2023-07-25,1.376,1.38,1.39,1.353,192.36K,0.00%
2023-07-24,1.376,1.409,1.409,1.37,106.55K,0.00%
2023-07-19,1.376,1.38,1.41,1.38,190.95K,0.00%
2023-07-18,1.376,1.372,1.39,1.372,78.39K,0.00%
2023-07-17,1.376,1.39,1.42,1.37,332.91K,-1.36%
2023-07-16,1.395,1.41,1.419,1.397,96.05K,0.00%
2023-07-13,1.395,1.424,1.424,1.38,155.21K,0.00%
2023-07-12,1.395,1.407,1.428,1.377,162.19K,0.00%
2023-07-11,1.395,1.405,1.423,1.4,74.83K,0.00%
2023-07-10,1.395,1.38,1.43,1.38,233.73K,-5.62%
2023-07-09,1.478,1.497,1.497,1.37,176.82K,0.00%
2023-07-06,1.478,1.5,1.5,1.46,236.77K,-1.00%
2023-07-05,1.493,1.475,1.505,1.472,369.73K,0.07%
2023-07-04,1.492,1.45,1.51,1.45,253.17K,1.43%
2023-06-26,1.471,1.45,1.481,1.44,287.09K,0.89%
2023-06-25,1.458,1.471,1.489,1.441,344.15K,-0.75%
2023-06-22,1.469,1.471,1.499,1.455,277.69K,-1.74%
2023-06-21,1.495,1.5,1.515,1.471,450.39K,-0.27%
2023-06-20,1.499,1.504,1.52,1.495,1.11M,-0.27%
2023-06-19,1.503,1.534,1.549,1.493,430.67K,-2.02%
2023-06-18,1.534,1.569,1.569,1.53,468.08K,-0.45%
2023-06-15,1.541,1.581,1.581,1.536,779.23K,-2.53%
2023-06-14,1.581,1.6,1.619,1.57,3.04M,0.64%
2023-06-13,1.571,1.52,1.612,1.51,3.45M,4.66%
2023-06-12,1.501,1.491,1.53,1.476,232.35K,0.60%
2023-06-11,1.492,1.519,1.549,1.47,1.17M,0.27%
2023-06-08,1.488,1.53,1.53,1.472,310.33K,-2.23%
