Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,26.15,27.2,27.2,26.06,1.28M,-3.79%
2023-12-10,27.18,27.64,27.85,27.11,1.49M,-1.66%
2023-12-07,27.64,28.0,28.0,27.11,1.59M,-1.29%
2023-12-06,28.0,28.83,29.0,28.0,2.26M,-2.68%
2023-12-05,28.77,27.98,29.09,27.98,4.46M,3.60%
2023-12-04,27.77,27.08,27.89,26.95,2.01M,2.55%
2023-12-03,27.08,27.45,27.49,26.75,1.35M,-0.44%
2023-11-30,27.2,27.7,27.79,27.16,938.20K,-0.84%
2023-11-29,27.43,27.7,28.0,27.12,1.36M,-0.80%
2023-11-28,27.65,28.3,28.4,27.45,2.24M,-2.12%
2023-11-27,28.25,28.6,28.8,28.03,1.84M,-1.22%
2023-11-26,28.6,28.61,28.8,28.3,839.67K,0.53%
2023-11-23,28.45,28.9,29.04,28.32,1.97M,-0.73%
2023-11-22,28.66,29.0,29.22,28.61,1.81M,-0.90%
2023-11-21,28.92,28.39,29.2,28.0,3.16M,1.83%
2023-11-20,28.4,29.36,29.54,28.3,2.74M,-2.91%
2023-11-19,29.25,29.45,29.6,29.12,902.92K,0.00%
2023-11-16,29.25,29.33,29.96,29.01,1.55M,-0.20%
2023-11-15,29.31,29.3,29.61,29.0,1.97M,0.79%
2023-11-14,29.08,28.5,29.5,28.23,5.21M,2.76%
2023-11-13,28.3,28.8,29.0,28.0,2.10M,-1.46%
2023-11-12,28.72,29.1,29.85,28.72,3.84M,-0.10%
2023-11-09,28.75,28.49,29.15,28.3,3.57M,1.77%
2023-11-08,28.25,28.24,29.0,28.05,2.33M,1.25%
2023-11-07,27.9,28.2,28.3,27.5,1.07M,-0.39%
2023-11-06,28.01,31.9,31.9,27.88,1.79M,-1.20%
2023-11-05,28.35,27.7,28.83,27.55,2.20M,2.98%
2023-11-02,27.53,27.65,28.2,27.4,1.46M,0.22%
2023-11-01,27.47,27.5,27.97,26.85,2.33M,1.29%
2023-10-31,27.12,28.1,28.2,26.8,2.69M,-2.87%
2023-10-30,27.92,28.8,28.8,27.72,2.65M,-2.04%
2023-10-29,28.5,29.97,30.0,28.32,2.55M,-4.90%
2023-10-26,29.97,30.25,31.3,29.4,2.81M,-0.73%
2023-10-25,30.19,29.59,30.55,29.04,3.89M,4.39%
2023-10-24,28.92,29.99,30.59,28.04,4.24M,-1.97%
2023-10-23,29.5,28.5,30.98,28.2,4.75M,5.36%
2023-10-22,28.0,26.8,28.62,26.71,2.41M,4.83%
2023-10-19,26.71,27.5,27.85,26.71,2.95M,-2.87%
2023-10-18,27.5,27.8,29.0,27.1,4.90M,-0.40%
2023-10-17,27.61,25.39,28.99,24.81,7.12M,9.91%
2023-10-16,25.12,24.4,25.52,24.36,3.82M,3.59%
2023-10-15,24.25,23.76,24.65,23.76,2.74M,2.49%
2023-10-12,23.66,22.02,24.14,22.0,4.36M,7.84%
2023-10-11,21.94,21.9,22.75,21.73,2.85M,0.18%
2023-10-10,21.9,21.47,21.9,21.37,860.45K,2.00%
2023-10-09,21.47,21.6,21.91,21.32,705.26K,-0.60%
2023-10-08,21.6,22.2,22.2,20.81,2.31M,-3.40%
2023-10-04,22.36,22.2,22.45,22.0,2.41M,0.90%
2023-10-03,22.16,22.79,22.99,22.15,1.04M,-2.76%
2023-10-02,22.79,22.98,23.15,21.91,1.51M,-0.26%
2023-10-01,22.85,23.54,23.65,22.83,1.26M,-2.89%
2023-09-27,23.53,23.46,23.68,22.85,1.62M,0.64%
2023-09-26,23.38,23.85,24.0,23.36,1.91M,-1.72%
2023-09-25,23.79,22.62,23.99,22.62,6.07M,5.45%
2023-09-24,22.56,22.65,23.0,22.53,1.38M,-0.31%
2023-09-21,22.63,22.7,22.9,22.21,1.26M,0.35%
2023-09-20,22.55,22.7,23.28,22.5,3.49M,-0.49%
2023-09-19,22.66,22.71,23.0,22.6,1.15M,-0.18%
2023-09-18,22.7,22.48,22.74,22.29,753.48K,1.98%
2023-09-17,22.26,22.75,22.92,22.1,1.40M,-1.11%
2023-09-14,22.51,22.61,22.8,22.42,1.44M,-0.40%
2023-09-13,22.6,21.95,22.6,21.8,2.18M,3.15%
2023-09-12,21.91,22.46,22.6,21.83,865.98K,-1.75%
2023-09-11,22.3,23.07,23.07,22.25,2.77M,-3.04%
2023-09-10,23.0,22.7,23.24,22.6,1.48M,1.81%
2023-09-07,22.59,22.6,23.05,21.8,2.49M,0.85%
2023-09-06,22.4,23.28,23.39,22.3,1.25M,-3.07%
2023-09-05,23.11,23.01,23.7,23.01,1.34M,0.43%
2023-09-04,23.01,22.4,23.5,22.35,2.44M,3.18%
2023-09-03,22.3,23.13,23.4,22.3,924.00K,-3.67%
2023-08-31,23.15,22.99,23.15,22.45,1.93M,0.65%
2023-08-30,23.0,22.8,23.24,22.45,1.45M,0.88%
2023-08-29,22.8,21.4,22.8,21.25,4.88M,6.89%
2023-08-28,21.33,21.61,21.98,21.12,1.60M,-0.97%
2023-08-27,21.54,21.0,22.0,21.0,1.96M,2.67%
2023-08-24,20.98,20.99,21.05,20.56,5.30M,4.85%
2023-08-23,20.01,20.4,20.6,19.91,1.29M,-0.69%
2023-08-22,20.15,20.1,20.44,19.93,1.44M,0.75%
2023-08-21,20.0,19.93,20.21,19.81,769.68K,0.40%
2023-08-20,19.92,20.26,20.35,19.87,599.82K,-0.99%
2023-08-17,20.12,20.26,20.58,20.12,1.52M,-0.69%
2023-08-16,20.26,19.89,21.0,19.63,2.26M,1.91%
2023-08-15,19.88,20.01,20.2,19.84,604.53K,-0.40%
2023-08-14,19.96,20.0,20.5,19.94,2.44M,-0.20%
2023-08-13,20.0,19.6,20.17,19.55,1.40M,2.04%
2023-08-10,19.6,19.8,19.8,19.32,569.97K,0.51%
2023-08-09,19.5,19.59,20.0,19.45,2.19M,0.41%
2023-08-08,19.42,19.65,19.88,19.42,837.77K,-0.97%
2023-08-07,19.61,19.2,20.0,19.06,1.90M,1.87%
2023-08-06,19.25,18.5,19.26,18.32,1.68M,4.22%
2023-08-03,18.47,18.6,18.79,18.02,625.25K,-0.27%
2023-08-02,18.52,18.77,18.88,18.52,677.57K,-1.17%
2023-08-01,18.74,18.86,19.09,18.6,795.21K,-0.58%
2023-07-31,18.85,18.7,18.9,18.55,1.07M,0.86%
2023-07-30,18.69,18.3,18.85,18.25,985.45K,2.13%
2023-07-27,18.3,18.8,18.98,18.0,1.99M,-2.61%
2023-07-26,18.79,18.5,18.83,18.47,1.12M,1.57%
2023-07-25,18.5,18.88,19.11,18.3,1.37M,-1.65%
2023-07-24,18.81,19.19,19.2,18.75,1.01M,-1.78%
2023-07-19,19.15,19.5,19.5,19.1,545.98K,-1.54%
2023-07-18,19.45,19.27,19.68,19.27,1.33M,0.99%
2023-07-17,19.26,18.7,19.55,18.65,3.02M,2.99%
2023-07-16,18.7,19.0,19.0,18.65,356.65K,-1.16%
2023-07-13,18.92,18.9,19.15,18.8,1.30M,0.32%
2023-07-12,18.86,18.99,19.02,18.66,907.53K,-0.21%
2023-07-11,18.9,18.96,19.14,18.6,2.89M,1.50%
2023-07-10,18.62,17.97,18.98,17.62,3.30M,4.49%
2023-07-09,17.82,18.7,18.9,17.6,3.98M,-4.50%
2023-07-06,18.66,19.5,19.5,18.65,1.52M,-3.47%
2023-07-05,19.33,19.56,19.9,18.85,3.67M,-0.15%
2023-07-04,19.36,20.4,20.5,19.22,1.83M,-4.96%
2023-06-26,20.37,19.72,20.5,19.72,1.49M,3.40%
2023-06-25,19.7,20.8,21.09,19.5,2.42M,-5.74%
2023-06-22,20.9,20.5,21.17,20.36,5.21M,1.95%
2023-06-21,20.5,20.5,20.9,20.1,2.65M,0.49%
2023-06-20,20.4,20.1,20.86,20.0,5.36M,2.00%
2023-06-19,20.0,19.82,20.4,19.6,7.77M,1.01%
2023-06-18,19.8,19.0,19.84,18.95,3.02M,4.54%
2023-06-15,18.94,19.32,19.45,18.88,2.27M,-1.87%
2023-06-14,19.3,19.3,20.12,19.1,5.02M,0.00%
2023-06-13,19.3,18.65,19.4,18.56,4.09M,3.43%
2023-06-12,18.66,18.89,18.97,18.55,407.07K,-1.22%
2023-06-11,18.89,18.2,19.14,18.2,3.77M,4.36%
2023-06-08,18.1,18.01,18.21,17.8,2.71M,1.12%
2023-06-07,17.9,18.5,18.7,17.85,3.11M,-2.03%
2023-06-06,18.27,18.4,18.8,18.17,2.53M,-0.33%
2023-06-05,18.33,18.7,18.89,18.15,1.28M,-1.45%
2023-06-04,18.6,18.9,19.09,18.5,1.14M,-1.12%
2023-06-01,18.81,19.3,19.47,18.7,2.72M,-2.54%
2023-05-31,19.3,18.0,19.9,18.0,13.17M,8.55%
2023-05-30,17.78,17.22,17.79,17.21,3.80M,3.25%
2023-05-29,17.22,16.9,17.3,16.89,2.39M,2.14%
2023-05-28,16.86,16.69,16.97,16.52,1.73M,2.68%
2023-05-25,16.42,16.27,16.66,16.2,1.89M,0.92%
2023-05-24,16.27,16.25,16.4,16.0,1.83M,0.74%
2023-05-23,16.15,16.05,16.4,15.7,1.88M,0.56%
2023-05-22,16.06,16.5,16.83,15.89,2.44M,-2.61%
