Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.69,4.64,4.72,4.52,1.95M,-0.21%
2023-12-10,4.7,4.76,4.86,4.6,643.04K,-0.63%
2023-12-07,4.73,4.62,4.75,4.59,3.42M,0.64%
2023-12-06,4.7,4.8,4.83,4.63,878.55K,-1.05%
2023-12-05,4.75,4.78,5.0,4.72,191.86K,1.50%
2023-12-04,4.68,4.66,4.9,4.63,484.52K,0.65%
2023-12-03,4.65,4.66,4.74,4.6,270.05K,0.87%
2023-11-30,4.61,4.79,4.79,4.6,474.94K,-2.54%
2023-11-29,4.73,4.89,4.89,4.7,299.06K,-2.07%
2023-11-28,4.83,4.88,4.94,4.76,148.05K,-1.43%
2023-11-27,4.9,4.78,4.91,4.71,780.37K,4.03%
2023-11-26,4.71,4.73,4.79,4.62,275.41K,0.43%
2023-11-23,4.69,4.63,4.7,4.55,553.55K,1.74%
2023-11-22,4.61,4.6,4.64,4.5,500.96K,1.54%
2023-11-21,4.54,4.64,4.64,4.5,95.47K,0.89%
2023-11-20,4.5,4.73,4.74,4.4,981.20K,-4.66%
2023-11-19,4.72,4.65,4.75,4.65,181.09K,1.51%
2023-11-16,4.65,4.68,4.7,4.52,4.00M,2.20%
2023-11-15,4.55,4.64,4.64,4.5,370.33K,0.66%
2023-11-14,4.52,4.75,4.75,4.5,342.47K,-3.42%
2023-11-13,4.68,4.79,4.79,4.52,324.74K,0.00%
2023-11-12,4.68,4.79,4.82,4.6,288.06K,-0.64%
2023-11-09,4.71,4.75,4.8,4.65,272.41K,1.51%
2023-11-08,4.64,4.85,4.95,4.6,459.67K,-5.11%
2023-11-07,4.89,5.15,5.15,4.8,87.19K,0.00%
2023-11-06,4.89,5.15,5.2,4.8,145.59K,-2.20%
2023-11-05,5.0,5.0,5.25,4.82,682.53K,2.04%
2023-11-02,4.9,5.0,5.0,4.59,678.38K,6.75%
2023-11-01,4.59,4.25,5.25,4.25,133.21K,4.79%
2023-10-31,4.38,4.37,4.6,4.23,38.90K,0.00%
2023-10-30,4.38,4.5,4.5,4.38,72.57K,-1.79%
2023-10-29,4.46,4.52,4.79,4.38,177.01K,-3.25%
2023-10-26,4.61,4.1,4.75,3.95,553.01K,10.82%
2023-10-25,4.16,3.91,4.27,3.85,106.28K,4.00%
2023-10-24,4.0,4.0,4.06,4.0,11.17K,0.00%
2023-10-23,4.0,4.0,4.06,3.9,563.17K,0.00%
2023-10-22,4.0,3.85,4.0,3.85,684.45K,1.01%
2023-10-19,3.96,3.98,3.98,3.81,25.49K,0.00%
2023-10-18,3.96,4.0,4.0,3.85,1.17M,-1.00%
2023-10-17,4.0,4.0,4.04,3.9,435.98K,-0.25%
2023-10-16,4.01,3.86,4.03,3.8,358.27K,0.25%
2023-10-15,4.0,3.75,4.0,3.65,526.58K,6.95%
2023-10-12,3.74,3.8,3.84,3.8,15.91K,0.00%
2023-10-11,3.74,3.8,3.8,3.8,7.96K,0.00%
2023-10-10,3.74,3.7,3.81,3.7,22.35K,0.00%
2023-10-09,3.74,3.85,3.85,3.7,52.27K,0.00%
2023-10-08,3.74,3.85,3.95,3.7,127.97K,-2.86%
2023-10-04,3.85,3.94,3.94,3.85,510.02K,0.00%
2023-10-03,3.85,3.94,3.94,3.85,106.30K,-0.52%
2023-10-02,3.87,3.98,3.98,3.85,444.27K,-0.26%
2023-10-01,3.88,3.86,3.88,3.86,19.88K,0.00%
2023-09-27,3.88,3.95,3.96,3.87,44.61K,0.00%
2023-09-26,3.88,3.95,3.96,3.85,306.85K,0.26%
2023-09-25,3.87,3.95,3.95,3.85,155.22K,-1.28%
2023-09-24,3.92,3.97,3.99,3.86,97.38K,1.29%
2023-09-21,3.87,3.85,3.98,3.85,214.00K,0.52%
2023-09-20,3.85,3.86,3.89,3.85,1.95M,-1.28%
2023-09-19,3.9,3.86,3.9,3.86,245.16K,0.78%
2023-09-18,3.87,3.99,3.99,3.85,286.82K,-3.01%
2023-09-17,3.99,4.0,4.0,3.89,2.12K,0.00%
2023-09-14,3.99,3.85,4.0,3.8,4.56M,3.64%
2023-09-13,3.85,3.86,3.89,3.8,219.59K,0.00%
2023-09-12,3.85,3.85,3.89,3.85,106.89K,0.00%
2023-09-11,3.85,3.9,3.9,3.8,2.00M,-1.28%
2023-09-10,3.9,3.9,3.9,3.83,2.24K,0.00%
2023-09-07,3.9,3.8,4.0,3.7,765.06K,5.12%
2023-09-06,3.71,3.96,3.96,3.77,22.68K,0.00%
2023-09-05,3.71,3.94,3.99,3.75,68.98K,0.00%
2023-09-04,3.71,3.8,3.8,3.75,68.76K,0.00%
2023-09-03,3.71,3.8,3.88,3.75,16.53K,0.00%
2023-08-31,3.71,3.75,3.79,3.71,178.81K,-1.59%
2023-08-30,3.77,3.72,3.77,3.72,3.05K,0.00%
2023-08-29,3.77,3.77,3.77,3.7,24.51K,0.00%
2023-08-28,3.77,3.75,3.81,3.71,78.08K,0.00%
2023-08-27,3.77,3.75,3.8,3.75,28.70K,0.00%
2023-08-24,3.77,3.8,3.8,3.7,84.36K,-0.79%
2023-08-23,3.8,3.88,3.98,3.78,273.93K,-0.78%
2023-08-22,3.83,3.67,4.28,3.56,3.45M,3.51%
2023-08-21,3.7,3.7,3.75,3.66,68.14K,0.00%
2023-08-20,3.7,3.76,3.79,3.7,2.27M,-0.27%
2023-08-17,3.71,3.79,3.79,3.6,2.43M,0.00%
2023-08-16,3.71,3.7,3.75,3.7,1.18M,-1.07%
2023-08-15,3.75,3.71,3.79,3.71,169.24K,0.54%
2023-08-14,3.73,3.71,3.76,3.7,137.05K,-0.80%
2023-08-13,3.76,3.8,3.8,3.7,22.97K,0.00%
2023-08-10,3.76,3.72,3.76,3.7,33.44K,0.00%
2023-08-09,3.76,3.8,3.8,3.7,17.64K,0.00%
2023-08-08,3.76,3.75,3.76,3.71,34.86K,0.00%
2023-08-07,3.76,3.79,3.85,3.72,503.02K,1.08%
2023-08-06,3.72,3.78,3.8,3.72,39.78K,0.00%
2023-08-03,3.72,3.6,3.75,3.6,26.91K,0.00%
