Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.46,2.25,2.46,2.2,92.43K,0.00%
2023-12-10,2.46,2.27,2.46,2.26,54.20K,0.00%
2023-12-07,2.46,2.27,2.34,2.2,77.83K,0.00%
2023-12-06,2.46,2.49,2.5,2.33,110.80K,0.00%
2023-12-05,2.46,2.5,2.55,2.4,282.97K,-0.40%
2023-12-04,2.47,2.31,2.58,2.3,488.60K,11.26%
2023-12-03,2.22,2.18,2.3,2.18,48.03K,0.00%
2023-11-30,2.22,2.3,2.3,2.19,199.01K,-1.77%
2023-11-29,2.26,2.22,2.33,2.2,155.46K,3.20%
2023-11-28,2.19,2.21,2.23,2.18,128.37K,0.00%
2023-11-27,2.19,2.17,2.23,2.16,201.00K,0.00%
2023-11-26,2.19,2.16,2.19,2.14,69.03K,0.00%
2023-11-23,2.19,2.13,2.18,2.11,90.80K,0.00%
2023-11-22,2.19,2.12,2.16,2.11,10.00K,0.00%
2023-11-21,2.19,2.08,2.19,2.08,26.24K,0.00%
2023-11-20,2.19,2.19,2.24,2.07,134.03K,0.00%
2023-11-19,2.19,2.14,2.3,2.14,342.65K,3.94%
2023-11-16,2.107,1.99,2.139,1.99,574.22K,5.83%
2023-11-15,1.991,1.947,2.03,1.9,578.28K,4.68%
2023-11-14,1.902,1.893,1.948,1.891,49.42K,0.00%
2023-11-13,1.902,1.897,1.929,1.897,267.95K,0.05%
2023-11-12,1.901,1.901,1.928,1.893,75.65K,0.00%
2023-11-09,1.901,1.895,1.902,1.894,78.43K,0.00%
2023-11-08,1.901,1.906,1.93,1.905,49.20K,0.00%
2023-11-07,1.901,1.9,1.938,1.895,64.29K,0.00%
2023-11-06,1.901,1.9,1.914,1.88,460.57K,-0.05%
2023-11-05,1.902,1.911,1.925,1.891,534.82K,-1.40%
2023-11-02,1.929,1.915,1.94,1.915,28.28K,0.00%
2023-11-01,1.929,1.923,1.988,1.9,612.77K,-4.32%
2023-10-31,2.016,1.93,2.039,1.927,191.19K,3.65%
2023-10-30,1.945,1.888,2.03,1.888,579.89K,7.22%
2023-10-29,1.814,1.816,1.86,1.811,130.01K,0.00%
2023-10-26,1.814,1.86,1.885,1.802,272.79K,-0.82%
2023-10-25,1.829,1.763,1.87,1.763,205.73K,3.80%
2023-10-24,1.762,1.79,1.79,1.751,236.47K,0.00%
2023-10-23,1.762,1.741,1.78,1.74,252.57K,0.51%
2023-10-22,1.753,1.712,1.79,1.712,2.10K,0.00%
2023-10-19,1.753,1.75,1.753,1.717,14.26K,0.00%
2023-10-18,1.753,1.74,1.77,1.722,49.24K,0.00%
2023-10-17,1.753,1.753,1.753,1.713,11.57K,0.00%
2023-10-16,1.753,1.755,1.786,1.7,341.89K,-1.96%
2023-10-15,1.788,1.771,1.79,1.755,118.47K,0.00%
2023-10-12,1.788,1.785,1.8,1.75,151.67K,0.00%
2023-10-11,1.788,1.771,1.83,1.742,289.97K,-1.27%
2023-10-10,1.811,1.77,1.849,1.767,241.43K,-2.58%
2023-10-09,1.859,1.7,1.859,1.7,106.02K,0.00%
2023-10-08,1.859,1.78,1.8,1.7,123.01K,0.00%
2023-10-04,1.859,1.85,1.88,1.78,122.25K,0.00%
2023-10-03,1.859,1.87,1.87,1.82,71.87K,0.00%
2023-10-02,1.859,1.91,1.94,1.823,260.81K,-2.05%
2023-10-01,1.898,1.788,1.92,1.771,379.02K,7.17%
2023-09-27,1.771,1.77,1.788,1.765,326.34K,-4.11%
2023-09-26,1.847,1.74,1.847,1.74,114.12K,0.00%
2023-09-25,1.847,1.77,1.79,1.75,113.38K,0.00%
2023-09-21,1.847,1.752,1.847,1.726,92.98K,0.00%
2023-09-20,1.847,1.8,1.84,1.753,99.06K,0.00%
2023-09-19,1.847,1.804,1.849,1.804,927.40K,-1.12%
2023-09-18,1.868,1.83,1.83,1.8,42.00K,0.00%
2023-09-17,1.868,1.801,1.868,1.801,103.53K,0.00%
2023-09-14,1.868,1.84,1.84,1.8,96.96K,0.00%
2023-09-13,1.868,1.802,1.835,1.8,42.00K,0.00%
2023-09-12,1.868,1.85,1.85,1.8,81.96K,0.00%
2023-09-11,1.868,1.868,1.897,1.816,67.84K,0.00%
2023-09-10,1.868,1.86,1.88,1.814,98.55K,0.00%
2023-09-07,1.868,1.812,1.84,1.8,72.00K,0.00%
2023-09-06,1.868,1.82,1.859,1.816,133.35K,0.00%
2023-09-05,1.868,1.81,1.9,1.81,184.08K,3.20%
2023-09-04,1.81,1.8,1.819,1.775,76.69K,0.00%
2023-09-03,1.81,1.81,1.81,1.75,109.64K,0.00%
2023-08-31,1.81,1.85,1.85,1.8,271.47K,-2.58%
2023-08-30,1.858,1.83,1.99,1.8,962.57K,1.98%
2023-08-29,1.822,1.74,1.87,1.74,428.01K,5.81%
2023-08-28,1.722,1.722,1.722,1.65,81.51K,0.00%
2023-08-27,1.722,1.702,1.74,1.7,88.55K,0.00%
2023-08-24,1.722,1.702,1.748,1.7,54.62K,0.00%
2023-08-23,1.722,1.75,1.76,1.7,180.77K,-1.66%
2023-08-22,1.751,1.7,1.789,1.7,268.35K,-0.11%
2023-08-21,1.753,1.68,1.7,1.656,35.50K,0.00%
2023-08-20,1.753,1.68,1.68,1.68,0.54K,0.00%
2023-08-17,1.753,1.68,1.68,1.68,0.23K,0.00%
2023-08-16,1.753,1.683,1.683,1.675,21.00K,0.00%
2023-08-15,1.753,1.72,1.72,1.72,0.23K,0.00%
2023-08-14,1.753,1.663,1.72,1.663,25.00K,0.00%
2023-08-13,1.753,1.652,1.68,1.651,12.55K,0.00%
2023-08-10,1.753,1.685,1.698,1.665,40.73K,0.00%
2023-08-09,1.753,1.685,1.753,1.685,46.77K,0.00%
2023-08-08,1.753,1.719,1.719,1.682,59.00K,0.00%
2023-08-07,1.753,1.7,1.719,1.7,41.88K,0.00%
2023-08-06,1.753,1.68,1.72,1.675,38.06K,0.00%
2023-08-03,1.753,1.7,1.729,1.7,19.78K,0.00%
2023-08-02,1.753,1.749,1.749,1.691,32.01K,0.00%
2023-08-01,1.753,1.752,1.76,1.703,115.41K,0.00%
2023-07-31,1.753,1.68,1.734,1.68,3.03K,0.00%
2023-07-30,1.753,1.71,1.74,1.66,27.50K,0.00%
2023-07-27,1.753,1.679,1.753,1.679,22.45K,0.00%
2023-07-26,1.753,1.651,1.661,1.65,14.00K,0.00%
2023-07-25,1.753,1.666,1.666,1.64,26.00K,0.00%
2023-07-24,1.753,1.68,1.7,1.661,25.88K,0.00%
2023-07-19,1.753,1.68,1.68,1.65,8.09K,0.00%
2023-07-18,1.753,1.661,1.68,1.66,33.87K,0.00%
2023-07-16,1.753,1.673,1.7,1.671,31.58K,0.00%
2023-07-13,1.753,1.699,1.753,1.621,134.40K,0.00%
2023-07-12,1.753,1.655,1.753,1.651,37.35K,0.00%
2023-07-11,1.753,1.655,1.7,1.64,53.13K,0.00%
2023-07-10,1.753,1.68,1.68,1.61,23.41K,0.00%
2023-07-09,1.753,1.68,1.7,1.66,26.00K,0.00%
2023-07-06,1.753,1.68,1.76,1.68,11.12K,0.00%
2023-07-05,1.753,1.71,1.71,1.703,13.47K,0.00%
2023-07-04,1.753,1.76,1.78,1.76,6.80K,0.00%
2023-06-26,1.753,1.685,1.753,1.68,23.60K,0.00%
2023-06-25,1.753,1.72,1.72,1.682,12.34K,0.00%
2023-06-22,1.753,1.747,1.753,1.7,35.72K,0.00%
2023-06-21,1.753,1.721,1.753,1.712,51.22K,0.00%
2023-06-20,1.753,1.744,1.744,1.711,43.65K,0.00%
2023-06-19,1.753,1.733,1.745,1.73,23.45K,0.00%
2023-06-18,1.753,1.742,1.78,1.732,21.08K,0.00%
2023-06-15,1.753,1.747,1.749,1.731,46.05K,0.00%
2023-06-14,1.753,1.742,1.806,1.73,69.46K,0.00%
2023-06-13,1.753,1.75,1.78,1.73,33.14K,1.51%
2023-06-12,1.727,1.73,1.78,1.727,18.28K,-1.48%
2023-06-11,1.753,1.727,1.727,1.727,4.50K,0.00%
2023-06-08,1.753,1.745,1.745,1.7,20.79K,0.00%
2023-06-07,1.753,1.75,1.81,1.725,144.49K,0.00%
2023-06-06,1.753,1.751,1.78,1.75,225.25K,0.29%
2023-06-05,1.748,1.781,1.825,1.77,50.16K,0.00%
2023-06-04,1.748,1.8,1.84,1.79,25.26K,0.00%
2023-06-01,1.748,1.78,1.82,1.7,211.72K,-5.00%
2023-05-31,1.84,1.801,1.802,1.8,19.06K,0.00%
2023-05-30,1.84,1.86,1.86,1.8,127.33K,0.00%
2023-05-29,1.84,1.864,1.864,1.8,83.42K,0.00%
2023-05-28,1.84,1.741,1.86,1.741,265.79K,5.81%
2023-05-25,1.739,1.76,1.76,1.76,4.08K,0.00%
2023-05-24,1.739,1.78,1.78,1.751,77.62K,0.00%
2023-05-23,1.739,1.74,1.74,1.739,16.20K,0.00%
2023-05-22,1.739,1.77,1.77,1.75,23.69K,0.00%
2023-05-21,1.739,1.725,1.789,1.725,60.01K,0.00%
2023-05-18,1.739,1.7,1.739,1.675,13.00K,0.00%
2023-05-17,1.739,1.741,1.746,1.739,77.42K,0.00%
2023-05-16,1.739,1.741,1.76,1.74,43.18K,0.00%
2023-05-15,1.739,1.772,1.809,1.751,66.06K,0.00%
2023-05-14,1.739,1.772,1.826,1.77,94.46K,0.00%
2023-05-11,1.739,1.799,1.84,1.77,29.36K,0.00%
2023-05-10,1.739,1.769,1.799,1.769,134.55K,0.00%
2023-05-09,1.739,1.778,1.78,1.766,135.50K,0.00%
2023-05-08,1.739,1.75,1.77,1.74,119.20K,0.00%
2023-05-07,1.739,1.74,1.76,1.735,98.42K,0.00%
2023-05-03,1.739,1.712,1.77,1.712,22.60K,0.00%
2023-05-02,1.739,1.789,1.789,1.739,89.67K,0.00%
2023-05-01,1.739,1.8,1.815,1.722,262.46K,-3.07%
2023-04-30,1.794,1.86,1.89,1.781,2.57M,-2.29%
2023-04-27,1.836,1.813,1.87,1.8,256.11K,-5.85%
2023-04-26,1.95,1.875,1.889,1.85,64.21K,0.00%
2023-04-18,1.95,1.774,1.817,1.774,22.04K,0.00%
2023-04-13,1.95,1.88,1.923,1.88,10.00K,0.00%
2023-04-12,1.95,1.823,1.85,1.812,33.90K,0.00%
2023-04-11,1.95,1.859,1.859,1.859,3.03K,0.00%
2023-04-10,1.95,1.8,1.95,1.8,65.31K,0.00%
2023-04-09,1.95,1.82,1.82,1.82,15.00K,0.00%
2023-04-06,1.95,1.864,1.864,1.84,34.53K,0.00%
2023-04-05,1.95,1.9,1.9,1.864,16.02K,0.00%
2023-04-04,1.95,1.943,1.944,1.86,24.25K,0.00%
2023-04-03,1.95,1.8,1.85,1.8,8.46K,0.00%
2023-04-02,1.95,1.81,1.83,1.81,13.50K,0.00%
2023-03-30,1.95,1.806,1.849,1.768,24.55K,0.00%
2023-03-29,1.95,1.81,1.81,1.8,5.00K,0.00%
2023-03-28,1.95,1.803,1.803,1.803,1.49K,0.00%
2023-03-27,1.95,1.811,1.811,1.803,14.00K,0.00%
2023-03-26,1.95,1.827,1.86,1.827,8.50K,0.00%
2023-03-22,1.95,1.76,1.949,1.76,3.00K,0.00%
2023-03-21,1.95,1.878,1.95,1.878,90.00K,0.00%
2023-03-20,1.95,1.77,1.851,1.77,112.74K,0.00%
2023-03-19,1.95,1.699,1.701,1.62,122.78K,0.00%
2023-03-16,1.95,1.58,1.67,1.56,186.58K,0.00%
2023-03-15,1.95,1.95,1.95,1.57,34.22K,0.00%
2023-03-14,1.95,1.82,1.865,1.8,23.53K,0.00%
2023-03-13,1.95,1.88,1.9,1.723,82.47K,0.00%
2023-03-12,1.95,1.89,2.0,1.867,65.03K,0.00%
2023-03-09,1.95,1.92,1.969,1.9,21.93K,0.00%
2023-03-08,1.95,1.916,1.97,1.863,67.50K,0.00%
2023-03-07,1.95,1.941,1.997,1.913,23.00K,0.00%
2023-03-06,1.95,1.932,2.0,1.932,30.10K,0.00%
2023-03-05,1.95,2.0,2.0,2.0,6.43K,0.00%
2023-03-02,1.95,1.935,2.0,1.935,38.85K,0.00%
2023-03-01,1.95,1.95,2.0,1.932,41.44K,0.00%
2023-02-28,1.95,1.927,1.95,1.927,3.40K,0.00%
2023-02-27,1.95,1.99,1.99,1.95,61.06K,0.00%
2023-02-26,1.95,1.969,2.0,1.923,38.75K,0.00%
2023-02-23,1.95,1.91,1.999,1.91,52.03K,0.00%
2023-02-22,1.95,1.98,1.984,1.92,40.08K,0.00%
2023-02-21,1.95,1.921,1.969,1.92,37.13K,0.00%
2023-02-20,1.95,1.98,1.98,1.93,23.76K,0.00%
2023-02-19,1.95,1.95,1.99,1.911,93.23K,0.00%
2023-02-16,1.95,1.95,1.98,1.9,68.14K,0.00%
2023-02-15,1.95,1.93,1.99,1.9,109.10K,0.00%
2023-02-14,1.95,1.98,2.0,1.9,214.17K,-8.02%
2023-02-13,2.12,2.0,2.0,1.93,20.38K,0.00%
2023-02-12,2.12,2.0,2.0,1.92,4.94K,0.00%
2023-02-09,2.12,1.9,1.95,1.9,23.40K,0.00%
2023-02-08,2.12,1.9,1.95,1.88,49.85K,0.00%
2023-02-07,2.12,2.0,2.0,1.86,68.80K,0.00%
2023-02-06,2.12,1.95,1.95,1.9,26.86K,0.00%
2023-02-05,2.12,1.93,1.93,1.83,55.23K,0.00%
2023-02-02,2.12,1.96,1.99,1.91,62.87K,0.00%
2023-02-01,2.12,2.0,2.05,1.96,4.30K,0.00%
2023-01-31,2.12,2.02,2.02,1.99,44.10K,0.00%
2023-01-30,2.12,2.07,2.13,2.01,72.15K,0.00%
2023-01-29,2.12,2.08,2.16,2.05,82.20K,0.00%
2023-01-25,2.12,2.13,2.2,2.07,131.88K,0.00%
2023-01-24,2.12,2.22,2.26,2.07,156.44K,-6.61%
2023-01-23,2.27,2.24,2.31,2.18,397.30K,3.65%
2023-01-22,2.19,2.23,2.34,2.15,337.74K,-0.90%
2023-01-19,2.21,2.08,2.24,2.0,897.33K,9.95%
2023-01-18,2.01,2.04,2.05,1.95,174.77K,0.50%
2023-01-17,2.0,2.0,2.0,1.99,187.70K,0.00%
