Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,13.82,13.5,14.35,12.8,1.09M,2.22%
2023-12-10,13.52,14.98,15.0,13.52,1.95M,-12.15%
2023-12-07,15.39,14.88,16.05,12.55,2.01M,2.40%
2023-12-06,15.03,16.63,16.63,15.01,1.86M,-9.35%
2023-12-05,16.58,18.4,18.76,15.9,2.91M,6.01%
2023-12-04,15.64,14.89,15.64,14.0,1.02M,19.94%
2023-12-03,13.04,10.94,13.04,10.94,1.41M,19.96%
2023-11-30,10.87,10.55,10.89,10.4,311.31K,4.22%
2023-11-29,10.43,10.74,10.74,10.31,169.92K,-1.60%
2023-11-28,10.6,10.81,10.94,10.5,254.28K,-2.12%
2023-11-27,10.83,10.86,10.95,10.75,86.98K,-0.09%
2023-11-26,10.84,10.99,11.1,10.82,149.31K,-0.64%
2023-11-23,10.91,11.0,11.0,10.85,184.41K,1.11%
2023-11-22,10.79,10.9,10.98,10.72,261.71K,0.09%
2023-11-21,10.78,10.8,10.85,10.52,188.89K,-1.01%
2023-11-20,10.89,11.18,11.2,10.83,377.57K,-1.89%
2023-11-19,11.1,10.82,11.23,10.82,363.73K,4.03%
2023-11-16,10.67,10.75,10.75,10.65,139.24K,0.19%
2023-11-15,10.65,10.64,10.75,10.55,131.49K,0.09%
2023-11-14,10.64,10.6,10.75,10.52,120.57K,1.04%
2023-11-13,10.53,10.7,10.7,10.37,210.39K,-0.66%
2023-11-12,10.6,10.65,10.88,10.56,203.75K,0.38%
2023-11-09,10.56,10.7,10.8,10.51,242.62K,-1.22%
2023-11-08,10.69,10.46,11.0,10.46,349.45K,2.20%
2023-11-07,10.46,10.38,10.5,10.33,201.81K,1.65%
2023-11-06,10.29,10.45,10.56,10.23,104.21K,-1.06%
2023-11-05,10.4,10.48,10.48,10.25,215.17K,3.28%
2023-11-02,10.07,10.1,10.25,9.92,142.33K,1.31%
2023-11-01,9.94,10.12,10.3,9.9,194.00K,-1.78%
2023-10-31,10.12,10.33,10.52,10.0,193.53K,-3.16%
