Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,22.09,22.5,22.86,21.8,980.57K,-2.86%
2023-12-10,22.74,23.26,23.29,22.5,453.63K,-1.90%
2023-12-07,23.18,23.21,23.45,22.09,1.79M,-0.17%
2023-12-06,23.22,23.8,24.2,23.2,526.49K,-1.98%
2023-12-05,23.69,24.31,24.6,23.51,905.31K,-2.51%
2023-12-04,24.3,23.48,24.45,23.4,1.53M,3.45%
2023-12-03,23.49,22.8,23.6,22.25,1.75M,5.57%
2023-11-30,22.25,23.24,23.38,22.25,2.10M,-3.30%
2023-11-29,23.01,23.66,24.0,22.7,1.66M,-2.75%
2023-11-28,23.66,24.66,24.94,23.6,1.73M,-3.51%
2023-11-27,24.52,24.4,24.94,24.25,1.17M,0.57%
2023-11-26,24.38,24.68,24.9,24.27,506.84K,-0.53%
2023-11-23,24.51,25.01,25.2,24.47,989.48K,-1.96%
2023-11-22,25.0,24.0,25.1,23.8,2.09M,4.17%
2023-11-21,24.0,24.05,24.14,23.4,2.37M,-0.12%
2023-11-20,24.03,25.0,25.1,24.03,2.27M,-3.34%
2023-11-19,24.86,24.88,25.2,24.51,1.69M,1.80%
2023-11-16,24.42,24.89,25.35,24.42,1.91M,-0.37%
2023-11-15,24.51,24.2,25.15,24.14,3.66M,1.62%
2023-11-14,24.12,23.18,24.5,23.0,4.33M,5.05%
2023-11-13,22.96,23.0,23.46,22.61,1.40M,0.35%
2023-11-12,22.88,23.42,23.8,22.61,2.28M,-0.52%
2023-11-09,23.0,22.88,23.99,22.85,5.56M,1.77%
2023-11-08,22.6,22.1,23.27,22.1,3.16M,2.73%
2023-11-07,22.0,22.79,22.85,21.56,2.64M,-2.44%
2023-11-06,22.55,23.4,23.4,22.45,1.69M,-1.70%
2023-11-05,22.94,22.99,24.0,22.76,3.37M,2.18%
2023-11-02,22.45,22.5,23.36,22.17,2.17M,0.22%
2023-11-01,22.4,22.65,23.93,22.01,4.48M,-0.49%
2023-10-31,22.51,25.03,25.59,22.25,4.70M,-10.03%
2023-10-30,25.02,24.02,25.99,23.81,7.84M,4.91%
2023-10-29,23.85,25.31,26.3,23.52,7.02M,-5.54%
2023-10-26,25.25,24.79,27.69,23.7,10.54M,9.31%
2023-10-25,23.1,19.55,23.1,19.55,5.73M,20.00%
2023-10-24,19.25,17.03,20.0,17.02,5.31M,13.57%
2023-10-23,16.95,17.15,17.5,16.7,4.02M,-0.35%
2023-10-22,17.01,15.93,17.8,15.93,5.35M,8.14%
2023-10-19,15.73,15.4,16.5,15.3,5.31M,2.14%
2023-10-18,15.4,15.56,15.99,15.23,3.12M,-1.03%
2023-10-17,15.56,13.56,16.19,13.56,13.32M,15.26%
2023-10-16,13.5,13.07,13.5,13.06,2.71M,3.29%
2023-10-15,13.07,13.3,13.39,13.06,1.13M,-0.61%
2023-10-12,13.15,13.11,13.49,13.05,1.64M,0.31%
2023-10-11,13.11,13.21,13.39,13.0,1.43M,-0.68%
2023-10-10,13.2,12.6,13.5,12.41,2.06M,5.60%
2023-10-09,12.5,12.5,12.7,12.1,1.45M,-0.08%
2023-10-08,12.51,12.88,12.9,11.55,3.26M,-3.02%
2023-10-04,12.9,12.95,12.95,12.6,2.92M,-0.69%
2023-10-03,12.99,13.2,13.2,12.7,1.20M,-0.08%
2023-10-02,13.0,13.45,13.47,12.62,1.78M,-2.40%
2023-10-01,13.32,13.74,13.82,13.3,1.24M,-3.13%
2023-09-27,13.75,13.7,13.84,13.23,1.67M,0.88%
2023-09-26,13.63,13.93,14.01,13.55,3.05M,-2.36%
2023-09-25,13.96,14.18,14.3,13.9,2.18M,-0.29%
2023-09-24,14.0,13.69,14.4,13.31,3.76M,2.34%
2023-09-21,13.68,13.19,13.76,12.8,5.84M,6.13%
2023-09-20,12.89,13.07,13.64,12.62,4.74M,-0.85%
2023-09-19,13.0,13.36,13.74,13.0,4.42M,-2.62%
2023-09-18,13.35,13.79,13.83,13.25,2.56M,-1.84%
2023-09-17,13.6,13.37,14.15,13.25,9.24M,2.95%
2023-09-14,13.21,11.82,14.19,11.8,11.16M,11.67%
2023-09-13,11.83,11.5,11.85,11.37,2.72M,3.50%
2023-09-12,11.43,11.7,11.74,11.28,1.91M,-1.21%
2023-09-11,11.57,11.47,11.85,11.45,5.17M,1.49%
2023-09-10,11.4,11.49,11.58,11.25,2.11M,0.35%
2023-09-07,11.36,11.29,11.59,11.15,2.25M,1.25%
2023-09-06,11.22,11.45,11.47,11.05,1.74M,-1.92%
2023-09-05,11.44,11.4,11.88,11.33,6.68M,1.24%
2023-09-04,11.3,10.7,11.38,10.7,9.50M,5.02%
2023-09-03,10.76,10.92,10.96,10.74,1.82M,-1.28%
2023-08-31,10.9,10.77,10.95,10.7,5.90M,1.21%
2023-08-30,10.77,10.68,10.9,10.68,12.54M,0.84%
2023-08-29,10.68,10.63,10.85,10.56,3.61M,0.75%
2023-08-28,10.6,10.6,10.65,10.5,4.90M,0.00%
2023-08-27,10.6,10.3,10.68,10.3,3.70M,2.91%
2023-08-24,10.3,10.3,10.51,10.21,5.31M,0.00%
2023-08-23,10.3,10.15,10.35,10.1,4.48M,2.39%
2023-08-22,10.06,9.63,10.1,9.61,8.72M,4.47%
2023-08-21,9.63,9.62,9.7,9.5,1.17M,0.10%
2023-08-20,9.62,9.36,9.63,9.36,1.11M,3.33%
2023-08-17,9.31,9.68,9.68,9.25,1.71M,-3.62%
2023-08-16,9.66,9.65,9.75,9.61,597.65K,-0.31%
2023-08-15,9.69,9.58,9.7,9.42,1.40M,2.22%
2023-08-14,9.48,9.53,9.63,9.46,963.85K,-0.32%
2023-08-13,9.51,9.45,9.59,9.44,812.98K,0.96%
2023-08-10,9.42,9.47,9.52,9.4,459.02K,-0.53%
2023-08-09,9.47,9.53,9.63,9.41,980.73K,-0.42%
2023-08-08,9.51,9.39,9.63,9.3,2.26M,1.39%
2023-08-07,9.38,9.3,9.39,9.21,728.66K,0.86%
2023-08-06,9.3,9.07,9.35,9.07,1.15M,1.53%
2023-08-03,9.16,9.1,9.19,9.02,241.49K,0.66%
2023-08-02,9.1,9.05,9.17,9.05,879.57K,0.55%
2023-08-01,9.05,9.37,9.45,9.0,2.95M,-3.52%
2023-07-31,9.38,9.3,9.38,9.22,638.46K,0.86%
2023-07-30,9.3,8.95,9.4,8.95,1.28M,3.33%
2023-07-27,9.0,8.99,9.05,8.92,1.41M,0.90%
2023-07-26,8.92,9.04,9.1,8.91,388.96K,-1.33%
2023-07-25,9.04,9.13,9.25,9.02,638.81K,-0.99%
2023-07-24,9.13,9.31,9.4,9.12,610.78K,-2.04%
2023-07-19,9.32,9.32,9.46,9.28,1.93M,0.11%
2023-07-18,9.31,9.25,9.32,9.2,1.11M,0.65%
2023-07-17,9.25,9.1,9.27,9.1,1.54M,1.65%
2023-07-16,9.1,9.1,9.11,9.01,1.01M,1.00%
