Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,24.01,23.88,24.58,23.5,28.18K,2.17%
2023-12-06,23.5,22.3,23.5,22.3,25.31K,5.38%
2023-12-04,22.3,20.21,22.3,20.21,15.50K,1.36%
2023-11-29,22.0,22.78,22.78,22.0,38.58K,-4.35%
2023-11-27,23.0,22.0,23.97,22.0,27.78K,0.88%
2023-11-22,22.8,23.86,23.86,22.75,39.14K,-3.18%
2023-11-20,23.55,25.0,25.0,23.01,34.49K,-3.88%
2023-11-15,24.5,22.94,24.67,22.5,42.55K,-0.81%
2023-11-13,24.7,27.9,27.9,23.52,29.60K,-3.14%
2023-11-08,25.5,26.01,27.1,25.5,32.63K,-1.92%
2023-11-06,26.0,26.0,26.8,22.02,63.76K,4.00%
2023-11-01,25.0,24.5,25.5,24.5,24.82K,-5.70%
2023-10-30,26.51,27.96,29.97,26.01,23.55K,-1.81%
2023-10-25,27.0,23.7,28.0,23.55,41.44K,13.92%
2023-10-23,23.7,23.0,23.7,21.0,52.76K,0.42%
2023-10-18,23.6,29.0,29.0,23.0,74.08K,-13.30%
2023-10-16,27.22,34.0,34.0,27.17,39.02K,-9.27%
2023-10-11,30.0,32.0,33.0,30.0,51.16K,-4.76%
2023-10-09,31.5,29.98,32.49,29.98,41.27K,5.70%
2023-10-04,29.8,29.9,32.0,28.1,34.69K,3.26%
2023-10-02,28.86,24.9,28.99,24.9,32.20K,17.84%
2023-09-27,24.49,23.45,24.49,21.6,49.76K,4.43%
2023-09-25,23.45,23.0,23.47,22.11,32.34K,6.54%
2023-09-20,22.01,23.0,23.0,21.11,47.96K,2.28%
2023-09-18,21.52,22.1,22.45,21.52,44.18K,-2.18%
2023-09-13,22.0,22.0,22.17,21.21,57.40K,1.90%
2023-09-11,21.59,21.5,22.5,19.0,76.88K,4.81%
2023-09-06,20.6,21.99,21.99,19.5,86.99K,2.90%
2023-09-04,20.02,23.0,23.0,20.02,39.92K,-8.79%
2023-08-30,21.95,18.65,22.1,18.6,161.14K,18.65%
2023-08-28,18.5,15.5,18.5,15.5,107.81K,19.82%
2023-08-23,15.44,16.0,16.0,15.06,45.03K,2.93%
2023-08-21,15.0,16.01,16.01,14.75,23.87K,-6.25%
2023-08-16,16.0,16.49,17.98,16.0,52.21K,0.00%
2023-08-14,16.0,13.0,16.0,13.0,81.82K,17.13%
2023-08-09,13.66,13.4,14.0,13.0,22.14K,5.73%
2023-08-07,12.92,12.5,13.5,12.5,9.84K,-0.62%
2023-08-02,13.0,14.22,14.22,12.6,13.30K,-0.38%
2023-07-31,13.05,12.52,13.05,12.51,9.85K,3.98%
2023-07-26,12.55,12.1,13.51,12.1,18.20K,-7.04%
2023-07-24,13.5,13.7,13.99,13.5,14.82K,0.00%
2023-07-19,13.5,13.2,13.7,13.2,6.23K,1.12%
2023-07-17,13.35,12.99,13.67,12.9,66.77K,3.25%
2023-07-12,12.93,13.0,13.0,12.5,4.74K,2.62%
2023-07-10,12.6,12.98,13.1,12.0,16.10K,-3.08%
2023-07-05,13.0,12.75,13.5,12.05,35.50K,4.92%
2023-06-26,12.39,12.2,12.9,11.9,4.51K,0.98%
2023-06-21,12.27,12.25,12.5,12.01,15.95K,-3.08%
2023-06-19,12.66,12.35,13.27,12.25,9.74K,1.20%
2023-06-14,12.51,12.35,12.97,12.35,9.06K,-2.34%
2023-06-12,12.81,13.05,13.1,12.8,18.51K,-4.12%
2023-06-07,13.36,13.0,14.3,13.0,14.17K,1.21%
2023-06-05,13.2,14.0,14.4,13.0,14.12K,-5.71%
2023-05-31,14.0,14.99,14.99,13.0,49.32K,0.00%
2023-05-29,14.0,13.25,14.2,13.0,42.08K,5.66%
2023-05-24,13.25,12.1,13.87,12.0,12.56K,-4.68%
2023-05-22,13.9,14.01,14.5,13.05,39.15K,-7.33%
2023-05-17,15.0,15.01,15.01,14.4,33.04K,0.00%
2023-05-15,15.0,15.5,15.65,14.5,20.74K,-3.23%
2023-05-10,15.5,15.99,15.99,15.5,42.02K,-2.64%
2023-05-08,15.92,16.46,16.46,15.5,28.50K,1.86%
2023-05-03,15.63,16.0,16.05,15.4,46.19K,-0.57%
2023-05-01,15.72,16.5,16.5,14.32,50.44K,-1.87%
2023-04-26,16.02,16.75,16.75,15.89,53.83K,0.25%
2023-04-19,15.98,15.34,16.8,15.34,99.27K,4.31%
2023-04-12,15.32,15.25,15.5,15.1,42.58K,1.52%
2023-04-10,15.09,15.51,15.56,15.0,56.74K,-5.45%
2023-04-05,15.96,16.5,16.5,15.5,62.00K,-0.13%
2023-04-03,15.98,15.8,16.91,15.8,90.91K,-1.54%
2023-03-29,16.23,16.1,16.8,15.8,106.17K,-1.40%
2023-03-27,16.46,17.0,17.0,16.1,55.24K,-1.14%
2023-03-22,16.65,16.6,17.0,16.43,31.82K,-1.54%
2023-03-20,16.91,17.98,17.98,16.6,40.23K,-6.16%
2023-03-15,18.02,18.0,18.49,17.67,70.99K,-0.11%
2023-03-13,18.04,18.0,18.65,17.27,145.18K,6.62%
2023-03-08,16.92,17.0,17.3,16.76,36.15K,-0.94%
2023-03-06,17.08,18.39,18.39,17.0,26.29K,-3.34%
2023-03-01,17.67,18.0,18.99,17.49,37.17K,-1.89%
2023-02-27,18.01,18.5,18.5,17.88,36.57K,0.78%
2023-02-22,17.87,18.0,18.5,17.3,56.53K,1.48%
2023-02-20,17.61,17.45,18.0,16.8,36.42K,1.32%
2023-02-15,17.38,17.5,18.0,17.0,31.10K,-4.82%
