Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,0.75,0.75,0.75,0.75,,0.00%
2023-06-12,0.75,0.75,0.75,0.75,,0.00%
2023-02-12,0.75,0.71,0.71,0.71,10.03K,0.00%
2023-02-09,0.75,0.71,0.71,0.71,35.12K,0.00%
2023-02-08,0.75,0.71,0.71,0.71,43.97K,0.00%
2023-02-07,0.75,0.71,0.76,0.71,2.33K,0.00%
2023-02-06,0.75,0.75,0.75,0.75,0.00K,0.00%
2023-02-05,0.75,0.74,0.8,0.74,442.15K,-3.72%
2023-02-02,0.78,0.74,0.74,0.74,0.02K,0.00%
2023-01-31,0.78,0.74,0.74,0.74,0.11K,0.00%
2023-01-30,0.78,0.74,0.74,0.74,0.24K,0.00%
2023-01-29,0.78,0.8,0.8,0.74,60.71K,0.00%
2023-01-25,0.78,0.73,0.8,0.73,519.06K,1.04%
2023-01-24,0.77,0.77,0.81,0.73,385.56K,0.00%
2023-01-23,0.77,0.7,0.77,0.7,200.37K,4.75%
2023-01-22,0.74,0.7,0.74,0.67,216.82K,4.84%
2023-01-19,0.7,0.7,0.74,0.67,3.14K,0.00%
2023-01-18,0.7,0.7,0.75,0.7,336.49K,-4.74%
2023-01-17,0.74,0.7,0.74,0.7,132.96K,0.00%
2023-01-16,0.74,0.7,0.7,0.7,61.48K,0.00%
2023-01-15,0.74,0.74,0.74,0.74,331.22K,-4.90%
2023-01-12,0.78,0.74,0.74,0.74,60.00K,0.00%
2023-01-11,0.78,0.8,0.8,0.74,72.64K,0.00%
2023-01-10,0.78,0.78,0.78,0.78,0.50K,0.00%
2023-01-09,0.78,0.74,0.8,0.74,51.80K,0.00%
2023-01-05,0.78,0.78,0.8,0.74,539.74K,0.00%
2023-01-04,0.78,0.81,0.81,0.78,212.92K,-4.76%
2023-01-03,0.82,0.77,0.84,0.77,575.34K,1.61%
2023-01-02,0.81,0.8,0.81,0.77,111.01K,0.00%
2022-12-29,0.81,0.8,0.81,0.77,108.49K,0.00%
2022-12-28,0.81,0.81,0.81,0.77,101.36K,0.00%
2022-12-27,0.81,0.77,0.81,0.77,110.36K,0.00%
2022-12-26,0.81,0.83,0.83,0.79,212.40K,0.00%
2022-12-25,0.8,0.84,0.84,0.76,452.46K,0.00%
2022-12-22,0.8,0.79,0.83,0.75,406.85K,1.39%
2022-12-21,0.79,0.75,0.79,0.75,105.03K,0.00%
2022-12-20,0.79,0.73,0.8,0.73,201.50K,3.81%
2022-12-19,0.76,0.75,0.82,0.75,495.82K,-2.31%
2022-12-18,0.78,0.76,0.82,0.76,357.27K,0.00%
2022-12-15,0.78,0.75,0.78,0.73,1.24M,4.70%
2022-12-14,0.75,0.71,0.75,0.69,1.09M,4.34%
2022-12-13,0.71,0.71,0.72,0.71,236.00K,3.03%
2022-12-12,0.69,0.69,0.7,0.66,596.49K,4.05%
2022-12-11,0.67,0.63,0.69,0.63,504.43K,0.00%
2022-12-08,0.67,0.68,0.68,0.67,228.59K,-4.99%
2022-12-07,0.7,0.7,0.7,0.69,67.00K,0.00%
2022-12-06,0.7,0.72,0.72,0.69,150.06K,0.00%
2022-12-05,0.7,0.64,0.7,0.64,1.29M,4.78%
2022-12-04,0.67,0.66,0.69,0.64,201.05K,0.00%
2022-12-01,0.67,0.64,0.69,0.64,1.15M,0.00%
2022-11-30,0.67,0.66,0.69,0.65,611.41K,-2.04%
2022-11-29,0.69,0.68,0.68,0.65,26.91K,0.00%
2022-11-28,0.69,0.65,0.69,0.65,16.11K,0.00%
2022-11-27,0.69,0.69,0.69,0.65,7.00K,0.00%
2022-11-24,0.69,0.67,0.69,0.65,21.80K,0.00%
2022-11-23,0.69,0.65,0.69,0.65,1.68M,1.03%
2022-11-22,0.68,0.67,0.71,0.67,265.32K,-2.86%
2022-11-21,0.7,0.7,0.73,0.67,1.06M,0.87%
2022-11-20,0.69,0.67,0.7,0.64,532.01K,3.59%
2022-11-17,0.67,0.62,0.68,0.62,1.23M,3.40%
2022-11-16,0.65,0.67,0.67,0.64,686.95K,-3.43%
2022-11-15,0.67,0.67,0.67,0.64,37.15K,0.00%
2022-11-14,0.67,0.67,0.67,0.67,469.70K,-4.96%
2022-11-13,0.7,0.67,0.7,0.67,158.00K,0.00%
2022-11-10,0.7,0.67,0.67,0.67,1.32K,0.00%
2022-11-08,0.7,0.67,0.67,0.67,1.50K,0.00%
2022-11-07,0.7,0.67,0.67,0.67,1.10K,0.00%
