Date,Price,Open,High,Low,Vol.,Change %
2023-12-10,0.03,0.03,0.03,0.03,2.40K,0.00%
2023-12-07,0.03,0.029,0.029,0.029,44.90K,0.00%
2023-12-06,0.03,0.03,0.03,0.03,1.15K,0.00%
2023-12-04,0.03,0.029,0.029,0.029,5.57K,0.00%
2023-12-03,0.03,0.029,0.029,0.029,38.69K,0.00%
2023-11-28,0.03,0.03,0.03,0.03,7.30K,0.00%
2023-11-27,0.03,0.03,0.03,0.03,13.19K,0.00%
2023-11-26,0.03,0.03,0.03,0.03,5.00K,0.00%
2023-11-22,0.03,0.03,0.03,0.03,31.08K,0.00%
2023-11-21,0.03,0.03,0.03,0.03,16.79K,0.00%
2023-11-20,0.03,0.03,0.03,0.03,28.00K,0.00%
2023-11-19,0.03,0.03,0.031,0.03,87.19K,0.00%
2023-11-16,0.03,0.03,0.03,0.03,42.00K,0.00%
2023-11-15,0.03,0.03,0.032,0.03,1.48K,0.00%
2023-11-14,0.03,0.03,0.031,0.03,15.25K,0.00%
2023-11-12,0.03,0.031,0.031,0.03,1.89K,0.00%
2023-11-09,0.03,0.031,0.031,0.031,3.55K,0.00%
2023-11-07,0.03,0.031,0.031,0.03,7.07K,0.00%
2023-11-06,0.03,0.03,0.031,0.03,32.87K,0.00%
2023-11-05,0.03,0.031,0.032,0.03,10.41K,0.00%
2023-11-02,0.03,0.031,0.031,0.03,13.80K,0.00%
2023-11-01,0.03,0.03,0.03,0.03,1.20K,0.00%
2023-10-30,0.03,0.031,0.031,0.029,409.64K,-9.09%
2023-10-29,0.033,0.031,0.032,0.031,11.00K,0.00%
2023-10-23,0.033,0.033,0.033,0.031,85.52K,0.00%
2023-10-18,0.033,0.032,0.033,0.031,91.72K,0.00%
2023-10-16,0.033,0.032,0.032,0.032,2.66K,0.00%
2023-10-12,0.033,0.031,0.033,0.031,12.73K,0.00%
2023-10-11,0.033,0.033,0.033,0.033,10.35K,0.00%
2023-10-09,0.033,0.033,0.033,0.033,0.13K,0.00%
2023-10-08,0.033,0.032,0.032,0.031,47.40K,0.00%
2023-10-04,0.033,0.034,0.034,0.031,2.00K,0.00%
2023-10-03,0.033,0.033,0.033,0.032,3.36K,0.00%
2023-10-02,0.033,0.032,0.032,0.032,4.57K,0.00%
2023-10-01,0.033,0.033,0.034,0.032,62.75K,0.00%
2023-09-27,0.033,0.035,0.035,0.033,49.63K,0.00%
2023-09-26,0.033,0.034,0.035,0.033,163.72K,0.00%
2023-09-25,0.033,0.032,0.034,0.032,530.02K,10.00%
2023-09-24,0.03,0.03,0.032,0.03,188.73K,0.00%
2023-09-21,0.03,0.03,0.031,0.029,20.11K,0.00%
2023-09-20,0.03,0.031,0.031,0.031,20.90K,0.00%
2023-09-19,0.03,0.03,0.031,0.03,37.40K,0.00%
