Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.869,0.869,0.869,0.869,1.22M,-4.92%
2023-12-10,0.914,0.95,0.99,0.83,12.31M,-11.09%
2023-12-07,1.028,1.08,1.09,0.9,3.42M,-4.81%
2023-12-06,1.08,1.082,1.1,1.07,3.03M,-0.18%
2023-12-05,1.082,1.101,1.12,1.075,2.10M,-0.73%
2023-12-04,1.09,1.1,1.11,1.081,1.65M,0.18%
2023-12-03,1.088,1.12,1.13,1.08,2.44M,-1.09%
2023-11-30,1.1,1.09,1.14,1.09,5.87M,1.29%
2023-11-29,1.086,1.039,1.09,1.03,4.19M,4.52%
2023-11-28,1.039,1.06,1.06,1.03,2.03M,-0.76%
2023-11-27,1.047,1.055,1.067,1.01,2.39M,-0.76%
2023-11-26,1.055,1.067,1.075,1.05,2.60M,0.09%
2023-11-23,1.054,1.065,1.07,1.045,3.64M,0.19%
2023-11-22,1.052,1.041,1.063,1.041,1.88M,0.96%
2023-11-21,1.042,1.049,1.059,1.04,796.50K,-1.04%
2023-11-20,1.053,1.069,1.08,1.035,2.51M,-0.75%
2023-11-19,1.061,1.066,1.083,1.051,1.93M,1.05%
2023-11-16,1.05,1.06,1.07,1.044,3.01M,0.10%
2023-11-15,1.049,1.075,1.079,1.04,2.16M,-2.05%
2023-11-14,1.071,1.07,1.1,1.03,3.27M,1.81%
2023-11-13,1.052,1.046,1.075,1.03,2.79M,0.57%
2023-11-12,1.046,1.1,1.109,1.011,3.01M,-3.51%
2023-11-09,1.084,1.125,1.13,1.066,3.84M,-3.64%
2023-11-08,1.125,1.176,1.196,1.05,15.94M,12.84%
2023-11-07,0.997,1.044,1.045,0.993,8.16M,-4.68%
2023-11-06,1.046,0.916,1.05,0.916,13.89M,15.96%
2023-11-05,0.902,0.889,0.91,0.877,1.32M,4.28%
2023-11-02,0.865,0.89,0.898,0.855,1.38M,-0.80%
2023-11-01,0.872,0.86,0.92,0.86,2.27M,0.11%
2023-10-31,0.871,0.903,0.903,0.862,558.05K,-2.35%
2023-10-30,0.892,0.915,0.915,0.882,1.16M,-0.56%
2023-10-29,0.897,0.857,0.919,0.857,2.71M,3.34%
2023-10-26,0.868,0.89,0.89,0.855,1.07M,-0.23%
2023-10-25,0.87,0.878,0.905,0.858,2.70M,-0.11%
2023-10-24,0.871,0.81,0.875,0.81,3.19M,7.00%
2023-10-23,0.814,0.82,0.82,0.81,539.18K,-0.12%
2023-10-22,0.815,0.793,0.826,0.793,603.98K,2.00%
2023-10-19,0.799,0.79,0.8,0.79,319.75K,0.00%
2023-10-18,0.799,0.805,0.81,0.79,871.78K,-0.99%
2023-10-17,0.807,0.807,0.81,0.789,687.72K,0.87%
2023-10-16,0.8,0.8,0.81,0.793,498.33K,-0.74%
2023-10-15,0.806,0.789,0.81,0.789,278.13K,0.00%
2023-10-12,0.806,0.792,0.81,0.792,578.62K,3.07%
2023-10-11,0.782,0.81,0.812,0.79,295.89K,0.00%
2023-10-10,0.782,0.817,0.817,0.785,306.13K,0.00%
2023-10-09,0.782,0.78,0.8,0.78,294.23K,0.00%
2023-10-08,0.782,0.81,0.83,0.76,849.17K,-3.58%
2023-10-04,0.811,0.81,0.825,0.804,629.43K,0.37%
2023-10-03,0.808,0.805,0.838,0.805,173.38K,0.00%
2023-10-02,0.808,0.825,0.85,0.801,965.34K,-2.06%
2023-10-01,0.825,0.84,0.84,0.82,431.67K,0.00%
2023-09-27,0.825,0.83,0.847,0.821,460.86K,-0.72%
2023-09-26,0.831,0.85,0.85,0.821,770.17K,-0.95%
2023-09-25,0.839,0.86,0.86,0.831,935.21K,-1.76%
2023-09-24,0.854,0.888,0.9,0.84,2.18M,-2.73%
2023-09-21,0.878,0.889,0.909,0.868,526.10K,-1.01%
2023-09-20,0.887,0.927,0.927,0.88,1.29M,-2.85%
2023-09-19,0.913,0.905,0.93,0.905,1.99M,1.90%
2023-09-18,0.896,0.895,0.93,0.88,2.93M,1.70%
2023-09-17,0.881,0.87,0.897,0.87,1.28M,1.38%
2023-09-14,0.869,0.892,0.892,0.868,1.46M,-1.03%
2023-09-13,0.878,0.873,0.89,0.87,263.48K,0.00%
2023-09-12,0.878,0.882,0.897,0.871,460.88K,-1.68%
2023-09-11,0.893,0.89,0.901,0.881,112.85K,0.00%
2023-09-10,0.893,0.901,0.912,0.89,317.48K,0.00%
2023-09-07,0.893,0.9,0.909,0.89,416.66K,-0.67%
2023-09-06,0.899,0.927,0.927,0.89,679.56K,-0.99%
2023-09-05,0.908,0.91,0.931,0.902,796.45K,-1.09%
2023-09-04,0.918,0.911,0.92,0.903,723.56K,0.77%
2023-09-03,0.911,0.938,0.938,0.901,1.01M,0.44%
2023-08-31,0.907,0.93,0.957,0.905,1.40M,-2.37%
2023-08-30,0.929,0.89,0.97,0.88,6.87M,5.21%
2023-08-29,0.883,0.899,0.899,0.876,410.51K,0.23%
2023-08-28,0.881,0.89,0.925,0.873,1.55M,0.00%
2023-08-27,0.881,0.86,0.89,0.86,549.22K,2.44%
2023-08-24,0.86,0.88,0.896,0.85,769.92K,-2.27%
2023-08-23,0.88,0.907,0.929,0.856,2.70M,-2.33%
2023-08-22,0.901,0.844,0.905,0.835,2.97M,5.26%
2023-08-21,0.856,0.83,0.844,0.83,110.89K,0.00%
2023-08-20,0.856,0.83,0.844,0.83,247.55K,0.00%
2023-08-17,0.856,0.843,0.852,0.83,85.91K,0.00%
2023-08-16,0.856,0.84,0.85,0.836,305.67K,0.00%
2023-08-15,0.856,0.834,0.849,0.833,294.54K,0.00%
2023-08-14,0.856,0.854,0.854,0.84,134.04K,0.00%
2023-08-13,0.856,0.841,0.854,0.82,267.98K,0.00%
2023-08-10,0.856,0.845,0.854,0.844,257.08K,0.00%
2023-08-09,0.856,0.849,0.869,0.844,370.30K,0.47%
2023-08-08,0.852,0.831,0.86,0.823,996.28K,1.79%
2023-08-07,0.837,0.84,0.846,0.83,406.83K,2.32%
2023-08-06,0.818,0.825,0.84,0.815,285.00K,0.00%
2023-08-03,0.818,0.822,0.836,0.816,451.93K,-2.27%
2023-08-02,0.837,0.833,0.869,0.813,749.35K,-1.41%
2023-08-01,0.849,0.85,0.85,0.83,97.62K,0.00%
2023-07-31,0.849,0.86,0.868,0.825,399.93K,-1.16%
