Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,141.07,141.1,141.12,141.1,0.29K,-0.13%
2023-12-10,141.25,142.95,142.95,141.17,0.30K,0.13%
2023-12-07,141.07,141.05,141.16,141.0,0.26K,0.00%
2023-12-06,141.07,143.0,143.0,141.06,0.20K,0.00%
2023-12-05,141.07,143.8,143.8,143.0,0.22K,0.00%
2023-12-04,141.07,142.64,143.5,142.64,0.14K,0.00%
2023-12-03,141.07,142.61,142.75,142.6,0.18K,0.00%
2023-11-30,141.07,142.5,147.0,141.02,0.64K,0.00%
2023-11-29,141.07,143.0,144.0,142.0,0.93K,0.00%
2023-11-28,141.07,141.0,144.0,141.0,0.48K,0.00%
2023-11-27,141.07,143.0,143.94,140.0,2.15K,-1.47%
2023-11-26,143.17,145.0,145.0,141.25,2.24K,-0.92%
2023-11-23,144.5,147.7,147.7,143.03,0.81K,0.00%
2023-11-22,144.5,142.5,153.0,137.51,4.10K,-6.56%
2023-11-21,154.65,132.08,145.19,132.08,1.57K,0.00%
2023-11-20,154.65,153.0,154.94,153.0,6.56K,1.72%
2023-11-19,152.04,153.24,153.24,150.0,2.43K,0.36%
2023-11-16,151.49,152.25,154.2,152.0,1.27K,0.00%
2023-11-15,151.49,154.49,154.5,152.1,0.74K,0.00%
2023-11-14,151.49,154.9,154.9,151.26,0.15K,0.00%
2023-11-13,151.49,152.98,154.97,151.15,0.69K,0.00%
2023-11-12,151.49,151.85,153.88,150.0,2.46K,-0.22%
2023-11-09,151.82,151.0,154.98,151.0,0.81K,0.00%
2023-11-08,151.82,147.9,156.0,147.9,2.52K,16.72%
2023-11-07,130.07,147.92,148.0,147.2,1.30K,0.00%
2023-11-06,130.07,146.82,147.9,146.0,1.40K,0.00%
2023-11-05,130.07,146.0,146.46,140.22,0.51K,0.00%
2023-11-02,130.07,147.84,147.95,140.16,1.03K,0.00%
2023-11-01,130.07,145.0,147.84,135.96,0.35K,0.00%
2023-10-31,130.07,145.0,147.79,145.0,0.45K,0.00%
2023-10-30,130.07,146.0,147.95,142.6,0.87K,0.00%
2023-10-29,130.07,146.5,146.99,142.01,0.37K,0.00%
2023-10-26,130.07,146.99,146.99,142.56,0.24K,0.00%
2023-10-25,130.07,139.4,147.0,139.4,1.10K,0.00%
2023-10-24,130.07,142.87,142.88,138.77,0.36K,0.00%
2023-10-23,130.07,142.89,142.89,138.5,0.19K,0.00%
2023-10-22,130.07,139.92,142.95,135.12,0.87K,0.00%
2023-10-19,130.07,135.1,138.0,135.01,0.42K,0.00%
2023-10-18,130.07,134.5,137.97,134.5,0.36K,0.00%
2023-10-17,130.07,135.0,135.0,133.82,0.28K,0.00%
2023-10-16,130.07,134.89,136.0,133.2,0.87K,0.00%
2023-10-15,130.07,133.9,134.89,133.11,0.73K,0.00%
2023-10-12,130.07,133.7,133.9,133.11,0.38K,0.00%
2023-10-11,130.07,133.9,133.9,130.1,0.20K,0.00%
2023-10-10,130.07,132.85,133.0,132.85,0.40K,0.00%
2023-10-09,130.07,130.11,134.5,130.0,0.88K,0.00%
2023-10-08,130.07,135.0,135.0,130.0,1.30K,0.00%
2023-10-04,130.07,136.4,136.4,130.0,5.10K,0.05%
2023-10-03,130.01,135.93,136.0,131.51,0.69K,0.00%
2023-10-02,130.01,136.5,136.98,126.03,5.62K,-0.05%
2023-10-01,130.08,131.5,139.54,130.0,6.89K,-0.85%
2023-09-27,131.2,137.82,145.9,130.0,5.50K,-2.81%
2023-09-26,135.0,138.22,138.5,137.82,1.92K,0.00%
2023-09-25,135.0,140.0,147.0,135.06,0.08K,0.00%
2023-09-24,135.0,139.0,140.0,135.0,1.17K,0.00%
2023-09-21,135.0,135.0,137.0,134.99,3.60K,-0.01%
2023-09-20,135.02,135.0,135.0,134.0,1.07K,0.00%
2023-09-19,135.02,133.04,137.0,133.03,2.42K,1.54%
2023-09-18,132.97,135.81,135.81,133.11,1.08K,0.00%
2023-09-17,132.97,135.89,135.89,135.0,1.15K,0.00%
2023-09-14,132.97,133.0,135.0,133.0,0.91K,0.00%
2023-09-13,132.97,135.99,136.43,132.5,0.09K,0.00%
2023-09-11,132.97,135.0,135.0,130.5,0.17K,0.00%
2023-09-10,132.97,132.97,134.99,132.97,1.05K,0.00%
2023-09-07,132.97,133.01,133.5,132.51,4.08K,7.25%
2023-09-06,123.98,135.0,135.0,133.0,0.22K,0.00%
2023-09-05,123.98,135.0,136.0,135.0,0.08K,0.00%
2023-09-03,123.98,135.75,135.75,135.75,0.05K,0.00%
2023-08-31,123.98,135.75,135.75,135.75,0.03K,0.00%
2023-08-30,123.98,132.5,135.8,132.02,0.10K,0.00%
2023-08-29,123.98,131.72,135.79,131.72,0.12K,0.00%
2023-08-28,123.98,135.8,135.8,135.79,0.02K,0.00%
2023-08-27,123.98,130.11,135.8,130.11,0.22K,0.00%
2023-08-24,123.98,135.8,135.8,135.8,0.00K,0.00%
2023-08-20,123.98,133.0,136.5,133.0,0.10K,0.00%
2023-08-17,123.98,128.64,133.99,128.52,0.20K,0.00%
2023-08-15,123.98,134.0,134.0,134.0,0.00K,0.00%
2023-08-14,123.98,126.02,133.0,126.02,0.20K,0.00%
2023-08-13,123.98,125.26,132.58,125.0,0.75K,0.00%
2023-08-10,123.98,125.0,132.75,125.0,0.01K,0.00%
2023-08-08,123.98,132.99,132.99,124.0,0.32K,0.00%
2023-08-07,123.98,129.31,129.31,129.31,0.01K,0.00%
2023-08-06,123.98,129.22,134.0,129.22,0.01K,0.00%
2023-08-03,123.98,129.23,129.23,129.22,0.03K,0.00%
2023-07-31,123.98,132.48,132.5,131.15,0.17K,0.00%
2023-07-30,123.98,127.1,127.1,127.1,0.02K,0.00%
2023-07-27,123.98,126.02,126.02,126.02,0.01K,0.00%
2023-07-26,123.98,130.0,130.0,126.01,0.07K,0.00%
2023-07-25,123.98,130.0,130.0,127.0,0.09K,0.00%
2023-07-24,123.98,132.98,132.99,132.98,0.08K,0.00%
2023-07-19,123.98,124.01,124.01,124.01,0.00K,0.00%
2023-07-18,123.98,124.5,124.5,123.28,0.06K,0.00%
2023-07-16,123.98,121.5,133.98,121.5,0.11K,0.00%
2023-07-12,123.98,123.8,138.91,123.8,0.12K,0.00%
2023-07-11,123.98,120.5,120.5,120.0,0.20K,0.00%
2023-07-10,123.98,128.0,143.9,100.0,0.70K,0.00%
2023-07-06,123.98,127.5,128.0,127.5,0.04K,0.00%
2023-07-05,123.98,127.0,127.0,126.5,0.50K,0.00%
2023-07-04,123.98,134.86,147.99,126.52,1.30K,0.00%
2023-06-26,123.98,132.01,133.99,130.04,0.05K,0.00%
2023-06-25,123.98,134.0,134.0,132.01,0.01K,0.00%
2023-06-20,123.98,131.47,132.0,131.47,0.06K,0.00%
2023-06-18,123.98,134.86,134.86,131.35,0.06K,0.00%
2023-06-15,123.98,132.5,132.5,132.5,0.16K,0.00%
2023-06-14,123.98,134.98,134.98,131.31,0.07K,0.00%
2023-06-13,123.98,131.31,131.31,131.31,0.00K,-5.37%
2023-06-12,131.02,131.02,131.02,131.02,,5.68%
2023-06-11,123.98,130.61,131.01,130.61,0.02K,0.00%
2023-06-08,123.98,130.75,130.75,130.56,0.05K,0.00%
2023-06-07,123.98,131.0,131.0,131.0,0.40K,0.00%
2023-06-06,123.98,130.7,130.71,130.7,0.02K,0.00%
2023-06-04,123.98,130.15,130.18,130.15,0.05K,0.00%
2023-06-01,123.98,138.0,138.9,128.05,0.18K,0.00%
2023-05-31,123.98,138.99,138.99,129.25,0.22K,0.00%
2023-05-30,123.98,130.26,130.26,130.26,0.00K,0.00%
2023-05-29,123.98,130.21,139.89,130.21,0.49K,0.00%
2023-05-28,123.98,133.0,140.87,129.31,0.41K,0.00%
2023-05-25,123.98,133.0,133.0,129.04,0.08K,0.00%
2023-05-24,123.98,130.0,133.0,130.0,0.06K,0.00%
2023-05-23,123.98,128.56,135.0,128.56,0.04K,0.00%
2023-05-22,123.98,128.2,128.5,128.03,0.03K,0.00%
2023-05-21,123.98,143.0,143.0,128.0,1.02K,0.00%
2023-05-18,123.98,143.5,143.98,128.03,0.27K,0.00%
