Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.767,0.789,0.789,0.76,2.97M,-2.91%
2023-12-10,0.79,0.8,0.8,0.771,3.86M,0.13%
2023-12-07,0.789,0.787,0.797,0.751,3.78M,0.25%
2023-12-06,0.787,0.81,0.814,0.78,3.86M,-2.36%
2023-12-05,0.806,0.821,0.827,0.804,4.53M,-1.83%
2023-12-04,0.821,0.825,0.83,0.816,1.96M,1.11%
2023-12-03,0.812,0.82,0.835,0.806,1.89M,0.74%
2023-11-30,0.806,0.825,0.84,0.801,5.04M,-1.95%
2023-11-29,0.822,0.805,0.858,0.795,9.28M,3.27%
2023-11-28,0.796,0.796,0.806,0.78,4.57M,1.02%
2023-11-27,0.788,0.771,0.81,0.77,3.88M,3.28%
2023-11-26,0.763,0.768,0.778,0.76,2.45M,-0.52%
2023-11-23,0.767,0.78,0.785,0.763,3.67M,-0.90%
2023-11-22,0.774,0.78,0.799,0.76,8.25M,0.78%
2023-11-21,0.768,0.708,0.77,0.7,12.48M,9.71%
2023-11-20,0.7,0.719,0.723,0.7,2.37M,-2.10%
2023-11-19,0.715,0.72,0.729,0.713,1.87M,-0.14%
2023-11-16,0.716,0.711,0.732,0.711,3.76M,0.56%
2023-11-15,0.712,0.718,0.727,0.71,3.79M,-0.97%
2023-11-14,0.719,0.715,0.736,0.712,6.87M,1.27%
2023-11-13,0.71,0.703,0.732,0.7,12.49M,1.72%
2023-11-12,0.698,0.69,0.72,0.69,17.38M,2.95%
2023-11-09,0.678,0.67,0.686,0.67,7.00M,1.19%
2023-11-08,0.67,0.675,0.688,0.666,6.61M,-0.59%
2023-11-07,0.674,0.66,0.677,0.66,6.88M,2.43%
2023-11-06,0.658,0.649,0.665,0.645,4.07M,2.65%
2023-11-05,0.641,0.647,0.65,0.64,2.97M,-0.31%
2023-11-02,0.643,0.637,0.65,0.637,974.35K,1.10%
2023-11-01,0.636,0.642,0.649,0.632,1.34M,-1.70%
2023-10-31,0.647,0.66,0.664,0.64,3.05M,-1.52%
2023-10-30,0.657,0.658,0.664,0.653,3.29M,0.31%
2023-10-29,0.655,0.649,0.66,0.642,5.46M,2.34%
2023-10-26,0.64,0.634,0.648,0.63,7.53M,1.59%
2023-10-25,0.63,0.613,0.636,0.613,7.36M,2.94%
2023-10-24,0.612,0.614,0.624,0.612,3.39M,0.00%
2023-10-23,0.612,0.62,0.624,0.61,2.75M,-0.33%
2023-10-22,0.614,0.605,0.617,0.601,1.56M,2.33%
2023-10-19,0.6,0.605,0.607,0.595,1.36M,-0.50%
2023-10-18,0.603,0.613,0.613,0.6,2.39M,-0.50%
2023-10-17,0.606,0.6,0.61,0.591,1.98M,1.68%
2023-10-16,0.596,0.6,0.602,0.592,1.05M,-0.67%
2023-10-15,0.6,0.598,0.6,0.591,614.25K,1.52%
2023-10-12,0.591,0.59,0.597,0.588,2.49M,0.00%
2023-10-11,0.591,0.592,0.592,0.587,900.40K,0.17%
2023-10-10,0.59,0.598,0.598,0.585,379.27K,0.00%
2023-10-09,0.59,0.59,0.597,0.575,841.86K,3.33%
2023-10-08,0.571,0.6,0.609,0.56,1.38M,-5.15%
2023-10-04,0.602,0.6,0.613,0.6,204.46K,0.00%
2023-10-03,0.602,0.603,0.616,0.6,977.34K,-0.17%
2023-10-02,0.603,0.63,0.63,0.601,1.29M,-1.31%
2023-10-01,0.611,0.621,0.63,0.61,1.52M,-1.61%
2023-09-27,0.621,0.621,0.638,0.62,1.48M,-0.48%
2023-09-26,0.624,0.628,0.633,0.623,1.29M,-0.95%
2023-09-25,0.63,0.645,0.65,0.627,1.71M,-0.16%
2023-09-24,0.631,0.635,0.639,0.629,1.24M,0.48%
2023-09-21,0.628,0.625,0.635,0.62,1.65M,0.48%
2023-09-20,0.625,0.645,0.645,0.624,4.16M,-3.70%
2023-09-19,0.649,0.653,0.658,0.646,1.44M,-0.46%
2023-09-18,0.652,0.653,0.66,0.651,1.62M,-0.76%
2023-09-17,0.657,0.656,0.668,0.653,2.35M,1.08%
2023-09-14,0.65,0.653,0.665,0.648,4.34M,0.62%
2023-09-13,0.646,0.64,0.655,0.635,3.79M,0.94%
2023-09-12,0.64,0.648,0.657,0.639,3.60M,-0.31%
2023-09-11,0.642,0.662,0.667,0.641,6.06M,-3.02%
2023-09-10,0.662,0.684,0.697,0.661,5.59M,-1.19%
2023-09-07,0.67,0.664,0.685,0.66,6.44M,1.36%
2023-09-06,0.661,0.715,0.719,0.66,14.64M,-7.42%
2023-09-05,0.714,0.627,0.726,0.623,50.45M,14.61%
2023-09-04,0.623,0.606,0.632,0.6,8.68M,2.81%
2023-09-03,0.606,0.608,0.627,0.605,4.16M,1.00%
2023-08-31,0.6,0.606,0.615,0.596,2.45M,-0.50%
2023-08-30,0.603,0.591,0.608,0.582,4.11M,2.03%
2023-08-29,0.591,0.59,0.596,0.586,1.32M,0.17%
2023-08-28,0.59,0.597,0.597,0.584,941.42K,-0.51%
2023-08-27,0.593,0.59,0.596,0.59,715.41K,0.51%
2023-08-24,0.59,0.597,0.598,0.589,1.09M,-0.51%
2023-08-23,0.593,0.597,0.605,0.591,3.18M,0.51%
2023-08-22,0.59,0.592,0.61,0.589,4.31M,-1.17%
2023-08-21,0.597,0.597,0.605,0.59,1.25M,2.05%
2023-08-20,0.585,0.602,0.608,0.55,1.15M,-3.15%
2023-08-17,0.604,0.613,0.613,0.6,975.57K,-1.47%
2023-08-16,0.613,0.612,0.616,0.61,824.77K,0.00%
2023-08-15,0.613,0.615,0.619,0.612,1.30M,-0.16%
2023-08-14,0.614,0.612,0.62,0.61,853.71K,0.66%
2023-08-13,0.61,0.618,0.627,0.608,2.20M,-1.45%
2023-08-10,0.619,0.621,0.621,0.613,3.63M,-0.32%
2023-08-09,0.621,0.626,0.63,0.619,1.66M,0.00%
2023-08-08,0.621,0.624,0.64,0.617,6.38M,0.16%
2023-08-07,0.62,0.631,0.635,0.618,2.46M,-1.74%
2023-08-06,0.631,0.637,0.637,0.628,3.15M,0.64%
2023-08-03,0.627,0.612,0.647,0.606,12.52M,2.62%
2023-08-02,0.611,0.59,0.616,0.577,3.66M,2.00%
2023-08-01,0.599,0.599,0.599,0.59,359.13K,0.00%
2023-07-31,0.599,0.606,0.606,0.592,198.34K,0.00%
2023-07-30,0.599,0.6,0.605,0.594,866.17K,-0.17%
2023-07-27,0.6,0.582,0.604,0.575,1.95M,3.99%
2023-07-26,0.577,0.582,0.582,0.571,415.23K,0.00%
2023-07-25,0.577,0.582,0.582,0.574,185.81K,0.00%
2023-07-24,0.577,0.589,0.589,0.577,318.26K,0.00%
2023-07-19,0.577,0.58,0.585,0.58,165.19K,0.00%
2023-07-18,0.577,0.577,0.587,0.577,155.21K,0.00%
2023-07-17,0.577,0.589,0.589,0.575,1.07M,-1.20%
