Date,Price,Open,High,Low,Vol.,Change %
2022-05-11,0.31,2.7,2.7,2.7,0.00K,0.00%
2022-04-06,0.31,2.7,2.7,2.7,0.00K,0.00%
2022-03-28,0.31,0.31,0.31,0.31,0.18K,-69.00%
2022-02-23,1.0,8.0,8.0,8.0,0.00K,0.00%
2021-09-13,1.0,1.0,1.0,1.0,1.13K,-2.91%
2021-08-02,1.03,4.5,4.5,4.5,0.00K,0.00%
2021-06-30,1.03,3.5,3.5,3.5,0.00K,0.00%
2021-06-28,1.03,1.03,1.03,1.03,34.52K,-46.07%
2021-05-31,1.91,0.99,4.18,0.99,1.56K,-57.56%
2021-05-10,4.5,4.5,4.5,4.5,0.45K,73.08%
2021-04-19,2.6,3.55,3.55,3.55,0.00K,0.00%
2021-04-05,2.6,2.6,2.6,2.6,0.15K,1.96%
2021-03-31,2.55,2.55,2.55,2.55,30.89K,-7.27%
2021-03-29,2.75,2.75,2.75,2.75,0.18K,10.00%
2021-03-24,2.5,2.45,2.5,2.45,20.98K,4.17%
2021-03-22,2.4,2.4,2.5,2.4,2.60K,-39.85%
2021-03-15,3.99,2.0,2.0,2.0,0.01K,0.00%
2021-03-10,3.99,3.98,4.0,3.97,70.00K,-0.25%
2021-03-03,4.0,3.96,4.0,3.96,32.80K,"1,381.48%"
2021-01-11,0.27,3.99,3.99,3.99,0.01K,0.00%
2020-07-13,0.27,1.0,1.0,1.0,0.00K,0.00%
2020-06-24,0.27,0.27,0.27,0.27,1.50K,-73.00%
2019-12-23,1.0,1.0,1.0,1.0,63.00M,0.00%
2019-09-23,1.0,10.0,10.0,10.0,0.00K,0.00%
2019-09-18,1.0,0.14,0.14,0.14,0.03K,0.00%
2019-08-14,1.0,1.02,1.02,1.02,0.00K,2.67%
2019-05-23,0.974,0.99,0.99,0.99,0.00K,0.00%
2019-05-22,0.974,0.978,0.982,0.97,35.00K,3.95%
2019-05-21,0.937,0.961,0.97,0.961,25.00K,0.00%
2019-05-15,0.937,0.98,0.98,0.931,10.00K,0.00%
2019-05-13,0.937,0.93,0.93,0.93,21.60K,0.00%
2019-05-09,0.937,0.94,0.94,0.94,28.00K,0.00%
2019-05-08,0.937,0.943,0.943,0.93,40.00K,-0.53%
2019-04-30,0.942,0.93,0.93,0.93,4.00K,0.00%
2019-04-24,0.942,0.95,0.95,0.95,7.70K,0.00%
2019-04-23,0.942,0.96,0.96,0.96,2.25K,0.00%
2019-04-18,0.942,0.943,0.943,0.943,20.00K,0.00%
2019-04-17,0.942,0.9,0.979,0.9,14.50K,0.00%
2019-04-16,0.942,0.94,0.94,0.94,4.50K,0.00%
2019-04-15,0.942,0.95,0.96,0.94,35.98K,2.39%
2019-04-14,0.92,0.921,0.921,0.921,2.00K,0.00%
2019-04-08,0.92,0.93,0.93,0.93,13.23K,0.00%
2019-04-07,0.92,0.92,0.95,0.92,25.25K,0.00%
2019-04-03,0.92,0.966,0.966,0.966,0.10K,0.00%
2019-03-11,0.92,0.96,0.96,0.96,4.00K,0.00%
2019-02-28,0.92,0.92,0.92,0.92,47.00K,0.00%
2019-02-27,0.92,0.91,0.96,0.91,2.33K,0.00%
2019-02-18,0.92,0.966,0.966,0.92,35.88K,0.00%
2019-02-17,0.92,0.93,0.93,0.88,2.43K,0.00%
2019-02-13,0.92,0.921,0.966,0.92,3.00K,0.00%
2019-02-12,0.92,0.966,0.966,0.966,0.00K,0.00%
