Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.498,0.511,0.519,0.49,2.28M,-2.92%
2023-12-10,0.513,0.524,0.53,0.511,3.07M,-0.77%
2023-12-07,0.517,0.53,0.535,0.485,6.47M,-3.72%
2023-12-06,0.537,0.54,0.55,0.532,4.43M,-1.47%
2023-12-05,0.545,0.55,0.559,0.539,9.66M,0.18%
2023-12-04,0.544,0.531,0.559,0.531,8.52M,2.45%
2023-12-03,0.531,0.546,0.558,0.53,12.58M,-4.15%
2023-11-30,0.554,0.55,0.585,0.547,17.92M,-0.54%
2023-11-29,0.557,0.534,0.565,0.524,17.30M,4.70%
2023-11-28,0.532,0.551,0.551,0.526,13.54M,-3.27%
2023-11-27,0.55,0.51,0.56,0.508,25.10M,8.06%
2023-11-26,0.509,0.517,0.517,0.508,3.42M,-0.39%
2023-11-23,0.511,0.519,0.526,0.507,5.29M,-1.35%
2023-11-22,0.518,0.505,0.524,0.503,13.96M,3.81%
2023-11-21,0.499,0.488,0.5,0.482,2.99M,3.53%
2023-11-20,0.482,0.505,0.505,0.48,4.29M,-3.79%
2023-11-19,0.501,0.492,0.514,0.492,5.17M,2.24%
2023-11-16,0.49,0.488,0.494,0.475,4.19M,1.03%
2023-11-15,0.485,0.495,0.499,0.483,2.54M,-2.61%
2023-11-14,0.498,0.511,0.516,0.495,10.06M,0.20%
2023-11-13,0.497,0.48,0.508,0.48,14.96M,6.42%
2023-11-12,0.467,0.474,0.474,0.457,3.05M,0.86%
2023-11-09,0.463,0.472,0.473,0.46,3.51M,-0.22%
2023-11-08,0.464,0.482,0.482,0.463,3.60M,-3.13%
2023-11-07,0.479,0.464,0.49,0.459,7.33M,4.81%
2023-11-06,0.457,0.465,0.473,0.455,5.25M,-1.30%
2023-11-05,0.463,0.446,0.474,0.445,9.59M,5.47%
2023-11-02,0.439,0.436,0.442,0.436,788.10K,0.92%
2023-11-01,0.435,0.441,0.447,0.431,1.61M,-2.47%
2023-10-31,0.446,0.455,0.455,0.443,1.14M,-0.67%
2023-10-30,0.449,0.451,0.459,0.445,1.77M,-0.44%
2023-10-29,0.451,0.453,0.462,0.448,2.71M,0.22%
2023-10-26,0.45,0.455,0.456,0.443,2.44M,-0.44%
2023-10-25,0.452,0.446,0.455,0.443,2.76M,2.26%
2023-10-24,0.442,0.45,0.457,0.44,3.63M,-0.67%
2023-10-23,0.445,0.443,0.454,0.44,2.34M,1.37%
2023-10-22,0.439,0.425,0.444,0.425,2.00M,2.57%
2023-10-19,0.428,0.425,0.43,0.425,1.18M,0.94%
2023-10-18,0.424,0.428,0.43,0.422,1.32M,-0.47%
2023-10-17,0.426,0.429,0.434,0.42,3.44M,-0.47%
2023-10-16,0.428,0.432,0.439,0.427,1.90M,-0.93%
2023-10-15,0.432,0.43,0.436,0.43,1.52M,0.47%
2023-10-12,0.43,0.43,0.434,0.429,865.75K,-0.46%
2023-10-11,0.432,0.431,0.44,0.43,1.21M,0.47%
2023-10-10,0.43,0.427,0.438,0.425,1.98M,2.63%
2023-10-09,0.419,0.428,0.428,0.415,501.73K,0.00%
2023-10-08,0.419,0.44,0.445,0.411,2.31M,-4.99%
2023-10-04,0.441,0.441,0.451,0.438,2.40M,-0.45%
2023-10-03,0.443,0.458,0.465,0.44,2.09M,-3.28%
2023-10-02,0.458,0.438,0.481,0.435,14.20M,5.77%
2023-10-01,0.433,0.446,0.446,0.43,1.92M,-2.04%
2023-09-27,0.442,0.452,0.455,0.438,2.02M,-1.56%
2023-09-26,0.449,0.466,0.474,0.446,3.04M,-3.85%
2023-09-25,0.467,0.478,0.478,0.465,1.24M,-1.27%
2023-09-24,0.473,0.482,0.496,0.47,2.20M,-1.87%
2023-09-21,0.482,0.48,0.491,0.474,2.76M,0.42%
2023-09-20,0.48,0.5,0.5,0.476,5.29M,-4.00%
2023-09-19,0.5,0.512,0.517,0.498,6.53M,-1.96%
2023-09-18,0.51,0.528,0.529,0.507,6.70M,-2.86%
2023-09-17,0.525,0.499,0.545,0.499,19.23M,6.71%
2023-09-14,0.492,0.48,0.504,0.474,7.24M,2.93%
2023-09-13,0.478,0.486,0.487,0.472,2.92M,-0.42%
2023-09-12,0.48,0.496,0.496,0.477,5.65M,-1.64%
2023-09-11,0.488,0.512,0.512,0.483,3.93M,-3.37%
2023-09-10,0.505,0.517,0.517,0.504,3.24M,-1.37%
2023-09-07,0.512,0.515,0.52,0.505,2.60M,0.20%
2023-09-06,0.511,0.525,0.53,0.508,5.78M,-1.16%
2023-09-05,0.517,0.515,0.549,0.515,16.73M,0.98%
2023-09-04,0.512,0.527,0.527,0.5,7.84M,-0.97%
2023-09-03,0.517,0.548,0.55,0.515,9.09M,-4.44%
2023-08-31,0.541,0.49,0.558,0.476,47.60M,13.18%
2023-08-30,0.478,0.47,0.49,0.461,4.36M,3.02%
2023-08-29,0.464,0.465,0.468,0.459,1.69M,0.43%
