Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.4,5.79,5.79,5.38,1.28M,-5.10%
2023-12-10,5.69,5.9,5.96,5.66,808.79K,-3.56%
2023-12-07,5.9,6.0,6.04,5.82,910.74K,-1.83%
2023-12-06,6.01,6.11,6.17,6.0,1.42M,-0.50%
2023-12-05,6.04,6.12,6.23,6.01,1.54M,-0.98%
2023-12-04,6.1,6.2,6.23,6.02,1.03M,-1.61%
2023-12-03,6.2,6.22,6.28,5.95,1.04M,0.00%
2023-11-30,6.2,6.15,6.34,6.07,912.76K,0.00%
2023-11-29,6.2,6.32,6.37,5.81,1.12M,-1.90%
2023-11-28,6.32,6.46,6.47,6.3,2.00M,-1.25%
2023-11-27,6.4,6.23,6.48,6.12,2.27M,3.73%
2023-11-26,6.17,6.18,6.3,6.13,1.34M,-0.32%
2023-11-23,6.19,6.2,6.29,6.14,1.76M,0.98%
2023-11-22,6.13,6.31,6.4,6.13,3.46M,-2.70%
2023-11-21,6.3,5.85,6.31,5.8,4.73M,7.51%
2023-11-20,5.86,5.6,5.9,5.58,4.67M,6.74%
2023-11-19,5.49,5.26,5.49,5.25,2.34M,5.58%
2023-11-16,5.2,5.3,5.32,5.15,1.29M,-0.95%
2023-11-15,5.25,5.36,5.43,5.15,1.91M,-1.87%
2023-11-14,5.35,5.42,5.58,5.33,2.74M,0.75%
2023-11-13,5.31,5.18,5.48,5.13,4.64M,4.12%
2023-11-12,5.1,5.02,5.17,4.96,2.25M,3.24%
2023-11-09,4.94,5.13,5.24,4.85,2.84M,-2.18%
2023-11-08,5.05,5.16,5.23,5.01,1.71M,-0.98%
2023-11-07,5.1,5.29,5.29,5.06,2.33M,-2.30%
2023-11-06,5.22,4.8,5.4,4.72,7.89M,11.30%
2023-11-05,4.69,4.6,4.8,4.6,1.22M,1.96%
2023-11-02,4.6,4.57,4.64,4.56,674.91K,2.00%
2023-11-01,4.51,4.59,4.68,4.41,2.39M,-2.59%
2023-10-31,4.63,4.88,4.89,4.61,1.60M,-3.34%
2023-10-30,4.79,5.09,5.15,4.77,2.81M,-4.20%
2023-10-29,5.0,4.77,5.09,4.74,6.26M,7.76%
2023-10-26,4.64,4.5,4.67,4.44,2.93M,3.11%
2023-10-25,4.5,4.25,4.5,4.23,2.19M,7.66%
2023-10-24,4.18,4.24,4.27,4.14,703.77K,-1.42%
2023-10-23,4.24,4.26,4.28,4.2,1.08M,0.95%
2023-10-22,4.2,4.14,4.27,4.13,1.35M,1.45%
2023-10-19,4.14,4.1,4.25,4.1,1.04M,1.47%
2023-10-18,4.08,4.17,4.2,4.07,755.32K,-2.16%
2023-10-17,4.17,4.03,4.17,4.02,1.45M,3.47%
2023-10-16,4.03,4.08,4.08,4.0,567.95K,-0.25%
2023-10-15,4.04,4.0,4.06,3.99,551.62K,2.28%
2023-10-12,3.95,3.95,4.02,3.95,872.63K,-0.25%
2023-10-11,3.96,3.95,4.01,3.94,674.78K,0.76%
2023-10-10,3.93,3.9,4.02,3.9,458.52K,-0.76%
2023-10-09,3.96,3.91,3.99,3.77,659.68K,1.28%
2023-10-08,3.91,4.07,4.07,3.61,957.15K,-3.69%
2023-10-04,4.06,4.03,4.08,4.0,1.02M,0.74%
2023-10-03,4.03,4.13,4.15,4.01,464.90K,-1.95%
2023-10-02,4.11,4.11,4.16,4.02,570.37K,0.00%
2023-10-01,4.11,4.08,4.15,4.06,726.19K,0.74%
2023-09-27,4.08,4.09,4.17,4.0,1.00M,-0.24%
2023-09-26,4.09,4.17,4.22,4.08,820.00K,-0.24%
2023-09-25,4.1,4.14,4.17,4.0,563.50K,-0.49%
2023-09-24,4.12,4.18,4.2,4.1,486.99K,-0.24%
2023-09-21,4.13,4.18,4.18,4.07,964.14K,-0.24%
2023-09-20,4.14,4.35,4.35,4.1,1.36M,-4.17%
2023-09-19,4.32,4.37,4.4,4.31,946.76K,-0.23%
2023-09-18,4.33,4.3,4.34,4.28,645.19K,1.17%
2023-09-17,4.28,4.36,4.4,4.28,1.01M,-0.47%
2023-09-14,4.3,4.32,4.38,4.3,877.20K,-0.46%
2023-09-13,4.32,4.29,4.34,4.25,664.13K,0.70%
2023-09-12,4.29,4.34,4.38,4.27,670.20K,-1.15%
2023-09-11,4.34,4.49,4.51,4.3,1.63M,-1.81%
2023-09-10,4.42,4.58,4.58,4.41,1.26M,-2.00%
2023-09-07,4.51,4.56,4.58,4.47,1.99M,-1.10%
2023-09-06,4.56,4.58,4.7,4.45,4.52M,0.66%
2023-09-05,4.53,4.39,4.67,4.39,4.62M,3.42%
2023-09-04,4.38,4.39,4.41,4.35,312.89K,0.00%
2023-09-03,4.38,4.36,4.53,4.32,1.56M,1.15%
2023-08-31,4.33,4.36,4.4,4.32,689.89K,-0.23%
2023-08-30,4.34,4.36,4.4,4.33,726.08K,-0.23%
2023-08-29,4.35,4.39,4.45,4.32,836.29K,0.00%
2023-08-28,4.35,4.43,4.43,4.34,1.12M,-0.46%
2023-08-27,4.37,4.39,4.47,4.37,968.96K,-0.46%
2023-08-24,4.39,4.4,4.45,4.3,1.07M,-0.23%
2023-08-23,4.4,4.56,4.66,4.37,7.42M,-1.12%
2023-08-22,4.45,4.47,4.54,4.43,1.50M,0.23%
2023-08-21,4.44,4.47,4.53,4.38,1.39M,0.91%
2023-08-20,4.4,4.47,4.54,4.36,2.78M,0.69%
2023-08-17,4.37,4.35,4.51,4.34,1.54M,0.69%
2023-08-16,4.34,4.49,4.56,4.33,2.69M,-2.47%
2023-08-15,4.45,4.33,4.55,4.3,4.35M,3.97%
2023-08-14,4.28,4.24,4.3,4.2,886.83K,0.94%
2023-08-13,4.24,4.17,4.25,4.15,461.28K,1.68%
2023-08-10,4.17,4.29,4.3,4.16,847.51K,-1.88%
2023-08-09,4.25,4.23,4.33,4.15,616.91K,0.47%
2023-08-08,4.23,4.32,4.32,4.2,577.66K,-1.63%
2023-08-07,4.3,4.31,4.38,4.26,745.28K,0.47%
2023-08-06,4.28,4.2,4.29,4.18,1.11M,3.88%
2023-08-03,4.12,4.15,4.2,4.11,389.00K,-0.24%
2023-08-02,4.13,4.1,4.18,4.08,379.64K,0.49%
2023-08-01,4.11,4.14,4.16,4.1,210.79K,-0.48%
2023-07-31,4.13,4.13,4.21,4.12,284.01K,-0.48%
2023-07-30,4.15,4.19,4.25,4.14,714.82K,0.00%
2023-07-27,4.15,4.15,4.17,4.1,246.73K,1.47%
2023-07-26,4.09,4.18,4.18,4.07,231.36K,-1.45%
2023-07-25,4.15,4.24,4.24,4.12,315.92K,-1.43%
2023-07-24,4.21,4.33,4.33,4.17,740.28K,-2.09%
2023-07-19,4.3,4.29,4.42,4.26,2.99M,1.42%
2023-07-18,4.24,4.21,4.3,4.21,1.01M,0.71%
2023-07-17,4.21,4.3,4.3,4.19,808.45K,0.24%
2023-07-16,4.2,4.13,4.3,4.12,800.90K,1.69%
2023-07-13,4.13,4.12,4.17,4.07,527.27K,0.98%
2023-07-12,4.09,4.15,4.15,4.04,592.66K,0.25%
2023-07-11,4.08,4.18,4.18,4.03,702.26K,-0.49%
2023-07-10,4.1,3.96,4.12,3.95,418.40K,2.24%
2023-07-09,4.01,4.26,4.35,3.93,941.40K,-5.87%
2023-07-06,4.26,4.41,4.43,4.25,382.37K,-3.40%
2023-07-05,4.41,4.45,4.54,4.4,484.08K,0.92%
2023-07-04,4.37,4.5,4.5,4.36,483.70K,0.23%
2023-06-26,4.36,4.26,4.39,4.26,313.92K,0.69%
2023-06-25,4.33,4.5,4.5,4.31,359.25K,-0.92%
2023-06-22,4.37,4.37,4.43,4.33,576.59K,0.46%
2023-06-21,4.35,4.49,4.56,4.34,709.81K,-3.12%
2023-06-20,4.49,4.56,4.59,4.43,682.69K,-1.10%
2023-06-19,4.54,4.71,4.73,4.31,1.12M,-2.58%
2023-06-18,4.66,4.63,4.76,4.6,1.81M,2.19%
2023-06-15,4.56,4.56,4.68,4.52,1.19M,1.33%
2023-06-14,4.5,4.6,4.65,4.46,867.24K,-1.10%
2023-06-13,4.55,4.6,4.67,4.53,746.70K,-1.73%
2023-06-12,4.63,4.65,4.7,4.57,1.32M,0.87%
2023-06-11,4.59,4.75,4.82,4.57,1.55M,-2.55%
2023-06-08,4.71,4.71,4.84,4.66,943.53K,-0.42%
2023-06-07,4.73,4.9,4.93,4.72,961.30K,-2.47%
2023-06-06,4.85,5.02,5.05,4.83,1.61M,-1.82%
2023-06-05,4.94,4.95,5.15,4.94,4.84M,1.02%
2023-06-04,4.89,4.84,4.96,4.79,2.78M,2.09%
2023-06-01,4.79,4.73,4.81,4.71,1.42M,2.13%
2023-05-31,4.69,4.86,4.99,4.66,4.23M,-2.70%
2023-05-30,4.82,4.76,4.84,4.7,2.82M,1.90%
2023-05-29,4.73,4.61,4.84,4.6,3.66M,3.73%
2023-05-28,4.56,4.52,4.6,4.52,1.19M,2.47%
2023-05-25,4.45,4.44,4.55,4.44,1.07M,1.14%
2023-05-24,4.4,4.43,4.53,4.38,1.98M,1.85%
2023-05-23,4.32,4.3,4.38,4.09,1.10M,0.47%
2023-05-22,4.3,4.45,4.45,4.27,701.11K,-1.38%
2023-05-21,4.36,4.4,4.52,4.34,679.90K,1.16%
2023-05-18,4.31,4.34,4.38,4.21,917.14K,0.23%
2023-05-17,4.3,4.5,4.55,4.26,1.01M,-3.80%
2023-05-16,4.47,4.49,4.55,4.4,2.29M,-0.45%
2023-05-15,4.49,4.64,4.75,4.45,1.36M,-3.44%
2023-05-14,4.65,4.63,4.79,4.61,1.77M,0.65%
2023-05-11,4.62,4.73,4.8,4.61,1.59M,-2.33%
2023-05-10,4.73,4.65,4.75,4.62,2.47M,1.28%
2023-05-09,4.67,4.92,4.93,4.66,2.99M,-4.50%
2023-05-08,4.89,4.75,4.93,4.7,3.70M,4.94%
2023-05-07,4.66,4.54,4.75,4.5,2.64M,2.19%
2023-05-03,4.56,4.6,4.66,4.5,2.49M,-0.22%
2023-05-02,4.57,4.49,4.65,4.4,2.17M,2.93%
2023-05-01,4.44,4.6,4.7,4.39,2.04M,-4.31%
2023-04-30,4.64,4.91,4.93,4.58,2.54M,-4.33%
2023-04-27,4.85,4.76,4.95,4.75,3.33M,2.75%
2023-04-26,4.72,4.58,4.84,4.51,2.90M,4.66%
2023-04-19,4.51,4.6,4.63,4.5,1.07M,-0.66%
2023-04-18,4.54,4.53,4.6,4.49,1.50M,0.44%
2023-04-13,4.52,4.57,4.58,4.48,1.04M,-0.44%
2023-04-12,4.54,4.67,4.75,4.52,1.92M,-2.78%
2023-04-11,4.67,4.49,4.8,4.4,4.35M,5.90%
2023-04-10,4.41,4.39,4.44,4.3,1.54M,1.85%
2023-04-09,4.33,4.41,4.47,4.29,1.47M,-1.81%
2023-04-06,4.41,4.52,4.59,4.39,1.61M,-2.43%
2023-04-05,4.52,4.56,4.68,4.46,2.85M,-0.66%
2023-04-04,4.55,4.41,4.59,4.36,4.02M,5.08%
2023-04-03,4.33,4.21,4.39,4.21,3.95M,3.59%
2023-04-02,4.18,4.19,4.23,4.07,1.38M,1.21%
2023-03-30,4.13,4.29,4.32,4.1,2.43M,-3.05%
2023-03-29,4.26,4.14,4.35,4.08,3.50M,5.19%
2023-03-28,4.05,4.1,4.14,3.97,1.78M,-0.25%
2023-03-27,4.06,4.04,4.25,3.95,4.42M,4.91%
2023-03-26,3.87,3.82,3.92,3.75,945.13K,2.65%
2023-03-23,3.77,3.77,3.82,3.67,447.24K,-1.05%
2023-03-22,3.81,3.91,3.98,3.76,899.24K,-2.06%
2023-03-21,3.89,3.9,3.94,3.83,875.25K,0.26%
2023-03-20,3.88,3.62,3.88,3.61,821.91K,5.72%
2023-03-19,3.67,3.77,3.77,3.43,355.79K,2.23%
2023-03-16,3.59,3.51,3.7,3.1,728.14K,-1.10%
2023-03-15,3.63,4.2,4.24,3.35,928.94K,-10.81%
2023-03-14,4.07,3.95,4.18,3.8,1.03M,3.04%
2023-03-13,3.95,4.66,4.67,3.85,1.27M,-12.80%
2023-03-12,4.53,4.44,4.82,4.4,2.84M,1.80%
2023-03-09,4.45,4.32,4.48,4.3,461.86K,3.97%
2023-03-08,4.28,4.27,4.39,4.17,207.86K,-0.47%
2023-03-07,4.3,4.37,4.55,4.29,574.27K,-1.38%
2023-03-06,4.36,4.5,4.65,4.35,709.78K,1.16%
2023-03-05,4.31,4.3,4.47,4.23,219.10K,0.23%
2023-03-02,4.3,4.32,4.4,4.22,378.28K,0.70%
2023-03-01,4.27,4.2,4.33,4.18,237.03K,3.64%
2023-02-28,4.12,4.2,4.24,4.04,222.25K,-2.37%
2023-02-27,4.22,4.2,4.25,4.16,127.91K,1.44%
2023-02-26,4.16,4.19,4.2,4.12,143.15K,0.48%
2023-02-23,4.14,4.14,4.19,4.05,120.24K,0.98%
2023-02-22,4.1,4.3,4.3,4.09,157.56K,-3.98%
2023-02-21,4.27,4.21,4.29,4.05,217.53K,1.67%
2023-02-20,4.2,4.43,4.5,4.16,418.25K,-4.98%
2023-02-19,4.42,4.6,4.61,4.41,355.21K,-3.70%
2023-02-16,4.59,4.71,4.72,4.56,313.02K,-2.13%
2023-02-15,4.69,4.64,4.82,4.61,807.95K,1.96%
2023-02-14,4.6,4.47,4.62,4.47,677.26K,3.14%
2023-02-13,4.46,4.57,4.57,4.41,431.72K,-0.22%
2023-02-12,4.47,4.54,4.6,4.42,545.43K,1.59%
2023-02-09,4.4,4.49,4.57,4.34,521.80K,-0.23%
2023-02-08,4.41,4.55,4.7,4.4,704.68K,-2.22%
2023-02-07,4.51,4.33,4.62,4.33,1.48M,6.62%
2023-02-06,4.23,4.1,4.31,4.06,687.10K,4.70%
2023-02-05,4.04,4.0,4.09,3.8,661.93K,2.28%
2023-02-02,3.95,4.21,4.25,3.91,1.27M,-6.18%
2023-02-01,4.21,4.3,4.37,4.06,393.65K,-2.55%
2023-01-31,4.32,4.43,4.52,4.3,467.98K,-4.00%
2023-01-30,4.5,4.78,4.79,4.41,1.19M,-3.23%
2023-01-29,4.65,4.67,4.8,4.6,890.39K,1.53%
2023-01-25,4.58,4.73,4.75,4.5,888.95K,-1.29%
2023-01-24,4.64,4.84,4.84,4.61,582.76K,-1.69%
2023-01-23,4.72,5.1,5.1,4.67,1.16M,-6.53%
2023-01-22,5.05,5.1,5.18,4.76,3.56M,1.81%
2023-01-19,4.96,4.21,4.96,4.2,7.62M,19.81%
2023-01-18,4.14,4.07,4.22,4.05,783.61K,3.50%
2023-01-17,4.0,4.0,4.1,4.0,589.65K,1.27%
2023-01-16,3.95,3.93,4.06,3.9,381.01K,0.51%
2023-01-15,3.93,3.95,4.06,3.9,67.40K,0.00%
2023-01-12,3.93,3.9,4.0,3.81,161.80K,-0.76%
2023-01-11,3.96,3.99,4.18,3.93,340.28K,-1.25%
2023-01-10,4.01,4.03,4.09,4.0,382.72K,-1.47%
2023-01-09,4.07,4.11,4.2,4.0,720.79K,-2.63%
2023-01-05,4.18,4.3,4.35,4.16,115.39K,-1.42%
2023-01-04,4.24,4.31,4.44,4.07,848.74K,-2.53%
2023-01-03,4.35,4.2,4.46,4.16,1.25M,5.84%
2023-01-02,4.11,3.95,4.16,3.91,608.20K,5.66%
2022-12-29,3.89,3.87,3.97,3.86,452.33K,2.10%
2022-12-28,3.81,3.7,3.86,3.65,327.63K,3.81%
2022-12-27,3.67,3.56,3.73,3.52,678.32K,0.55%
2022-12-26,3.65,3.54,3.67,3.5,368.97K,2.82%
2022-12-25,3.55,3.63,3.66,3.52,272.45K,-3.79%
2022-12-22,3.69,3.76,3.85,3.68,218.54K,-1.07%
2022-12-21,3.73,3.78,3.79,3.71,148.28K,-1.32%
2022-12-20,3.78,3.85,3.93,3.76,348.51K,-0.79%
2022-12-19,3.81,3.93,3.96,3.71,549.81K,-2.56%
2022-12-18,3.91,3.96,4.14,3.87,663.85K,-0.51%
2022-12-15,3.93,3.78,4.07,3.78,1.32M,4.52%
2022-12-14,3.76,3.68,3.81,3.6,823.70K,3.30%
2022-12-13,3.64,3.65,3.68,3.6,476.10K,0.83%
2022-12-12,3.61,3.55,3.68,3.54,592.93K,1.12%
2022-12-11,3.57,3.5,3.66,3.5,400.53K,0.00%
2022-12-08,3.57,3.54,3.66,3.5,755.14K,2.00%
2022-12-07,3.5,3.46,3.56,3.45,540.16K,1.45%
2022-12-06,3.45,3.4,3.47,3.35,238.20K,1.17%
2022-12-05,3.41,3.48,3.52,3.39,427.69K,-1.16%
2022-12-04,3.45,3.4,3.51,3.4,525.66K,2.99%
2022-12-01,3.35,3.32,3.39,3.32,144.97K,1.21%
2022-11-30,3.31,3.35,3.41,3.3,598.40K,0.00%
2022-11-29,3.31,3.23,3.33,3.21,361.52K,2.48%
2022-11-28,3.23,3.28,3.28,3.2,323.16K,-1.82%
2022-11-27,3.29,3.24,3.33,3.24,303.44K,1.54%
2022-11-24,3.24,3.35,3.35,3.2,353.90K,-1.82%
2022-11-23,3.3,3.25,3.4,3.17,798.36K,2.17%
2022-11-22,3.23,3.22,3.25,3.15,347.75K,0.94%
2022-11-21,3.2,3.21,3.21,3.13,263.80K,0.00%
2022-11-20,3.2,3.14,3.22,3.13,555.41K,2.56%
2022-11-17,3.12,3.1,3.17,3.1,535.07K,2.63%
2022-11-16,3.04,3.01,3.1,2.96,526.03K,1.67%
2022-11-15,2.99,2.95,3.0,2.91,382.78K,2.40%
2022-11-14,2.92,2.91,2.93,2.88,102.94K,0.00%
2022-11-13,2.92,2.89,2.97,2.89,318.91K,1.74%
2022-11-10,2.87,2.9,2.93,2.86,98.08K,0.00%
2022-11-09,2.87,2.86,2.92,2.83,103.60K,0.00%
2022-11-08,2.87,2.96,2.97,2.86,133.93K,-1.03%
2022-11-07,2.9,2.91,2.98,2.88,274.56K,0.69%
2022-11-06,2.88,2.88,2.93,2.85,270.57K,-1.03%
2022-11-03,2.91,2.97,2.97,2.86,120.99K,-1.02%
2022-11-02,2.94,3.01,3.01,2.93,128.70K,-1.34%
2022-11-01,2.98,3.04,3.05,3.0,85.08K,0.00%
2022-10-31,2.98,3.0,3.02,2.95,179.46K,0.00%
2022-10-30,2.98,3.12,3.12,2.97,176.40K,-2.30%
2022-10-27,3.05,3.09,3.17,3.02,407.53K,0.99%
2022-10-26,3.02,3.02,3.09,3.0,419.36K,-0.33%
2022-10-25,3.03,3.05,3.08,3.0,159.23K,-0.66%
2022-10-24,3.05,3.12,3.18,3.04,887.10K,-0.33%
2022-10-23,3.06,3.08,3.16,3.0,1.17M,2.00%
2022-10-20,3.0,2.98,3.03,2.98,149.06K,0.33%
2022-10-19,2.99,3.04,3.05,2.95,185.18K,-0.66%
2022-10-18,3.01,3.02,3.05,2.97,187.37K,0.00%
2022-10-17,3.01,3.02,3.07,3.0,185.94K,0.00%
2022-10-16,3.01,3.0,3.08,3.0,250.80K,1.01%
2022-10-13,2.98,2.9,3.0,2.9,146.68K,2.76%
2022-10-12,2.9,2.89,2.93,2.86,249.49K,-2.03%
2022-10-11,2.96,2.94,2.94,2.86,75.51K,0.00%
2022-10-10,2.96,3.03,3.05,2.95,140.97K,-1.00%
2022-10-09,2.99,2.99,3.03,2.94,239.82K,0.00%
2022-10-05,2.99,3.09,3.09,2.97,216.80K,-1.97%
2022-10-04,3.05,3.06,3.1,3.04,132.36K,0.99%
2022-10-03,3.02,3.02,3.07,3.0,181.53K,0.33%
2022-10-02,3.01,3.09,3.13,2.99,268.03K,-3.53%
2022-09-29,3.12,3.16,3.2,3.1,683.11K,-0.64%
2022-09-28,3.14,3.2,3.21,3.11,235.74K,-1.57%
2022-09-27,3.19,3.21,3.29,3.18,283.55K,0.31%
2022-09-26,3.18,3.15,3.34,3.13,274.14K,-1.55%
2022-09-25,3.23,3.2,3.22,3.13,71.83K,0.00%
2022-09-22,3.23,3.08,3.26,3.08,441.65K,2.54%
2022-09-21,3.15,3.24,3.25,3.12,734.54K,-2.48%
2022-09-20,3.23,3.16,3.26,3.1,223.22K,0.00%
2022-09-19,3.23,3.09,3.24,3.01,148.86K,2.54%
2022-09-18,3.15,3.35,3.35,3.07,151.47K,-5.69%
2022-09-15,3.34,3.37,3.41,3.33,244.08K,0.00%
2022-09-14,3.34,3.41,3.43,3.32,185.55K,-2.05%
2022-09-13,3.41,3.42,3.5,3.4,871.54K,-1.73%
2022-09-12,3.47,3.5,3.55,3.45,335.50K,-0.86%
2022-09-11,3.5,3.49,3.55,3.48,329.06K,0.29%
2022-09-08,3.49,3.46,3.52,3.44,525.08K,0.29%
2022-09-07,3.48,3.47,3.55,3.44,270.74K,-0.85%
2022-09-06,3.51,3.48,3.55,3.45,412.39K,0.86%
2022-09-05,3.48,3.45,3.5,3.39,170.92K,0.87%
2022-09-04,3.45,3.32,3.48,3.27,328.23K,2.68%
2022-09-01,3.36,3.45,3.45,3.3,247.43K,-2.61%
2022-08-31,3.45,3.55,3.55,3.42,332.97K,-1.15%
