Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.31,1.21,1.21,1.19,10.00K,8.35%
2023-12-07,1.21,1.21,1.21,1.21,1.50K,-7.70%
2023-12-05,1.31,1.33,1.33,1.33,40.00K,0.00%
2023-12-03,1.31,1.25,1.32,1.25,65.60K,0.00%
2023-11-30,1.31,1.39,1.39,1.25,103.05K,0.00%
2023-11-28,1.31,1.39,1.39,1.31,5.14K,0.00%
2023-11-23,1.31,1.29,1.29,1.29,4.93K,0.00%
2023-11-22,1.31,1.39,1.39,1.39,9.20K,0.00%
2023-11-21,1.31,1.39,1.39,1.29,10.21K,0.00%
2023-11-20,1.31,1.28,1.29,1.28,11.51K,0.00%
2023-11-16,1.31,1.31,1.31,1.31,9.94K,0.00%
2023-11-15,1.31,1.29,1.29,1.29,6.57K,0.00%
2023-11-14,1.31,1.29,1.36,1.29,18.56K,0.00%
2023-11-13,1.31,1.35,1.35,1.29,6.43K,0.00%
2023-11-12,1.31,1.36,1.39,1.36,0.43K,0.00%
2023-11-07,1.31,1.2,1.2,1.2,29.30K,0.00%
2023-11-05,1.31,1.2,1.2,1.2,0.05K,0.00%
2023-11-02,1.31,1.31,1.31,1.31,6.00K,0.00%
2023-11-01,1.31,1.2,1.2,1.2,3.00K,0.00%
2023-10-31,1.31,1.31,1.31,1.31,5.56K,0.00%
2023-10-26,1.31,1.31,1.32,1.27,201.26K,0.85%
2023-10-25,1.3,1.27,1.43,1.27,71.42K,0.00%
2023-10-24,1.3,1.27,1.27,1.27,15.00K,0.00%
2023-10-23,1.3,1.39,1.39,1.39,10.50K,0.00%
2023-10-22,1.3,1.39,1.39,1.27,10.50K,0.00%
2023-10-19,1.3,1.25,1.39,1.25,26.34K,0.00%
2023-10-18,1.3,1.25,1.39,1.25,113.66K,0.00%
2023-10-12,1.3,1.2,1.2,1.18,22.89K,0.00%
2023-10-10,1.3,1.18,1.3,1.18,20.00K,0.00%
2023-10-08,1.3,1.18,1.18,1.18,2.00K,0.00%
2023-10-03,1.3,1.32,1.32,1.32,59.89K,0.00%
2023-10-02,1.3,1.26,1.32,1.25,118.53K,2.52%
2023-10-01,1.27,1.27,1.27,1.27,0.21K,0.00%
2023-09-27,1.27,1.18,1.18,1.18,0.01K,0.00%
2023-09-25,1.27,1.26,1.26,1.26,0.00K,0.00%
2023-09-24,1.27,1.39,1.39,1.28,1.67K,0.00%
2023-09-13,1.27,1.21,1.21,1.17,6.29K,0.00%
2023-09-12,1.27,1.21,1.21,1.21,12.05K,0.00%
2023-09-11,1.27,1.21,1.21,1.21,0.03K,0.00%
2023-09-10,1.27,1.39,1.39,1.25,2.72K,0.00%
2023-09-07,1.27,1.2,1.2,1.2,1.70K,0.00%
2023-09-06,1.27,1.19,1.39,1.19,2.97K,0.00%
2023-09-05,1.27,1.19,1.39,1.17,9.32K,0.00%
2023-09-04,1.27,1.35,1.39,1.2,26.85K,0.00%
2023-09-03,1.27,1.17,1.38,1.17,22.06K,0.00%
2023-08-30,1.27,1.3,1.39,1.17,63.18K,0.00%
2023-08-29,1.27,1.23,1.3,1.23,29.50K,0.00%
2023-08-28,1.27,1.16,1.16,1.16,13.00K,0.00%
