Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,14.21,15.63,15.63,15.63,0.79K,-9.09%
2023-12-10,15.63,15.63,15.63,15.63,0.15K,9.99%
2023-12-07,14.21,15.63,15.63,15.63,0.10K,0.00%
2023-12-05,14.21,15.63,15.63,15.63,0.10K,0.00%
2023-12-04,14.21,15.63,15.63,15.63,2.30K,0.00%
2023-12-03,14.21,15.63,15.63,15.63,4.00K,0.00%
2023-11-28,14.21,15.63,15.63,15.63,2.50K,0.00%
2023-11-27,14.21,15.63,15.63,15.63,2.50K,0.00%
2023-11-22,14.21,15.63,15.63,15.63,2.50K,0.00%
2023-11-16,14.21,15.63,15.63,15.63,3.63K,0.00%
2023-11-09,14.21,15.63,15.63,15.63,1.26K,0.00%
2023-11-08,14.21,15.63,15.63,15.63,0.55K,0.00%
2023-11-07,14.21,15.63,15.63,15.63,0.50K,0.00%
2023-11-06,14.21,15.63,15.63,15.63,4.00K,0.00%
2023-11-05,14.21,15.63,15.63,15.63,0.92K,0.00%
2023-11-01,14.21,15.63,15.63,15.63,2.50K,0.00%
2023-10-31,14.21,15.63,15.63,15.63,1.00K,0.00%
2023-10-30,14.21,15.63,15.63,15.63,0.55K,0.00%
2023-10-25,14.21,15.63,15.63,15.63,0.10K,0.00%
2023-10-24,14.21,15.63,15.63,15.63,2.55K,0.00%
2023-10-23,14.21,15.63,15.63,15.63,2.70K,0.00%
2023-10-19,14.21,15.63,15.63,15.63,2.55K,0.00%
2023-10-17,14.21,15.63,15.63,15.63,1.55K,0.00%
2023-10-16,14.21,15.63,15.63,15.63,9.29K,0.00%
2023-10-15,14.21,15.6,15.63,15.6,1.30K,0.00%
2023-10-12,14.21,15.63,15.63,15.6,1.35K,0.00%
2023-10-11,14.21,15.6,15.63,15.6,5.15K,0.00%
2023-10-10,14.21,15.61,15.62,15.61,0.90K,0.00%
2023-10-09,14.21,14.26,15.6,14.26,0.71K,0.00%
2023-10-08,14.21,15.63,15.63,15.0,6.24K,0.00%
2023-10-04,14.21,15.01,15.6,15.0,2.34K,0.00%
2023-10-03,14.21,15.3,15.3,15.0,1.54K,0.00%
2023-10-02,14.21,15.48,15.5,14.51,2.00K,0.00%
2023-10-01,14.21,15.57,15.57,15.1,0.67K,0.00%
2023-09-27,14.21,14.5,15.0,14.5,4.43K,0.00%
2023-09-26,14.21,14.5,14.5,14.5,1.10K,0.00%
2023-09-25,14.21,14.02,14.5,14.02,0.70K,0.00%
2023-09-24,14.21,14.2,14.9,14.02,3.20K,0.00%
2023-09-21,14.21,14.97,14.97,14.5,2.62K,0.00%
2023-09-20,14.21,14.01,14.5,14.01,4.17K,0.00%
2023-09-19,14.21,14.99,14.99,14.25,3.95K,0.00%
2023-09-18,14.21,14.32,14.99,14.32,1.65K,0.00%
2023-09-17,14.21,14.5,14.5,14.5,1.00K,0.00%
2023-09-14,14.21,14.6,14.8,14.6,0.64K,0.00%
2023-09-13,14.21,14.99,15.63,14.5,1.49K,0.00%
2023-09-12,14.21,15.6,15.6,14.12,0.60K,0.00%
2023-09-11,14.21,14.76,15.59,14.76,1.82K,0.00%
2023-09-10,14.21,14.77,14.77,14.3,0.03K,0.00%
2023-09-07,14.21,13.76,13.95,13.76,0.51K,0.00%
2023-09-06,14.21,13.75,13.8,13.75,1.01K,0.00%
2023-09-05,14.21,13.6,13.7,13.6,1.69K,0.00%
2023-09-04,14.21,13.9,14.35,13.9,2.50K,0.00%
2023-09-03,14.21,13.6,14.77,13.1,7.64K,0.00%
2023-08-31,14.21,13.56,13.95,13.22,0.79K,0.00%
2023-08-30,14.21,14.41,15.4,14.18,12.25K,-9.78%
2023-08-29,15.75,14.3,15.5,14.19,2.18K,0.00%
2023-08-28,15.75,15.75,15.75,14.3,0.31K,0.00%
2023-08-27,15.75,15.87,16.0,15.75,12.08K,-10.00%
2023-08-24,17.5,17.6,17.6,15.85,5.41K,0.00%
2023-08-23,17.5,17.75,17.77,15.2,9.93K,8.23%
2023-08-22,16.17,14.7,16.17,14.7,19.72K,10.00%
2023-08-21,14.7,14.96,15.99,14.0,11.00K,-1.74%
2023-08-20,14.96,14.96,14.96,14.96,25.86K,10.00%
2023-08-17,13.6,13.6,13.6,13.6,11.91K,9.94%
2023-08-16,12.37,13.6,13.6,13.6,9.09K,0.00%
2023-08-15,12.37,12.37,12.37,12.37,24.79K,9.96%
2023-08-14,11.25,11.25,11.25,11.23,30.76K,9.97%
2023-08-13,10.23,9.5,10.24,9.5,25.46K,9.88%
2023-08-10,9.31,8.46,9.31,8.46,25.12K,9.92%
2023-08-09,8.47,8.35,8.47,8.35,7.00K,0.00%
2023-08-06,8.47,8.4,8.4,8.4,0.20K,0.00%
2023-07-31,8.47,7.7,7.7,7.7,0.01K,0.00%
2023-07-18,8.47,8.2,8.2,8.2,0.70K,0.00%
2023-07-09,8.47,7.93,7.93,7.93,0.60K,0.00%
2023-06-22,8.47,8.35,8.35,8.35,1.00K,0.00%
2023-06-19,8.47,8.0,8.02,8.0,0.22K,0.00%
2023-06-15,8.47,8.01,8.03,8.01,0.13K,0.00%
2023-06-13,8.47,7.9,7.9,7.9,0.55K,0.00%
2023-06-11,8.47,7.9,7.9,7.9,0.10K,0.00%
2023-06-08,8.47,8.2,8.2,8.2,0.41K,0.00%
2023-06-07,8.47,8.22,8.22,8.2,2.00K,0.00%
2023-06-06,8.47,8.3,8.3,8.18,3.00K,0.00%
2023-06-05,8.47,8.15,8.15,8.15,5.00K,0.00%
2023-06-04,8.47,8.05,8.59,8.05,0.19K,0.00%
2023-06-01,8.47,8.1,8.1,8.1,0.01K,0.00%
2023-05-30,8.47,7.8,8.74,7.8,3.85K,0.00%
2023-05-28,8.47,8.5,8.5,8.1,2.00K,0.00%
2023-05-18,8.47,8.15,8.4,8.15,2.50K,0.00%
2023-05-15,8.47,8.01,8.01,8.01,2.78K,0.00%
2023-05-11,8.47,8.26,8.78,7.91,6.93K,0.00%
2023-05-09,8.47,8.3,8.31,8.25,2.45K,0.00%
2023-05-08,8.47,8.4,8.4,8.28,1.50K,0.00%
2023-05-07,8.47,8.4,8.4,8.4,0.25K,0.00%
2023-05-03,8.47,8.01,8.01,8.01,1.00K,0.00%
2023-05-02,8.47,8.5,8.5,8.0,17.00K,0.00%
2023-05-01,8.47,9.0,9.0,9.0,0.55K,0.00%
2023-04-30,8.47,8.51,8.51,8.47,22.08K,-9.99%
2023-04-27,9.41,8.65,8.65,8.65,0.60K,0.00%
2023-04-12,9.41,9.05,9.05,8.75,12.28K,0.00%
2023-04-06,9.41,9.0,9.0,9.0,5.80K,0.00%
2023-04-05,9.41,9.0,9.5,9.0,1.34K,0.00%
2023-04-04,9.41,8.9,8.9,8.8,1.38K,0.00%
2023-03-30,9.41,9.15,9.15,9.0,1.84K,0.00%
2023-03-29,9.41,9.2,9.2,9.2,6.00K,0.00%
2023-03-28,9.41,9.5,9.5,9.5,0.15K,0.00%
2023-03-27,9.41,9.5,9.8,9.1,5.46K,0.00%
2023-03-26,9.41,9.8,9.8,9.8,0.00K,0.00%
2023-03-21,9.41,9.41,9.41,9.41,1.70K,0.00%
2023-03-20,9.41,9.41,9.41,9.41,12.00K,0.00%
2023-03-19,9.41,8.7,8.7,8.7,0.43K,0.00%
2023-03-16,9.41,8.9,8.9,8.9,1.00K,0.00%
2023-03-13,9.41,8.9,8.9,8.9,0.00K,0.00%
2023-03-12,9.41,9.8,9.8,9.8,0.00K,0.00%
2023-03-09,9.41,9.44,10.25,9.44,4.12K,0.00%
2023-03-08,9.41,9.1,9.49,8.61,3.57K,0.00%
2023-03-06,9.41,9.49,9.49,9.49,0.94K,0.00%
2023-03-05,9.41,10.22,10.22,10.0,0.24K,0.00%
2023-03-01,9.41,9.7,10.25,9.4,19.48K,-0.95%
2023-02-28,9.5,9.98,9.98,9.7,0.50K,0.00%
2023-02-27,9.5,8.56,9.1,8.56,10.90K,0.00%
2023-02-26,9.5,9.11,9.11,9.11,0.50K,0.00%
2023-02-23,9.5,9.11,9.5,9.11,1.21K,0.00%
2023-02-22,9.5,8.95,9.4,8.55,11.56K,0.00%
2023-02-20,9.5,9.22,9.47,8.61,1.23K,0.00%
2023-02-19,9.5,9.48,9.48,9.48,0.00K,0.00%
2023-02-16,9.5,9.25,9.25,9.22,1.00K,0.00%
2023-02-15,9.5,9.25,9.25,9.2,2.00K,0.00%
2023-02-14,9.5,9.25,9.5,9.25,3.54K,0.00%
2023-02-13,9.5,9.5,9.5,9.5,0.54K,0.00%
2023-02-09,9.5,9.49,9.5,9.49,3.00K,0.00%
2023-02-08,9.5,9.5,9.5,9.5,0.01K,0.00%
2023-02-06,9.5,9.5,9.5,9.5,12.97K,0.00%
2023-02-05,9.5,9.1,9.1,9.1,0.00K,0.00%
2023-02-02,9.5,9.5,9.5,9.49,17.17K,3.26%
2023-02-01,9.2,9.4,9.52,9.4,5.45K,0.00%
2023-01-30,9.2,9.3,9.3,9.1,2.70K,0.00%
2023-01-23,9.2,9.35,9.35,9.07,1.25K,0.00%
2023-01-22,9.2,9.35,9.35,9.35,2.38K,0.00%
2023-01-15,9.2,9.25,9.25,9.17,0.45K,0.00%
2023-01-12,9.2,9.5,9.78,9.4,2.02K,0.00%
2023-01-11,9.2,9.5,9.5,9.5,2.00K,0.00%
2023-01-10,9.2,9.3,9.3,9.3,9.50K,0.00%
2023-01-09,9.2,9.2,9.8,9.05,0.80K,0.00%
2023-01-05,9.2,9.01,9.8,9.01,0.29K,0.00%
2023-01-04,9.2,9.33,9.33,9.01,1.77K,0.00%
2023-01-02,9.2,9.3,9.8,9.3,0.63K,0.00%
2022-12-29,9.2,9.3,9.37,9.3,0.93K,0.00%
2022-12-28,9.2,9.88,9.9,9.55,1.60K,0.00%
2022-12-27,9.2,9.4,9.98,8.9,5.08K,0.00%
2022-12-26,9.2,9.48,9.48,9.48,0.18K,0.00%
2022-12-25,9.2,9.49,9.49,9.49,0.00K,0.00%
2022-12-22,9.2,8.8,9.0,8.76,10.74K,0.00%
2022-12-21,9.2,8.75,8.75,8.7,1.26K,0.00%
2022-12-20,9.2,9.05,9.98,8.7,2.50K,0.00%
2022-12-19,9.2,8.6,9.1,8.6,2.38K,0.00%
2022-12-18,9.2,9.2,9.2,9.2,1.19K,0.00%
2022-12-15,9.2,8.62,9.12,8.62,0.51K,0.00%
2022-12-14,9.2,8.9,9.14,8.9,2.34K,0.00%
2022-12-13,9.2,8.9,9.18,8.9,1.18K,0.00%
2022-12-11,9.2,8.7,8.7,8.7,0.24K,0.00%
2022-12-06,9.2,8.88,8.91,8.88,7.12K,0.00%
2022-12-05,9.2,8.89,8.89,8.89,2.00K,0.00%
2022-12-04,9.2,8.71,8.9,8.71,2.91K,0.00%
2022-12-01,9.2,8.61,8.61,8.61,0.00K,0.00%
2022-11-30,9.2,8.52,8.89,8.5,5.41K,0.00%
2022-11-29,9.2,8.9,8.9,8.5,13.75K,0.00%
2022-11-28,9.2,8.41,8.41,8.41,0.01K,0.00%
2022-11-24,9.2,8.51,8.51,8.51,0.22K,0.00%
2022-11-23,9.2,8.5,8.9,8.5,11.65K,0.00%
2022-11-22,9.2,8.51,8.51,8.5,10.00K,0.00%
2022-11-20,9.2,8.9,8.9,8.89,5.24K,0.00%
2022-11-17,9.2,8.9,8.9,8.9,1.18K,0.00%
2022-11-16,9.2,8.5,8.5,8.5,2.00K,0.00%
2022-11-15,9.2,8.5,8.5,8.5,1.49K,0.00%
2022-11-14,9.2,8.5,8.5,8.5,1.88K,0.00%
2022-11-10,9.2,8.5,8.5,8.5,3.53K,0.00%
2022-11-09,9.2,8.5,8.51,8.5,10.35K,0.00%
2022-11-08,9.2,8.5,8.51,8.5,11.50K,0.00%
2022-11-07,9.2,8.32,8.5,8.32,4.95K,0.00%
2022-11-06,9.2,8.31,8.8,8.31,0.01K,0.00%
2022-11-03,9.2,8.52,8.52,8.38,3.55K,0.00%
2022-11-02,9.2,8.5,8.5,8.5,0.84K,0.00%
2022-10-31,9.2,8.5,8.5,8.31,0.90K,0.00%
2022-10-30,9.2,8.88,8.88,8.87,1.45K,0.00%
2022-10-27,9.2,8.99,9.0,8.33,4.01K,0.00%
2022-10-25,9.2,8.94,8.94,8.94,0.14K,0.00%
2022-10-24,9.2,8.38,8.38,8.38,1.52K,0.00%
2022-10-19,9.2,8.55,8.55,8.52,3.21K,0.00%
2022-10-18,9.2,8.36,8.99,8.31,1.31K,0.00%
2022-10-17,9.2,9.0,9.0,8.66,1.68K,0.00%
2022-10-16,9.2,8.99,9.0,8.99,2.22K,0.00%
2022-10-13,9.2,8.99,8.99,8.99,0.15K,0.00%
2022-10-12,9.2,8.41,8.41,8.3,1.93K,0.00%
2022-10-11,9.2,8.38,8.38,8.38,0.00K,0.00%
2022-10-09,9.2,8.33,9.0,8.33,0.50K,0.00%
2022-09-28,9.2,8.9,8.9,8.86,1.40K,0.00%
2022-09-27,9.2,8.99,8.99,8.92,1.60K,0.00%
2022-09-26,9.2,8.5,9.2,8.5,3.16K,0.00%
2022-09-22,9.2,8.35,8.35,8.28,3.97K,0.00%
2022-09-20,9.2,8.31,8.31,8.31,1.48K,0.00%
2022-09-12,9.2,9.5,9.5,8.65,3.00K,0.00%
2022-09-11,9.2,9.97,9.97,9.5,1.03K,0.00%
2022-09-07,9.2,9.15,9.2,9.14,25.26K,9.92%
2022-09-06,8.37,8.25,8.37,8.25,28.80K,9.99%
2022-09-05,7.61,8.37,8.37,7.71,1.56K,0.00%
2022-08-28,7.61,8.37,8.37,8.37,3.27K,0.00%
2022-08-24,7.61,8.37,8.37,8.37,0.02K,0.00%
2022-08-23,7.61,8.37,8.37,8.37,1.84K,0.00%
2022-08-22,7.61,8.35,8.37,8.35,3.84K,0.00%
2022-08-21,7.61,8.2,8.35,8.2,2.18K,0.00%
2022-08-18,7.61,8.16,8.18,8.16,1.30K,0.00%
2022-08-17,7.61,7.71,7.71,7.65,5.66K,0.00%
2022-08-16,7.61,8.3,8.3,8.3,0.26K,0.00%
2022-08-15,7.61,8.35,8.36,8.3,2.17K,0.00%
2022-08-14,7.61,8.36,8.36,8.36,0.45K,0.00%
2022-08-09,7.61,8.34,8.36,8.34,1.00K,0.00%
2022-08-08,7.61,8.35,8.36,8.34,2.19K,0.00%
2022-08-07,7.61,8.36,8.36,8.36,0.00K,0.00%
2022-08-03,7.61,7.61,7.61,7.61,0.01K,0.00%
2022-07-19,7.61,7.61,7.61,7.61,1.14K,0.00%
2022-07-05,7.61,7.1,7.1,7.1,5.00K,0.00%
2022-07-04,7.61,7.62,7.62,7.5,4.27K,0.00%
2022-07-03,7.61,7.5,7.5,7.5,2.00K,0.00%
2022-06-20,7.61,8.36,8.36,7.56,21.80K,-9.30%
2022-06-19,8.39,8.36,8.36,8.36,0.05K,0.00%
2022-06-16,8.39,8.36,8.36,8.36,0.03K,0.00%
2022-06-09,8.39,8.39,8.39,8.38,13.15K,0.00%
2022-06-07,8.39,8.39,9.0,8.38,23.48K,-22.39%
