Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.063,0.957,0.957,0.957,4.61K,11.08%
2023-12-10,0.957,0.957,0.957,0.957,0.21K,-9.97%
2023-12-07,1.063,0.957,0.957,0.957,5.15K,0.00%
2023-12-06,1.063,0.957,0.957,0.957,0.50K,0.00%
2023-12-05,1.063,0.957,0.957,0.957,0.42K,0.00%
2023-12-04,1.063,0.957,0.957,0.957,1.48K,0.00%
2023-12-03,1.063,0.957,0.957,0.957,0.51K,0.00%
2023-11-30,1.063,0.957,0.957,0.957,18.52K,0.00%
2023-11-29,1.063,0.957,0.957,0.957,0.62K,0.00%
2023-11-28,1.063,0.957,0.957,0.957,1.06K,0.00%
2023-11-27,1.063,0.957,0.957,0.957,50.60K,0.00%
2023-11-26,1.063,0.957,0.957,0.957,6.48K,0.00%
2023-11-23,1.063,0.957,0.957,0.957,32.65K,0.00%
2023-11-22,1.063,0.957,0.957,0.957,6.30K,0.00%
2023-11-20,1.063,0.957,0.957,0.957,0.16K,0.00%
2023-11-19,1.063,0.957,0.957,0.957,0.12K,0.00%
2023-11-16,1.063,0.957,0.957,0.957,11.08K,0.00%
2023-11-14,1.063,0.957,0.957,0.957,42.01K,0.00%
2023-11-12,1.063,0.957,0.957,0.957,2.10K,0.00%
2023-11-09,1.063,0.957,0.957,0.957,1.10K,0.00%
2023-11-02,1.063,0.957,0.957,0.957,1.00K,0.00%
2023-11-01,1.063,0.957,0.957,0.957,0.10K,0.00%
2023-10-31,1.063,0.957,0.957,0.957,1.46K,0.00%
2023-10-30,1.063,0.957,0.957,0.957,7.97K,0.00%
2023-10-26,1.063,0.957,0.957,0.957,28.10K,0.00%
2023-10-25,1.063,0.957,0.957,0.957,3.21K,0.00%
2023-10-24,1.063,0.957,0.957,0.957,2.34K,0.00%
2023-10-23,1.063,0.957,0.957,0.957,5.35K,0.00%
2023-10-22,1.063,0.957,0.957,0.957,0.51K,0.00%
2023-10-18,1.063,0.957,0.957,0.957,0.01K,0.00%
2023-10-17,1.063,0.957,0.957,0.957,0.45K,0.00%
2023-10-16,1.063,0.957,0.957,0.957,15.49K,0.00%
2023-10-15,1.063,0.957,0.957,0.957,0.65K,0.00%
2023-10-12,1.063,0.957,0.957,0.957,10.01K,0.00%
2023-10-11,1.063,0.957,0.957,0.957,0.04K,0.00%
2023-10-10,1.063,0.957,0.957,0.957,0.05K,0.00%
2023-10-09,1.063,0.957,0.957,0.957,0.03K,0.00%
2023-10-08,1.063,0.957,0.957,0.957,20.10K,0.00%
2023-10-04,1.063,0.957,0.96,0.957,20.00K,0.00%
2023-10-03,1.063,0.957,0.98,0.957,26.10K,0.00%
2023-10-02,1.063,0.957,0.957,0.957,10.00K,0.00%
2023-10-01,1.063,0.957,0.999,0.957,54.79K,0.00%
2023-09-27,1.063,0.957,0.957,0.957,1.36K,0.00%
2023-09-26,1.063,0.97,0.97,0.957,2.80K,0.00%
2023-09-25,1.063,0.997,0.997,0.957,65.83K,0.00%
2023-09-24,1.063,0.999,0.999,0.957,14.75K,0.00%
2023-09-21,1.063,0.96,1.0,0.957,60.34K,0.00%
2023-09-20,1.063,1.049,1.049,0.958,41.25K,0.00%
2023-09-19,1.063,1.001,1.05,0.985,74.20K,0.00%
2023-09-18,1.063,1.02,1.027,0.957,53.72K,0.00%
2023-09-17,1.063,1.022,1.04,0.98,102.77K,0.00%
2023-09-14,1.063,1.003,1.1,1.0,190.06K,-24.23%
2023-09-13,1.403,1.329,1.419,1.29,487.44K,8.76%
2023-09-12,1.29,1.309,1.34,1.252,64.35K,0.00%
2023-09-11,1.29,1.3,1.339,1.222,81.45K,0.00%
2023-09-10,1.29,1.365,1.365,1.288,75.30K,0.00%
2023-09-07,1.29,1.3,1.4,1.2,170.57K,0.00%
2023-09-06,1.29,1.4,1.4,1.22,163.63K,-4.44%
2023-09-05,1.35,1.45,1.45,1.3,196.00K,-79.58%
2023-09-04,6.61,6.6,6.61,6.25,25.41K,9.98%
2023-09-03,6.01,6.13,6.6,6.11,11.29K,0.00%
2023-08-31,6.01,6.6,6.6,6.12,18.69K,0.00%
2023-08-30,6.01,6.0,6.6,6.0,6.27K,0.00%
2023-08-29,6.01,6.0,6.0,5.7,1.23K,0.00%
2023-08-28,6.01,6.1,6.4,6.1,5.00K,0.00%
2023-08-24,6.01,5.69,6.01,5.69,0.95K,0.00%
2023-08-23,6.01,5.65,6.49,5.65,1.05K,0.00%
2023-08-22,6.01,6.45,6.45,5.62,1.03K,0.00%
2023-08-21,6.01,5.95,6.59,5.95,2.59K,0.00%
2023-08-20,6.01,6.08,6.18,5.1,25.17K,6.94%
2023-08-16,5.62,5.62,5.62,5.51,0.35K,0.00%
