Date,Price,Open,High,Low,Vol.,Change %
2021-07-14,119.09,141.0,149.9,101.01,0.32K,-23.55%
2021-07-12,155.77,165.0,165.0,164.99,0.01K,0.00%
2021-07-07,155.77,144.0,164.99,144.0,0.01K,0.00%
2021-07-05,155.77,144.0,144.0,144.0,0.10K,0.00%
2021-06-30,155.77,144.44,144.44,144.44,0.00K,0.00%
2021-06-21,155.77,164.88,164.88,164.88,0.00K,0.00%
2021-06-16,155.77,127.0,127.0,125.0,0.05K,0.00%
2021-06-14,155.77,135.01,135.01,135.01,0.02K,0.00%
2021-06-09,155.77,140.01,140.01,140.0,0.04K,0.00%
2021-06-02,155.77,105.02,157.9,105.02,0.77K,-3.09%
2021-05-26,160.74,100.07,160.0,100.07,0.07K,0.00%
2021-05-24,160.74,155.54,163.48,155.53,0.39K,-2.41%
2021-05-17,164.71,127.03,165.0,102.01,0.05K,0.00%
2021-05-10,164.71,151.0,168.0,151.0,0.60K,17.91%
2021-04-12,139.69,158.96,158.96,158.96,0.02K,0.00%
2021-04-07,139.69,156.92,156.92,156.92,0.02K,0.00%
2021-04-05,139.69,120.11,156.98,120.1,0.22K,-9.47%
2021-03-31,154.31,144.97,159.97,144.55,1.58K,12.07%
2021-03-29,137.69,138.0,142.0,133.33,0.20K,13.67%
2021-03-22,121.13,135.0,140.0,135.0,0.05K,0.00%
2021-03-17,121.13,120.01,120.01,120.0,0.05K,0.00%
2021-03-15,121.13,121.16,121.16,121.11,0.65K,-17.41%
2021-03-10,146.67,155.0,155.0,140.0,0.34K,7.70%
2021-03-08,136.18,144.0,144.0,125.0,0.26K,-5.11%
2021-03-03,143.51,144.44,144.44,140.0,0.19K,-4.33%
2021-02-24,150.0,150.0,150.0,150.0,0.16K,6.56%
2021-02-22,140.76,150.0,150.0,140.0,0.09K,0.00%
2021-02-17,140.76,145.0,170.0,121.5,0.25K,-13.63%
2021-02-15,162.98,162.0,163.96,162.0,0.40K,-5.92%
2021-02-10,173.24,173.0,173.7,173.0,0.25K,6.96%
2021-02-08,161.96,150.0,167.9,149.89,2.05K,8.96%
2021-02-03,148.64,150.0,165.0,140.0,1.14K,15.75%
2021-02-01,128.42,130.0,149.99,125.0,2.28K,-1.22%
2021-01-25,130.0,129.99,130.0,129.99,0.16K,0.02%
2021-01-18,129.98,130.0,130.0,130.0,0.03K,0.00%
