Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,192.47,187.16,187.16,186.0,0.04K,2.70%
2023-12-10,187.41,192.0,193.0,185.81,0.29K,-2.63%
2023-12-07,192.47,192.4,192.4,190.0,0.94K,0.00%
2023-12-06,192.47,191.1,194.0,191.1,0.39K,0.00%
2023-12-05,192.47,190.07,191.2,190.07,0.19K,0.00%
2023-12-04,192.47,190.06,195.0,190.06,0.92K,0.00%
2023-12-03,192.47,190.0,190.09,188.9,0.08K,0.00%
2023-11-30,192.47,190.01,192.0,190.0,1.19K,0.00%
2023-11-29,192.47,196.0,196.0,188.02,0.67K,0.00%
2023-11-28,192.47,192.0,193.25,192.0,1.64K,0.75%
2023-11-27,191.03,191.0,196.0,190.0,3.25K,0.37%
2023-11-26,190.32,196.97,196.97,190.0,4.84K,-2.27%
2023-11-23,194.75,194.65,196.0,194.5,0.27K,0.00%
2023-11-22,194.75,191.5,215.0,191.5,1.33K,0.00%
2023-11-21,194.75,193.0,196.79,193.0,0.35K,0.00%
2023-11-20,194.75,195.99,197.0,190.31,1.55K,-11.19%
2023-11-19,219.29,190.0,194.99,189.0,0.37K,0.00%
2023-11-16,219.29,188.0,194.88,185.17,1.30K,0.00%
2023-11-15,219.29,188.45,188.99,185.17,0.69K,0.00%
2023-11-14,219.29,185.12,189.0,185.12,0.33K,0.00%
2023-11-13,219.29,183.5,188.99,183.5,0.14K,0.00%
2023-11-12,219.29,187.6,194.0,182.0,1.13K,0.00%
2023-11-09,219.29,186.01,195.99,186.01,0.63K,0.00%
2023-11-08,219.29,186.01,190.0,186.01,0.83K,0.00%
2023-11-07,219.29,183.0,200.0,183.0,1.51K,0.00%
2023-11-06,219.29,182.0,188.5,182.0,0.38K,0.00%
2023-11-05,219.29,180.25,189.99,176.01,0.49K,0.00%
2023-11-02,219.29,190.97,191.0,176.01,0.77K,0.00%
2023-11-01,219.29,190.7,195.99,189.5,1.29K,0.00%
2023-10-31,219.29,195.0,201.0,190.0,0.89K,0.00%
2023-10-30,219.29,211.9,211.9,187.0,1.41K,0.00%
2023-10-29,219.29,218.69,224.0,215.0,3.83K,1.59%
2023-10-26,215.86,217.99,217.99,212.03,1.81K,2.17%
2023-10-25,211.28,218.85,218.85,210.5,0.88K,0.00%
2023-10-24,211.28,219.98,219.98,209.2,2.01K,0.99%
2023-10-23,209.2,210.0,220.0,206.01,2.27K,-3.85%
2023-10-22,217.58,218.99,225.0,202.0,1.40K,5.26%
2023-10-19,206.71,194.0,226.88,194.0,2.06K,8.54%
2023-10-18,190.44,190.0,194.95,187.6,1.99K,16.69%
2023-10-17,163.2,191.0,191.0,187.21,0.38K,0.00%
2023-10-16,163.2,190.0,191.5,187.1,0.90K,0.00%
2023-10-15,163.2,189.96,191.0,185.01,0.57K,0.00%
2023-10-12,163.2,186.0,186.2,185.01,0.15K,0.00%
2023-10-11,163.2,189.99,190.0,185.0,0.17K,0.00%
2023-10-10,163.2,188.0,190.0,188.0,0.31K,0.00%
2023-10-09,163.2,180.0,189.0,180.0,0.23K,0.00%
2023-10-08,163.2,184.51,190.0,180.0,0.95K,0.00%
2023-10-04,163.2,184.5,188.0,184.5,0.17K,0.00%
2023-10-03,163.2,186.6,188.0,184.0,0.70K,0.00%
2023-10-02,163.2,186.5,189.99,185.0,0.84K,0.00%
2023-10-01,163.2,182.01,188.98,182.0,0.57K,0.00%
2023-09-27,163.2,189.98,189.98,181.0,0.31K,0.00%
2023-09-26,163.2,185.6,190.49,184.03,0.20K,0.00%
2023-09-25,163.2,190.5,191.75,186.2,0.31K,0.00%
2023-09-24,163.2,191.75,191.75,189.0,0.03K,0.00%
