Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,70.98,72.25,73.5,70.0,15.61K,-1.77%
2023-12-10,72.26,79.89,80.0,72.26,34.05K,-7.35%
2023-12-07,77.99,78.0,80.0,75.27,33.52K,-1.20%
2023-12-06,78.94,82.0,82.96,78.2,51.04K,-4.21%
2023-12-05,82.41,83.34,83.34,81.2,22.45K,0.29%
2023-12-04,82.17,82.95,83.99,81.52,36.49K,-0.92%
2023-12-03,82.93,82.7,85.9,82.55,44.04K,0.47%
2023-11-30,82.54,82.44,87.99,82.12,86.85K,2.27%
2023-11-29,80.71,83.0,83.5,79.5,51.29K,-0.65%
2023-11-28,81.24,80.8,85.0,80.8,40.06K,0.61%
2023-11-27,80.75,84.84,85.98,79.5,45.34K,-4.82%
2023-11-26,84.84,79.11,91.0,79.11,93.87K,7.38%
2023-11-23,79.01,80.0,82.0,78.7,53.38K,-0.42%
2023-11-22,79.34,73.0,84.0,72.6,79.18K,10.10%
2023-11-21,72.06,71.13,73.0,71.13,15.62K,0.00%
2023-11-20,72.06,73.99,73.99,71.2,20.78K,-1.45%
2023-11-19,73.12,73.79,74.7,71.51,30.63K,-0.16%
2023-11-16,73.24,72.4,75.5,72.33,27.41K,1.17%
2023-11-15,72.39,74.0,74.48,72.04,33.31K,-1.79%
2023-11-14,73.71,73.44,75.75,72.7,36.66K,4.12%
2023-11-13,70.79,74.89,75.4,68.51,38.35K,-3.80%
2023-11-12,73.59,75.7,78.0,72.71,30.29K,-1.72%
2023-11-09,74.88,73.0,83.0,70.31,121.29K,2.94%
2023-11-08,72.74,76.98,76.99,72.16,36.52K,-1.97%
2023-11-07,74.2,77.99,81.0,73.73,64.89K,-4.64%
2023-11-06,77.81,87.99,87.99,70.2,71.85K,-7.58%
2023-11-05,84.19,85.0,93.87,84.0,110.15K,4.38%
2023-11-02,80.66,71.74,80.66,68.05,125.25K,19.99%
2023-11-01,67.22,75.01,79.0,60.6,62.41K,-10.27%
2023-10-31,74.91,74.67,83.0,73.5,90.49K,0.32%
2023-10-30,74.67,79.75,85.0,71.0,122.28K,-6.38%
2023-10-29,79.76,99.98,105.0,79.76,208.58K,-19.99%
2023-10-26,99.69,91.0,99.69,85.5,240.81K,19.99%
2023-10-25,83.08,73.99,83.08,71.95,136.39K,19.99%
2023-10-24,69.24,60.5,69.24,48.1,220.72K,20.00%
2023-10-23,57.7,55.5,57.7,55.5,147.40K,19.98%
2023-10-22,48.09,43.25,48.09,42.5,106.29K,19.99%
2023-10-19,40.08,43.79,45.0,39.61,97.76K,-5.43%
2023-10-18,42.38,34.76,42.39,34.53,99.79K,19.95%
2023-10-17,35.33,34.12,35.5,34.12,1.69K,0.00%
2023-10-16,35.33,35.9,36.0,35.0,2.55K,0.00%
2023-10-15,35.33,35.3,36.4,35.3,5.10K,0.00%
2023-10-12,35.33,35.0,35.01,35.0,2.12K,0.00%
2023-10-11,35.33,34.0,35.0,34.0,1.77K,0.00%
2023-10-10,35.33,33.1,35.33,33.1,3.12K,0.00%
2023-10-09,35.33,32.52,34.7,31.52,6.57K,0.00%
2023-10-08,35.33,34.51,35.0,31.51,3.56K,0.00%
2023-10-04,35.33,35.0,35.0,34.5,2.35K,0.00%
2023-10-03,35.33,35.51,35.51,34.5,1.52K,0.00%
2023-10-02,35.33,35.75,36.26,35.01,6.42K,0.00%
2023-10-01,35.33,36.03,36.03,34.01,13.83K,-4.64%
2023-09-27,37.05,37.0,37.05,35.75,6.60K,0.00%
2023-09-26,37.05,36.8,37.35,36.7,4.56K,0.00%
2023-09-25,37.05,36.4,37.39,36.37,5.75K,0.00%
2023-09-24,37.05,36.95,37.55,36.25,11.14K,2.43%
2023-09-21,36.17,35.8,36.95,35.77,7.75K,0.00%
2023-09-20,36.17,37.12,37.12,35.75,14.64K,-2.48%
2023-09-19,37.09,37.02,37.07,37.0,4.36K,0.00%
2023-09-18,37.09,37.0,37.4,37.0,9.28K,-0.64%
2023-09-17,37.33,37.85,37.85,36.9,6.81K,0.00%
2023-09-14,37.33,36.32,37.5,36.32,0.46K,0.00%
2023-09-13,37.33,36.99,37.9,36.99,18.77K,3.87%
2023-09-12,35.94,36.5,36.5,35.94,4.68K,0.00%
2023-09-11,35.94,36.86,36.95,35.65,15.56K,-2.44%
2023-09-10,36.84,38.0,38.0,36.14,2.89K,0.00%
2023-09-07,36.84,36.51,36.51,36.31,2.22K,0.00%
2023-09-06,36.84,37.25,37.5,36.25,8.51K,-3.15%
2023-09-05,38.04,38.0,38.0,37.16,7.12K,0.00%
2023-09-04,38.04,37.9,39.4,37.01,21.97K,1.98%
2023-09-03,37.3,36.61,39.4,36.3,48.21K,3.04%
2023-08-31,36.2,36.84,36.84,36.22,6.72K,0.00%
2023-08-30,36.2,36.6,36.6,36.1,7.45K,0.00%
2023-08-29,36.2,36.89,37.34,36.0,43.20K,-0.36%
2023-08-28,36.33,36.57,37.0,35.64,7.49K,0.00%
2023-08-27,36.33,36.0,37.0,36.0,12.45K,-0.79%
2023-08-24,36.62,37.0,37.0,35.56,5.41K,0.00%
2023-08-23,36.62,37.46,38.5,36.0,19.12K,2.18%
2023-08-22,35.84,37.03,37.03,35.56,22.64K,-3.37%
2023-08-21,37.09,38.0,38.0,36.55,11.65K,-1.17%
2023-08-20,37.53,38.97,39.4,37.05,20.41K,-0.32%
2023-08-17,37.65,34.11,40.25,34.1,108.17K,9.89%
2023-08-16,34.26,34.18,34.99,34.15,1.31K,0.00%
2023-08-15,34.26,34.01,34.6,34.0,4.42K,0.00%
2023-08-14,34.26,34.05,34.05,34.05,0.01K,0.00%
2023-08-13,34.26,34.3,34.3,33.6,1.10K,0.00%
2023-08-10,34.26,34.0,34.0,33.82,3.13K,0.00%
2023-08-09,34.26,35.0,35.0,33.75,4.90K,0.00%
2023-08-08,34.26,33.95,35.75,33.71,34.39K,1.24%
2023-08-07,33.84,33.6,33.95,33.52,1.11K,0.00%
2023-08-06,33.84,33.59,34.0,33.5,3.34K,0.00%
2023-08-03,33.84,33.6,33.99,33.55,1.50K,0.00%
2023-08-02,33.84,34.0,34.0,33.6,1.17K,0.00%
2023-08-01,33.84,33.7,34.34,33.6,1.38K,0.00%
2023-07-31,33.84,34.25,34.25,33.75,1.18K,0.00%
2023-07-30,33.84,34.21,34.32,33.6,7.60K,0.00%
2023-07-27,33.84,33.4,34.2,33.4,6.51K,0.00%
2023-07-26,33.84,33.36,33.84,33.36,1.38K,0.00%
2023-07-25,33.84,34.3,34.32,33.33,2.80K,0.00%
2023-07-24,33.84,34.0,34.4,33.45,3.77K,0.00%
2023-07-19,33.84,33.51,34.55,33.5,4.44K,0.00%
2023-07-18,33.84,33.41,34.0,33.41,1.79K,0.00%
2023-07-17,33.84,34.3,34.35,33.8,14.66K,-0.12%
2023-07-16,33.88,35.0,35.0,34.01,1.46K,0.00%
2023-07-13,33.88,34.98,34.99,33.5,9.52K,-3.91%
2023-07-12,35.26,34.31,35.26,33.3,6.11K,0.00%
2023-07-11,35.26,34.01,35.35,34.01,1.89K,0.00%
2023-07-10,35.26,32.51,34.8,32.51,0.44K,0.00%
2023-07-09,35.26,34.4,35.26,34.0,1.76K,0.00%
2023-07-06,35.26,35.31,35.31,34.55,6.76K,0.00%
2023-07-05,35.26,34.96,35.84,34.43,16.89K,-0.14%
2023-07-04,35.31,35.0,35.31,34.5,2.92K,0.00%
2023-06-26,35.31,34.5,35.31,34.1,2.10K,0.00%
2023-06-25,35.31,35.0,35.0,35.0,0.20K,0.00%
2023-06-22,35.31,35.94,35.99,35.0,2.60K,0.00%
2023-06-21,35.31,35.11,36.0,34.1,8.14K,0.00%
2023-06-20,35.31,35.01,35.9,34.95,4.28K,0.00%
2023-06-19,35.31,35.31,35.47,34.52,6.83K,0.00%
2023-06-18,35.31,35.87,35.87,35.06,3.09K,0.00%
2023-06-15,35.31,35.87,35.87,35.03,4.82K,0.00%
2023-06-14,35.31,35.5,35.85,35.0,11.56K,-4.98%
2023-06-13,37.16,35.5,37.16,35.5,3.97K,0.00%
2023-06-11,37.16,35.3,36.25,35.11,4.00K,0.00%
2023-06-08,37.16,35.01,37.16,35.01,5.10K,0.00%
2023-06-07,37.16,35.51,37.16,35.02,7.38K,0.00%
2023-06-06,37.16,35.52,36.0,35.5,6.67K,0.00%
2023-06-05,37.16,36.36,36.36,35.5,3.21K,0.00%
2023-06-04,37.16,36.46,36.69,36.36,4.85K,0.00%
2023-06-01,37.16,36.36,37.0,36.36,4.33K,0.00%
2023-05-31,37.16,36.89,37.65,36.34,7.26K,0.00%
2023-05-30,37.16,37.6,37.6,36.5,6.76K,0.00%
2023-05-29,37.16,35.46,37.75,35.46,17.55K,3.31%
2023-05-28,35.97,34.62,36.0,34.55,4.45K,0.00%
2023-05-25,35.97,35.21,36.0,35.03,6.04K,0.00%
2023-05-24,35.97,34.77,36.5,34.77,17.67K,0.08%
2023-05-23,35.94,33.51,34.93,33.5,5.24K,0.00%
2023-05-22,35.94,34.49,34.94,34.2,4.24K,0.00%
2023-05-21,35.94,33.56,34.5,33.25,6.11K,0.00%
2023-05-18,35.94,34.03,34.03,33.1,1.00K,0.00%
2023-05-17,35.94,34.5,35.1,34.27,7.95K,0.00%
2023-05-16,35.94,34.1,34.55,34.1,4.85K,0.00%
2023-05-15,35.94,35.25,36.0,34.5,4.73K,0.00%
2023-05-14,35.94,36.94,36.94,33.05,5.01K,0.00%
2023-05-11,35.94,36.19,36.19,35.8,3.53K,0.00%
2023-05-10,35.94,36.4,36.4,35.76,9.90K,-2.65%
2023-05-09,36.92,35.8,37.7,35.0,31.31K,5.79%
2023-05-08,34.9,35.63,35.63,34.79,13.04K,-3.27%
2023-05-07,36.08,34.05,35.9,34.05,6.24K,0.00%
2023-05-03,36.08,35.0,35.5,34.51,2.41K,0.00%
2023-05-02,36.08,34.8,35.49,34.0,3.90K,0.00%
2023-05-01,36.08,35.9,35.9,34.85,4.67K,0.00%
2023-04-30,36.08,36.11,36.5,35.7,7.40K,0.00%
2023-04-27,36.08,35.63,36.11,35.01,11.05K,-1.29%
2023-04-26,36.55,36.62,36.62,35.5,5.95K,0.00%
2023-04-19,36.55,36.3,36.7,36.0,3.08K,0.00%
2023-04-18,36.55,37.38,37.38,36.21,7.34K,0.00%
2023-04-13,36.55,36.56,36.61,36.41,14.05K,-0.49%
2023-04-12,36.73,36.9,37.79,36.5,8.26K,-1.08%
2023-04-11,37.13,36.43,37.38,36.43,3.62K,0.00%
2023-04-10,37.13,36.83,36.83,36.41,5.12K,0.00%
2023-04-09,37.13,37.65,37.77,36.53,3.62K,0.00%
2023-04-06,37.13,37.5,37.9,36.52,5.79K,0.00%
2023-04-05,37.13,38.24,39.0,37.02,24.53K,-2.06%
2023-04-04,37.91,36.4,38.0,36.4,16.40K,4.29%
2023-04-03,36.35,37.0,37.4,36.35,6.24K,0.00%
2023-04-02,36.35,35.0,37.0,34.83,9.70K,3.89%
2023-03-30,34.99,35.75,36.0,34.73,11.90K,-1.74%
2023-03-29,35.61,35.9,36.8,35.5,8.90K,-0.95%
2023-03-28,35.95,36.5,36.99,35.66,16.42K,-0.61%
2023-03-27,36.17,37.1,37.5,36.01,21.35K,-3.11%
2023-03-26,37.33,37.95,38.32,36.5,28.96K,0.89%
2023-03-23,37.0,36.21,37.85,36.21,11.99K,0.24%
2023-03-22,36.91,38.7,38.9,36.2,19.17K,-2.38%
2023-03-21,37.81,37.88,38.35,37.5,18.92K,1.45%
2023-03-20,37.27,37.24,37.9,36.01,15.86K,1.83%
2023-03-19,36.6,37.48,37.48,35.0,17.13K,1.89%
2023-03-16,35.92,36.25,37.2,34.6,15.74K,-0.94%
2023-03-15,36.26,40.65,41.46,35.1,62.10K,-6.59%
2023-03-14,38.82,37.0,39.87,35.41,36.42K,3.46%
2023-03-13,37.52,45.05,45.1,37.11,86.32K,-15.46%
2023-03-12,44.38,46.5,46.87,44.0,32.84K,-4.31%
2023-03-09,46.38,45.0,48.0,44.6,73.22K,3.43%
2023-03-08,44.84,44.01,46.0,43.0,41.16K,-0.04%
2023-03-07,44.86,44.01,47.5,44.0,83.01K,2.61%
2023-03-06,43.72,45.0,46.05,43.53,31.79K,-3.15%
2023-03-05,45.14,45.9,46.5,44.5,20.11K,-0.04%
2023-03-02,45.16,45.6,46.0,43.2,28.56K,2.26%
