Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,7.5,7.7,7.75,7.43,10.95M,-3.23%
2023-12-10,7.75,8.15,8.2,7.67,10.12M,-4.44%
2023-12-07,8.11,8.4,8.41,7.91,10.55M,-3.11%
2023-12-06,8.37,8.62,8.69,8.35,10.85M,-1.76%
2023-12-05,8.52,8.78,8.79,8.52,14.19M,-0.93%
2023-12-04,8.6,8.15,8.76,8.13,26.08M,6.30%
2023-12-03,8.09,8.14,8.36,8.06,9.28M,0.50%
2023-11-30,8.05,8.08,8.3,7.98,13.41M,0.00%
2023-11-29,8.05,8.41,8.42,8.02,13.80M,-3.94%
2023-11-28,8.38,8.1,8.53,8.04,34.89M,5.01%
2023-11-27,7.98,7.97,8.17,7.87,18.96M,1.14%
2023-11-26,7.89,8.25,8.3,7.84,16.23M,-3.31%
2023-11-23,8.16,8.15,8.29,8.01,24.29M,0.87%
2023-11-22,8.09,7.4,8.11,7.4,39.63M,10.52%
2023-11-21,7.32,7.35,7.53,7.27,15.07M,0.69%
2023-11-20,7.27,7.46,7.56,7.2,17.33M,-2.15%
2023-11-19,7.43,7.66,7.79,7.37,14.30M,-2.62%
2023-11-16,7.63,7.86,7.9,7.54,17.62M,-1.29%
2023-11-15,7.73,7.45,7.75,7.17,19.49M,4.74%
2023-11-14,7.38,7.8,7.98,7.32,17.98M,-4.90%
2023-11-13,7.76,7.92,8.0,7.5,25.69M,-0.89%
2023-11-12,7.83,7.25,7.88,7.2,24.15M,9.51%
2023-11-09,7.15,7.35,7.44,6.92,17.09M,-2.72%
2023-11-08,7.35,6.76,7.37,6.65,20.39M,10.19%
2023-11-07,6.67,6.93,6.94,6.64,9.83M,-2.63%
2023-11-06,6.85,6.51,6.92,6.39,30.41M,7.03%
2023-11-05,6.4,6.13,6.4,6.05,11.63M,5.96%
2023-11-02,6.04,5.93,6.15,5.88,4.53M,2.37%
2023-11-01,5.9,5.96,6.02,5.65,5.73M,-1.01%
2023-10-31,5.96,5.99,6.22,5.86,12.32M,0.68%
2023-10-30,5.92,6.05,6.09,5.91,5.20M,-0.34%
2023-10-29,5.94,5.92,6.04,5.86,6.84M,2.95%
2023-10-26,5.77,5.7,5.9,5.66,5.32M,2.12%
2023-10-25,5.65,5.55,5.74,5.51,3.65M,1.80%
2023-10-24,5.55,5.69,5.69,5.48,2.54M,-1.25%
2023-10-23,5.62,5.75,5.77,5.58,3.73M,-0.71%
2023-10-22,5.66,5.56,5.73,5.53,6.13M,5.01%
2023-10-19,5.39,5.36,5.6,5.3,3.56M,0.75%
2023-10-18,5.35,5.28,5.48,5.24,3.00M,1.90%
2023-10-17,5.25,5.18,5.28,5.14,2.11M,1.74%
2023-10-16,5.16,5.1,5.18,5.05,2.04M,-1.53%
2023-10-15,5.24,5.23,5.3,5.21,1.68M,0.58%
2023-10-12,5.21,5.25,5.25,5.17,892.84K,0.00%
2023-10-11,5.21,5.23,5.32,5.2,1.55M,0.19%
2023-10-10,5.2,5.11,5.24,5.1,1.76M,1.76%
2023-10-09,5.11,5.12,5.16,5.06,968.35K,0.20%
2023-10-08,5.1,5.41,5.48,4.75,2.37M,-5.56%
2023-10-04,5.4,5.43,5.45,5.32,1.46M,-0.55%
2023-10-03,5.43,5.5,5.53,5.42,1.06M,-0.18%
2023-10-02,5.44,5.56,5.56,5.41,2.20M,-1.98%
2023-10-01,5.55,5.59,5.64,5.51,1.16M,-0.72%
2023-09-27,5.59,5.6,5.71,5.51,3.88M,0.00%
2023-09-26,5.59,5.67,5.76,5.57,2.43M,-0.89%
2023-09-25,5.64,5.61,5.66,5.57,1.10M,0.71%
2023-09-24,5.6,5.7,5.75,5.58,1.36M,-1.41%
